BOR;AN;FI;FI_EJ;AUT;SAL;SALANG;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2014;2A0000022;2A0000014;1;1;1;587;2383;670;50;0;620;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;2A0000097;2A0000063;1;;1;32;133;33;0;0;33;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;2B0000012;2B0000020;1;1;1;815;2005;871;69;0;802;0;0;0;0;0;0;0;0;0;0;28;0;0
CHIRCAR;2014;300780152;300000114;1;0;2;1423;5332;1659;616;0;1043;1;0;0;2;2;0;439;62;367;;46;0;0
CHIRCAR;2014;300782117;300780038;1;2;2;1730;5113;1905;625;0;1280;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;310016977;310781406;1;1;1;117;215;126;5;120;1;0;1;0;1;2;298;0;46;0;0;0;0;0
CHIRCAR;2014;310780259;310000096;1;2;3;4913;10476;5354;2087;6;3261;1;0;0;4;3;2;1488;17;1403;38;74;2649;11298
CHIRCAR;2014;310780309;310000120;1;1;0;621;2296;719;90;0;629;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;310781000;310788880;1;1;2;873;2208;969;106;0;863;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;310783055;310781406;1;5;5;3800;13476;4511;1272;0;3239;1;0;1;4;4;1;1671;358;1451;25;60;1396;3342
CHIRCAR;2014;330000605;330781253;1;1;1;889;3119;943;316;0;627;0;0;0;;;0;0;;0;0;43;0;0
CHIRCAR;2014;330780081;330000043;1;2;2;1566;4561;1830;833;2;995;1;0;0;;2;0;1974;;1866;35;40;1429;9440
CHIRCAR;2014;330780354;330000225;1;1;1;972;2907;1053;316;0;737;0;0;0;;;0;0;;0;;14;0;0
CHIRCAR;2014;330780503;330000308;1;1;1;1176;3419;1255;49;0;1206;0;0;0;;;0;0;;0;;25;0;0
CHIRCAR;2014;330781352;330781196;1;;;119;630;129;98;0;31;0;0;0;;;0;0;;0;0;30;0;0
CHIRCAR;2014;330783648;330781196;1;7;3;3249;11892;4426;2322;69;2035;1;1;1;6;6;362;2487;;2246;69;174;2391;18406
CHIRCAR;2014;340015502;340000512;1;3;3;1807;5712;1937;775;0;1162;1;0;0;2;2;0;539;;461;20;;964;4607
CHIRCAR;2014;340780667;340000280;1;2;2;669;2794;762;210;0;552;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;340796663;340780477;1;0;3;2192;7848;2594;931;13;1650;1;0;1;3;3;9;876;;773;56;64;2572;14488
CHIRCAR;2014;350000147;350000022;1;1;1;718;2570;821;226;0;595;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;350000741;350005179;1;5;2;1695;6707;1888;1014;12;862;1;0;1;5;3;13;1754;;1475;40;86;2938;11233
CHIRCAR;2014;350002192;220020739;1;3;2;1087;3035;1109;260;0;849;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;360000137;360000053;1;1;0;312;1566;244;244;0;0;1;0;0;;;0;0;3;0;;;0;0
CHIRCAR;2014;370000085;370000077;1;2;2;1550;5261;1769;730;0;1039;1;0;0;2;2;0;652;26;617;6;;0;0
CHIRCAR;2014;370000499;370000481;1;;;53;68;57;0;57;0;0;1;;2;2;196;2;;2;4;0;183;988
CHIRCAR;2014;370004467;370000481;1;0;2;2422;8065;2672;1378;1;1293;1;0;1;2;2;1;859;;812;8;65;1016;2342
CHIRCAR;2014;380000034;380780049;1;1;0;70;399;71;70;0;1;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;380000067;380780080;1;3;3;1970;7129;2186;1252;17;917;1;0;1;2;4;3;843;230;756;25;72;938;7210
CHIRCAR;2014;380012658;380012609;1;3;0;989;3015;1046;102;0;944;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;380786442;380798025;1;1;1;1271;2909;1496;514;0;982;0;0;0;;;0;0;;0;;40;0;0
CHIRCAR;2014;400000105;400780193;1;0;0;179;900;189;181;0;1;0;0;0;;;0;0;;0;;33;0;0
CHIRCAR;2014;400000139;400011177;1;0;1;594;2021;659;92;0;567;0;0;0;;;0;0;;0;;28;0;0
CHIRCAR;2014;410000020;410000087;1;0;0;258;1235;272;262;0;10;0;0;0;0;0;0;0;;0;0;24;0;0
CHIRCAR;2014;420000010;420780033;1;1;0;150;683;167;160;0;7;0;0;0;;;0;0;;0;;22;0;0
CHIRCAR;2014;420011413;420011405;1;1;0;703;2571;764;191;0;573;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;420785354;420784878;1;5;2;2291;8243;2683;1408;0;1275;1;0;0;2;2;1;869;;789;10;54;606;3608
CHIRCAR;2014;430000117;430000018;1;1;;82;384;85;81;0;4;0;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2014;440000016;440000057;1;1;1;437;2031;465;148;0;317;0;0;0;;;0;0;0;0;;28;0;0
CHIRCAR;2014;440000271;440000289;1;1;;81;649;85;12;49;24;0;1;0;;;0;0;;0;0;0;0;0
CHIRCAR;2014;440017598;440000289;1;3;3;1936;7486;2190;932;2;1256;1;0;1;;;0;0;;0;0;0;0;0
CHIRCAR;2014;440041580;440041572;1;0;3;2993;7576;3219;1744;0;1475;0;0;0;0;0;0;0;;0;0;64;0;0
CHIRCAR;2014;450000294;450000591;1;3;3;1178;4777;1286;474;0;812;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;450002613;450000088;1;;;1028;3378;1176;385;0;791;0;0;;;;0;0;;0;;;0;0
CHIRCAR;2014;470000027;470014069;1;;2;1211;4585;1355;387;0;968;0;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2014;490000049;490000031;1;3;1;1441;7096;1675;448;0;1227;1;1;0;3;3;18;876;;783;10;51;613;1973
CHIRCAR;2014;490000262;490000171;1;1;0;1169;3583;1245;718;0;527;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;510000185;510000532;1;1;1;1159;4264;1264;408;0;856;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;510002447;510000029;1;1;2;1416;5244;1528;558;0;970;1;0;0;2;2;0;625;;536;20;52;1104;5879
CHIRCAR;2014;530000264;530000371;1;1;;536;2700;589;122;0;467;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;540000445;540000890;1;2;2;1441;3775;1565;643;0;922;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;540000478;540003449;1;3;3;2021;4381;2249;203;0;2046;0;0;0;;;0;0;;0;0;12;0;0
CHIRCAR;2014;540002698;540023264;1;6;3;2767;9748;3319;1653;24;1642;1;0;1;3;3;9;1031;;805;24;76;1865;7102
CHIRCAR;2014;550000012;550006795;1;0;0;88;629;97;76;0;21;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;560000127;560023210;1;1;0;1022;3078;1057;312;0;745;0;0;0;;;;;;;;;0;0
CHIRCAR;2014;560000135;560005746;1;1;1;1234;3717;1264;373;0;891;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;570000646;570001115;1;1;2;1264;3085;1396;417;0;979;1;0;0;2;4;0;673;;501;21;24;925;5776
CHIRCAR;2014;570026682;570005165;1;2;2;2366;5276;2584;694;0;1890;1;0;0;2;2;0;521;38;315;23;58;885;6123
CHIRCAR;2014;580972693;580780039;1;1;1;894;3530;930;91;0;839;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;590000337;590781415;1;0;1;591;1518;738;69;0;669;0;0;0;0;0;0;0;;0;;42;0;0
CHIRCAR;2014;590000428;590781605;1;;;66;282;67;16;0;51;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;590000535;590781803;1;;;64;466;81;54;0;27;0;0;;;;0;0;;0;;;0;0
CHIRCAR;2014;590000618;590782215;1;2;2;1139;4259;2887;621;0;2266;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;590001004;590783239;1;;;216;980;224;45;0;179;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;590008041;590008033;1;;1;1174;3733;1420;767;0;653;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;590780268;590053955;1;1;1;874;2750;964;285;0;679;1;0;0;2;2;0;849;;785;20;23;866;3483
CHIRCAR;2014;590780284;590051801;1;1;1;1079;5238;1310;819;0;491;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;590780383;590000204;1;;1;724;1967;744;87;0;657;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;590782553;590000741;1;1;1;491;1593;507;108;0;399;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;590787586;590780193;1;5;3;2087;8455;2563;1063;125;1375;1;1;1;3;3;15;2022;;1650;78;127;2594;20031
CHIRCAR;2014;590801106;590782421;1;2;1;531;2465;571;270;0;301;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;590804696;590781902;1;0;0;146;588;146;1;0;145;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;600000467;600101984;1;1;0;881;3062;928;217;0;711;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;600113476;600100721;1;1;1;701;3361;773;195;1;577;0;0;0;;0;0;0;;0;0;;0;0
CHIRCAR;2014;610000051;610780082;1;0;0;83;362;91;50;0;41;0;0;0;;;0;0;;0;;22;0;0
CHIRCAR;2014;620000034;620100057;1;0;0;411;1701;431;108;0;323;0;0;0;;;0;0;;0;0;;0;0
CHIRCAR;2014;620000257;620100685;1;0;3;1148;4896;1274;623;0;651;1;0;0;3;2;0;272;;224;6;64;276;1659
CHIRCAR;2014;620000349;620101360;1;;;64;460;67;58;0;9;0;0;0;;;0;0;;0;;27;0;0
CHIRCAR;2014;620000653;620103440;1;1;1;794;2321;825;227;0;598;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;620101501;620000364;1;2;2;1351;4244;1465;538;0;927;1;0;0;2;2;0;320;;267;9;;297;1766
CHIRCAR;2014;620118513;620002915;1;2;1;518;1487;544;121;0;423;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;630000404;630780989;1;3;3;2422;8100;2994;1277;32;1685;1;0;1;3;3;1;1292;;1185;24;72;982;6839
CHIRCAR;2014;630780211;630000107;1;2;1;1294;3756;1523;470;0;1053;0;0;;;;0;0;;0;;;0;0
CHIRCAR;2014;640000162;640780417;1;;;249;1005;263;165;0;98;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;640000600;640781290;1;2;1;1427;2649;1583;743;0;840;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;640016580;640010658;1;1;;726;2565;773;773;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;640016598;640010658;1;;2;1202;3101;1282;0;0;1282;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;640781225;640000568;1;;2;656;2150;686;247;0;439;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;650000417;650783160;1;;1;453;1646;492;139;0;353;0;0;0;;;0;0;;0;0;24;0;0
CHIRCAR;2014;650780679;650000243;1;;1;738;3329;850;262;0;588;1;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;660000084;660780180;1;2;1;1008;3932;1163;363;0;800;0;0;0;;;0;0;;0;;30;0;0
CHIRCAR;2014;660780784;660000407;1;3;2;2014;6406;2472;656;0;1816;1;0;0;2;2;0;477;48;463;;;0;0
CHIRCAR;2014;670000025;670780055;1;1;2;2183;8236;2472;1111;0;1361;1;0;1;;;118;1401;;1416;48;91;1312;6648
CHIRCAR;2014;670000157;670780337;1;3;2;1208;4099;1254;284;0;970;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;670014430;670001734;1;1;1;1187;2397;1259;198;54;1007;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;670783273;670780055;1;1;2;54;346;56;2;41;13;0;1;0;1;1;0;0;;0;;4;0;0
CHIRCAR;2014;680000320;680000643;1;0;2;1300;5136;1404;172;0;1232;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;680000684;680000973;1;;1;483;2594;531;141;0;390;0;0;0;;;0;0;;0;;34;0;0
CHIRCAR;2014;680001195;680016011;1;;2;994;3549;1047;251;0;796;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;680004546;680000486;1;2;2;1147;3935;1217;262;0;955;1;0;0;2;2;0;788;;471;20;56;596;4729
CHIRCAR;2014;690000575;690782222;1;1;1;594;2157;645;108;0;537;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;690780390;690000229;1;1;0;480;1229;611;610;0;1;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;690780648;690036900;1;2;2;1148;2473;1248;479;0;769;1;0;0;2;2;0;1121;;1061;24;12;892;6579
CHIRCAR;2014;690782834;690000724;1;0;2;1604;3649;1970;1079;0;891;1;0;0;2;3;0;1125;109;1001;22;10;74;145
CHIRCAR;2014;690784152;690781810;1;1;;1455;4391;1621;639;0;982;0;0;0;;;0;0;;0;0;45;0;0
CHIRCAR;2014;690784186;690781810;1;2;3;1949;7017;2168;746;138;1284;1;1;1;4;5;629;1317;;1022;62;115;2031;13917
CHIRCAR;2014;690793468;690002068;1;;2;1292;3390;1531;1044;0;487;1;0;0;2;2;0;613;200;567;22;33;516;4705
CHIRCAR;2014;690805361;690805353;1;1;1;1415;3523;1635;410;0;1225;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;700000029;700004591;1;1;;95;419;98;94;0;4;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;710978263;710780958;1;3;0;254;976;287;266;0;21;0;0;0;;;0;0;;0;;17;0;0
CHIRCAR;2014;710978289;710780263;1;1;1;663;2359;725;103;0;622;0;0;0;0;0;0;0;;0;0;20;0;0
CHIRCAR;2014;720000033;720000025;1;2;1;1059;3322;1095;425;0;670;0;0;0;;;;;;;;53;0;0
CHIRCAR;2014;720017748;720000561;1;1;1;998;3903;1091;407;0;684;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;730000031;730000015;1;1;1;992;3266;1078;299;0;779;0;0;0;;;0;0;;0;;;0;0
