BOR;AN;FI;FI_EJ;AUT;SAL;SALANG;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2014;910803543;910017615;1;2;2;1071;4146;1137;336;0;801;0;0;0;;;0;0;;0;;28;0;0
CHIRCAR;2014;920000650;920150059;1;0;3;408;1304;423;9;0;414;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;920000684;920150091;1;3;3;1381;3379;1608;17;209;1382;1;1;1;4;6;1000;1209;;1058;38;16;4267;8568
CHIRCAR;2014;920100013;750712184;1;2;1;402;1385;452;7;0;445;0;0;0;;;0;0;;0;0;31;0;0
CHIRCAR;2014;920120011;750821092;1;0;1;263;1286;285;245;0;40;0;0;0;;;0;0;;0;;18;0;0
CHIRCAR;2014;920300043;920001526;1;2;2;664;2951;734;202;0;532;0;0;0;;;0;0;;0;;19;0;0
CHIRCAR;2014;920300753;920810736;1;2;2;2525;7064;2788;1671;0;1117;1;0;0;2;2;0;1409;;1276;10;45;1298;4057
CHIRCAR;2014;920300787;920000981;1;0;0;532;936;;;0;507;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;930000286;930021480;1;1;1;948;3556;1012;496;0;516;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;930000302;930110036;1;;1;623;2211;665;6;0;659;0;0;0;;;0;0;;0;;25;0;0
CHIRCAR;2014;930000336;930110069;1;1;1;438;1789;474;5;0;469;0;0;0;0;;0;0;;0;;28;0;0
CHIRCAR;2014;930100037;750712184;1;1;0;120;611;127;84;0;43;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;930300025;930000393;1;2;;714;2868;787;149;0;638;0;0;0;;;0;0;;0;0;;0;0
CHIRCAR;2014;930300645;930000682;1;3;2;2522;9945;2814;1197;0;1617;1;0;0;;;1;1264;;1122;0;81;6830;23144
CHIRCAR;2014;940000599;940110042;1;1;1;395;1700;446;53;0;393;0;0;0;;;0;0;;0;0;30;0;0
CHIRCAR;2014;940100027;750712184;1;3;3;1744;6647;2052;743;0;1309;1;0;1;2;3;2;923;321;732;31;61;896;7546
CHIRCAR;2014;950000307;950110015;1;1;1;661;2887;712;293;0;419;0;0;0;;;0;0;;0;0;28;0;0
CHIRCAR;2014;950000323;950013870;1;1;1;693;2373;747;130;0;624;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;950000331;950110049;1;0;1;513;1776;572;0;0;572;0;0;0;;;;;;;;;0;0
CHIRCAR;2014;950000364;950110080;1;1;1;844;3587;1007;262;0;745;0;0;0;;;0;0;;0;;41;0;0
CHIRCAR;2014;970100392;970100178;1;1;0;60;366;66;66;0;0;0;0;0;0;0;0;0;;0;;;0;0
CHIRCAR;2014;970100442;970100228;1;1;;424;2188;483;124;0;359;0;0;0;;;0;0;;0;;10;0;0
CHIRCAR;2014;970211215;970211207;1;2;1;561;2221;578;237;0;341;1;0;0;2;2;2;323;;293;12;54;448;4358
CHIRCAR;2014;970400024;970408589;1;1;1;846;2634;960;88;12;860;1;0;0;2;3;26;801;136;709;15;30;562;4358
CHIRCAR;2014;970400057;970408589;1;2;0;538;1838;588;584;0;4;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;970462107;970400305;1;;2;593;1593;659;63;0;596;0;0;0;;;0;0;;0;;35;0;0
