BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2014;030000061;030780092;NINF;20;8;26.29;1;1
URGENCES_P;2014;030000079;030780100;M9999;6;;4.53;3;1
URGENCES_P;2014;030000079;030780100;N1220;1;;1;3;1
URGENCES_P;2014;030000079;030780100;N2120;1;;0.1;;
URGENCES_P;2014;030000079;030780100;N2500;14;1;10.51;;
URGENCES_P;2014;030000079;030780100;N3120;;;0.2;;
URGENCES_P;2014;030000079;030780100;NINF;26;1;13.47;3;1
URGENCES_P;2014;030000087;030780118;M9999;10;10;17.85;1;1
URGENCES_P;2014;030000087;030780118;N1220;4;0;4;2;1
URGENCES_P;2014;030000087;030780118;N2120;0;2;1.24;2;1
URGENCES_P;2014;030000087;030780118;N2500;19;9;20.6;;
URGENCES_P;2014;030000087;030780118;N2620;0;3;0.6;2;1
URGENCES_P;2014;030000087;030780118;N9999;39;43;58.71;;
URGENCES_P;2014;030000087;030780118;NINF;9;29;25.45;2;1
URGENCES_P;2014;030781116;030000426;M9999;3;;3;;
URGENCES_P;2014;030781116;030000426;N1220;1;;1;;
URGENCES_P;2014;030781116;030000426;N2120;1;;0.2;;
URGENCES_P;2014;030781116;030000426;N2500;5;;4.8;;
URGENCES_P;2014;030781116;030000426;NINF;5;;4.8;;
URGENCES_P;2014;040000093;040780215;M9999;6;9;12.87;3;1
URGENCES_P;2014;040000093;040780215;N1220;2;;1.16;;
URGENCES_P;2014;040000093;040780215;N2120;2;;2;;
URGENCES_P;2014;040000093;040780215;N2500;7;5;9.16;;
URGENCES_P;2014;040000093;040780215;N9999;36;17;39.75;;
URGENCES_P;2014;040000093;040780215;NINF;19;8;20.63;;
URGENCES_P;2014;040000135;050002948;M9999;7;2;4.51;;
URGENCES_P;2014;040000135;050002948;N1220;3;0;0.6;;
URGENCES_P;2014;040000135;050002948;N2120;2;0;0.91;;
URGENCES_P;2014;040000135;050002948;N2500;6;2;6.17;;
URGENCES_P;2014;040000135;050002948;N9999;23;9;20.58;;
URGENCES_P;2014;040000135;050002948;NINF;10;7;11;;
URGENCES_P;2014;040000911;040788879;M9999;12;4;4.88;2;1
URGENCES_P;2014;040000911;040788879;N1220;1;1;1.35;2;1
URGENCES_P;2014;040000911;040788879;N2120;1;;0.5;2;1
URGENCES_P;2014;040000911;040788879;N2500;7;1;7.86;;
URGENCES_P;2014;040000911;040788879;NINF;13;6;16.03;2;1
URGENCES_P;2014;050000231;050000116;M9999;11;1;8.55;;
URGENCES_P;2014;050000231;050000116;N1220;3;1;3.93;;
URGENCES_P;2014;050000231;050000116;N2120;1;0;0.5;;
URGENCES_P;2014;050000231;050000116;N2500;6;1;7.09;;
URGENCES_P;2014;050000231;050000116;N9999;27;7;25.54;;
URGENCES_P;2014;050000231;050000116;NINF;13;4;10.02;;
URGENCES_P;2014;050000256;050000124;M9999;4;1;4.37;;
URGENCES_P;2014;050000256;050000124;N1220;1;;0.2;;
URGENCES_P;2014;050000256;050000124;N2120;1;;0.25;;
URGENCES_P;2014;050000256;050000124;N2500;3;1;4.19;;
URGENCES_P;2014;050000256;050000124;N9999;5;10;11.4;;
URGENCES_P;2014;050000256;050000124;NINF;1;8;6.76;;
URGENCES_P;2014;050000348;050002948;M9999;13;6;10.68;;
URGENCES_P;2014;050000348;050002948;N1220;3;0;3.03;;
URGENCES_P;2014;050000348;050002948;N2120;2;0;1.1;;
URGENCES_P;2014;050000348;050002948;N2500;9;4;10.72;;
URGENCES_P;2014;050000348;050002948;N9999;28;18;34.61;;
URGENCES_P;2014;050000348;050002948;NINF;12;13;17;;
URGENCES_P;2014;060000478;060780897;M1140;3;1;0.52;;
URGENCES_P;2014;060000478;060780897;M3020;7;;1.2;;
URGENCES_P;2014;060000478;060780897;M9999;21;8;13.35;;
URGENCES_P;2014;060000478;060780897;N1220;2;;2;;
URGENCES_P;2014;060000478;060780897;N2120;4;;4;;
URGENCES_P;2014;060000478;060780897;N2500;15;1;15.5;;
URGENCES_P;2014;060000478;060780897;N3120;;1;0.9;;
URGENCES_P;2014;060000478;060780897;N9999;53;3;54.2;;
URGENCES_P;2014;060000478;060780897;NINF;32;1;31.8;;
URGENCES_P;2014;060000510;060780954;M1140;5;;0.5;;0
URGENCES_P;2014;060000510;060780954;M3020;9;;5.5;;
URGENCES_P;2014;060000510;060780954;M9999;26;8;15.38;3;1
URGENCES_P;2014;060000510;060780954;N1220;2;0;1.88;;0
URGENCES_P;2014;060000510;060780954;N2120;2;0;1.29;3;1
URGENCES_P;2014;060000510;060780954;N2500;20;0;19.65;;
URGENCES_P;2014;060000510;060780954;N3120;1;0;1;;
URGENCES_P;2014;060000510;060780954;N9999;57;2;56.92;;
URGENCES_P;2014;060000510;060780954;NINF;26;2;26.84;;0
URGENCES_P;2014;060000544;060780988;M1140;;1;0.4;;0
URGENCES_P;2014;060000544;060780988;M9999;12;2;13.66;1;1
URGENCES_P;2014;060000544;060780988;N1220;4;;5.14;3;1
URGENCES_P;2014;060000544;060780988;N2120;;4;1.18;3;1
URGENCES_P;2014;060000544;060780988;N2500;24;2;27.23;;
URGENCES_P;2014;060000544;060780988;N2620;5;;5;;0
URGENCES_P;2014;060000544;060780988;N3120;;1;0.25;;
URGENCES_P;2014;060000544;060780988;N9999;71;11;80.43;;
URGENCES_P;2014;060000544;060780988;NINF;29;4;32.28;3;1
URGENCES_P;2014;060001450;060785011;M3020;2;1;3.77;;
URGENCES_P;2014;060001450;060785011;M9999;5;34;19.73;1;1
URGENCES_P;2014;060001450;060785011;N1220;12;1;10;;
URGENCES_P;2014;060001450;060785011;N2120;6;0;5.86;;
URGENCES_P;2014;060001450;060785011;N2500;46;4;46.28;;
URGENCES_P;2014;060001450;060785011;N3120;0;0;0.01;;
URGENCES_P;2014;060001450;060785011;N9999;179;9;167.91;;
URGENCES_P;2014;060001450;060785011;NINF;62;0;53.95;;
URGENCES_P;2014;060002102;060791761;M9999;5;3;6.4;2;1
URGENCES_P;2014;060002102;060791761;N1220;1;1;1.6;;0
URGENCES_P;2014;060002102;060791761;N2500;6;;6;;
URGENCES_P;2014;060002102;060791761;N2620;2;;2;;0
URGENCES_P;2014;060002102;060791761;N9999;18;1;18.6;;
URGENCES_P;2014;060002102;060791761;NINF;9;;9;;0
URGENCES_P;2014;060780491;060790797;M9999;2;2;3;;0
URGENCES_P;2014;060780491;060790797;N1220;2;1;2.33;;0
URGENCES_P;2014;060780491;060790797;N2120;;1;0.12;;0
URGENCES_P;2014;060780491;060790797;N2500;3;2;3.73;;
URGENCES_P;2014;060780491;060790797;N3120;;1;0.1;;
URGENCES_P;2014;060780491;060790797;N9999;11;6;13.22;;
URGENCES_P;2014;060780491;060790797;NINF;6;1;6.94;;0
URGENCES_P;2014;060780517;060000239;M9999;8;;8;;
URGENCES_P;2014;060780517;060000239;N1220;4;;4;;
URGENCES_P;2014;060780517;060000239;N2120;1;;1;;
URGENCES_P;2014;060780517;060000239;N2500;1;1;1.5;;
URGENCES_P;2014;060780517;060000239;N2620;;1;0.5;;
URGENCES_P;2014;060780517;060000239;NINF;9;;9;;
URGENCES_P;2014;060780715;060000361;M9999;;12;8;;
URGENCES_P;2014;060780715;060000361;N1220;4;1;4.4;;
URGENCES_P;2014;060780715;060000361;N2120;;1;0.3;;
URGENCES_P;2014;060780715;060000361;N2500;4;2;4.5;;
URGENCES_P;2014;060780715;060000361;N2620;2;2;2.2;;
URGENCES_P;2014;060780715;060000361;N3120;;1;0.1;;
URGENCES_P;2014;060780715;060000361;NINF;8;2;8.9;;
URGENCES_P;2014;060780723;060004959;M9999;;1;0.21;;
URGENCES_P;2014;060780723;060004959;N1220;4;;4;;
URGENCES_P;2014;060780723;060004959;N2500;1;;1;;
URGENCES_P;2014;060780723;060004959;N2620;1;1;1.5;;
URGENCES_P;2014;060780723;060004959;NINF;5;1;5.47;;
URGENCES_P;2014;060780947;060800174;M1140;8;3;8.98;;
URGENCES_P;2014;060780947;060800174;M3020;1;1;0.29;;
URGENCES_P;2014;060780947;060800174;M9999;10;5;9.84;;
URGENCES_P;2014;060780947;060800174;N1220;3;;3;;
URGENCES_P;2014;060780947;060800174;N2120;1;2;1.6;;
URGENCES_P;2014;060780947;060800174;N2500;37;3;29.1;;
URGENCES_P;2014;060780947;060800174;N9999;73;14;69.42;;
URGENCES_P;2014;060780947;060800174;NINF;32;8;35.2;;
URGENCES_P;2014;070000013;070002878;M9999;;2;0.69;1;1
URGENCES_P;2014;070000013;070002878;N1220;;1;0.5;;
URGENCES_P;2014;070000013;070002878;N2120;;1;0.3;2;1
URGENCES_P;2014;070000013;070002878;N2500;3;3;3.12;;
URGENCES_P;2014;070000013;070002878;N2620;;2;0.5;;
URGENCES_P;2014;070000013;070002878;N9999;9;10;13.74;;
URGENCES_P;2014;070000013;070002878;NINF;5;3;6.61;;
URGENCES_P;2014;070000179;070780358;M9999;9;1;9.44;3;1
URGENCES_P;2014;070000179;070780358;N1220;1;1;1.24;;0
URGENCES_P;2014;070000179;070780358;N2120;0;0;0.25;3;1
URGENCES_P;2014;070000179;070780358;N2500;11;7;16.31;;
URGENCES_P;2014;070000179;070780358;N9999;20;25;39.29;;
URGENCES_P;2014;070000179;070780358;NINF;6;13;16.93;3;1
URGENCES_P;2014;070000609;070005566;M9999;9;5;10.96;;
URGENCES_P;2014;070000609;070005566;N1220;2;1;2.8;;
URGENCES_P;2014;070000609;070005566;N2500;7;1;7.86;;
URGENCES_P;2014;070000609;070005566;N9999;30;6;35.56;;
URGENCES_P;2014;070000609;070005566;NINF;16;4;19.54;;
URGENCES_P;2014;070780424;070000245;M9999;1;5;3.5;;
URGENCES_P;2014;070780424;070000245;N2120;1;;1;;
URGENCES_P;2014;070780424;070000245;N2500;9;2;8.96;;
URGENCES_P;2014;070780424;070000245;N9999;20;3;20.04;;
URGENCES_P;2014;070780424;070000245;NINF;10;1;10.03;;
URGENCES_P;2014;080000110;080000037;M9999;4;0;4;1;1
URGENCES_P;2014;080000110;080000037;N1220;3;;3;1;0
URGENCES_P;2014;080000110;080000037;N2120;1;;0.8;1;1
URGENCES_P;2014;080000110;080000037;N2500;6;2;7.3;;
URGENCES_P;2014;080000110;080000037;N2620;5;;5;1;1
URGENCES_P;2014;080000110;080000037;N3120;1;;1;;
URGENCES_P;2014;080000110;080000037;N9999;29;7;35.1;;
URGENCES_P;2014;080000110;080000037;NINF;14;5;18;1;1
URGENCES_P;2014;080000219;080001969;M9999;5;;2.48;1;1
URGENCES_P;2014;080000219;080001969;N1220;1;;0.5;3;
URGENCES_P;2014;080000219;080001969;N2500;9;;3;;
URGENCES_P;2014;080000219;080001969;N9999;26;6;11;;
URGENCES_P;2014;080000219;080001969;NINF;16;3;6.5;3;1
URGENCES_P;2014;080000276;080001969;M9999;;6;0.82;;
URGENCES_P;2014;080000276;080001969;N1220;;1;0.31;;
URGENCES_P;2014;080000276;080001969;N9999;11;1;6;;
URGENCES_P;2014;080000276;080001969;NINF;11;1;7.85;;
URGENCES_P;2014;080000425;080000615;M1140;5;1;1.24;;0
URGENCES_P;2014;080000425;080000615;M9999;22;3;11.13;1;1
URGENCES_P;2014;080000425;080000615;N1220;1;;1;;0
URGENCES_P;2014;080000425;080000615;N2120;1;;1;;0
URGENCES_P;2014;080000425;080000615;N2500;15;7;18.53;;
URGENCES_P;2014;080000425;080000615;N3120;1;;1;;
URGENCES_P;2014;080000425;080000615;N9999;58;31;77.47;;
URGENCES_P;2014;080000425;080000615;NINF;33;21;46.73;;0
URGENCES_P;2014;090000175;090781774;M1140;6;2;1;1;1
URGENCES_P;2014;090000175;090781774;M9999;29;8;10.92;1;1
URGENCES_P;2014;090000175;090781774;N1220;5;2;4.93;2;1
URGENCES_P;2014;090000175;090781774;N2120;1;;0.72;2;1
URGENCES_P;2014;090000175;090781774;N2500;23;5;26.76;;
URGENCES_P;2014;090000175;090781774;N2620;;;;2;1
URGENCES_P;2014;090000175;090781774;N9999;51;19;56.03;;
URGENCES_P;2014;090000175;090781774;NINF;21;11;22.65;2;1
URGENCES_P;2014;090000183;090781816;M9999;6;4;3.41;;1
URGENCES_P;2014;090000183;090781816;N1220;2;;0.96;;0
URGENCES_P;2014;090000183;090781816;N2120;1;;0.4;2;1
URGENCES_P;2014;090000183;090781816;N2500;3;;3.3;;
URGENCES_P;2014;090000183;090781816;N9999;15;1;14.9;;
URGENCES_P;2014;090000183;090781816;NINF;9;1;9.63;;0
URGENCES_P;2014;090001629;090780107;M9999;;22;5.51;;0
URGENCES_P;2014;090001629;090780107;N2500;2;;2;;
URGENCES_P;2014;090001629;090780107;N9999;7;2;8.2;;
URGENCES_P;2014;090001629;090780107;NINF;5;2;6.2;;0
URGENCES_P;2014;100000090;100000017;M9999;;13;8.15;3;1
URGENCES_P;2014;100000090;100000017;N1220;3;;3;;0
URGENCES_P;2014;100000090;100000017;N2120;1;;1;;0
URGENCES_P;2014;100000090;100000017;N2500;18;;19.13;;
URGENCES_P;2014;100000090;100000017;N2620;11;;11.33;;0
URGENCES_P;2014;100000090;100000017;N3120;;2;0.88;;
URGENCES_P;2014;100000090;100000017;N9999;69;3;69.13;;
URGENCES_P;2014;100000090;100000017;NINF;36;1;33.79;;0
URGENCES_P;2014;100000199;100006279;M9999;5;3;5.8;;1
URGENCES_P;2014;100000199;100006279;N1220;1;1;0.56;2;1
URGENCES_P;2014;100000199;100006279;N2120;1;;0.3;2;1
URGENCES_P;2014;100000199;100006279;N2500;4;;2.41;;
URGENCES_P;2014;100000199;100006279;NINF;20;;8.35;2;1
URGENCES_P;2014;110000023;110780061;M9999;;31;6.36;1;1
URGENCES_P;2014;110000023;110780061;N1220;;6;1.93;2;1
URGENCES_P;2014;110000023;110780061;N2120;1;;1.1;;0
URGENCES_P;2014;110000023;110780061;N2500;16;1;17.94;;
URGENCES_P;2014;110000023;110780061;N2620;8;2;8.9;;0
URGENCES_P;2014;110000023;110780061;N3120;;2;1;;
URGENCES_P;2014;110000023;110780061;N9999;51;19;62.28;;
URGENCES_P;2014;110000023;110780061;NINF;26;7;30.56;;0
URGENCES_P;2014;110000049;110780087;M9999;4;2;4.3;;
URGENCES_P;2014;110000049;110780087;N1220;1;1;1.04;;
URGENCES_P;2014;110000049;110780087;N2500;7;;6.17;;
URGENCES_P;2014;110000049;110780087;N2620;;;0.03;;
URGENCES_P;2014;110000049;110780087;N9999;15;1;14;;
URGENCES_P;2014;110000049;110780087;NINF;7;1;6.76;;
URGENCES_P;2014;110000056;110780137;M9999;15;8;7.24;2;1
URGENCES_P;2014;110000056;110780137;N1220;5;1;4.57;;
URGENCES_P;2014;110000056;110780137;N2120;1;;1;;
URGENCES_P;2014;110000056;110780137;N2500;13;3;15.64;;
URGENCES_P;2014;110000056;110780137;NINF;26;5;16.93;2;1
URGENCES_P;2014;110780228;110000114;M9999;4;1;4.8;;
URGENCES_P;2014;110780228;110000114;N1220;2;2;3.3;;
URGENCES_P;2014;110780228;110000114;N2120;;1;0.5;;
URGENCES_P;2014;110780228;110000114;N2500;2;;2;;
URGENCES_P;2014;110780228;110000114;N3120;;1;0.1;;
URGENCES_P;2014;110780228;110000114;NINF;8;2;8.8;;
URGENCES_P;2014;110780483;110000155;N1220;2;7;2.91;;
URGENCES_P;2014;110780483;110000155;N2500;5;2;4.74;;
URGENCES_P;2014;110780483;110000155;N9999;18;13;17.62;;
URGENCES_P;2014;110780483;110000155;NINF;11;4;9.97;;
