BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2014;290000256;290000017;N2500;10;;10;;
URGENCES_P;2014;290000256;290000017;N9999;24;3;26.06;;
URGENCES_P;2014;290000256;290000017;NINF;12;1;12.8;;
URGENCES_P;2014;290000728;750821092;M9999;5;3;4.77;;
URGENCES_P;2014;290000728;750821092;N1220;1;;1.45;;
URGENCES_P;2014;290000728;750821092;N2120;1;;1;;
URGENCES_P;2014;290000728;750821092;N2500;15;3;15.8;;
URGENCES_P;2014;290000728;750821092;N9999;44;5;45.21;;
URGENCES_P;2014;290000728;750821092;NINF;24;2;23.99;;
URGENCES_P;2014;290000785;220020739;M1140;;;;1;1
URGENCES_P;2014;290000785;220020739;M9999;9;;8.5;1;1
URGENCES_P;2014;290000785;220020739;N1220;2;2;2.55;2;1
URGENCES_P;2014;290000785;220020739;N2120;1;;1;2;1
URGENCES_P;2014;290000785;220020739;N2500;10;0;10.18;;
URGENCES_P;2014;290000785;220020739;N2620;;;;1;1
URGENCES_P;2014;290000785;220020739;N9999;24;7;28.4;;
URGENCES_P;2014;290000785;220020739;NINF;11;5;14.67;1;1
URGENCES_P;2014;290000934;290000306;M9999;12;3;6.64;2;1
URGENCES_P;2014;290000934;290000306;N1220;2;1;2.34;2;1
URGENCES_P;2014;290000934;290000306;N2120;1;;1;2;1
URGENCES_P;2014;290000934;290000306;N2500;8;3;9.97;;
URGENCES_P;2014;290000934;290000306;N3120;;1;0.1;;
URGENCES_P;2014;290000934;290000306;N9999;22;12;28.39;;
URGENCES_P;2014;290000934;290000306;NINF;11;7;14.98;3;1
URGENCES_P;2014;290004324;290000017;M9999;32;5;17.3;;0
URGENCES_P;2014;290004324;290000017;N1220;6;9;9.3;;0
URGENCES_P;2014;290004324;290000017;N2120;3;2;3.9;;0
URGENCES_P;2014;290004324;290000017;N2500;24;15;35.75;;
URGENCES_P;2014;290004324;290000017;N3120;;3;0.6;;
URGENCES_P;2014;290004324;290000017;N9999;86;43;112.8;;
URGENCES_P;2014;290004324;290000017;NINF;43;13;52.75;;0
URGENCES_P;2014;290019777;290022508;M9999;6;;6;;
URGENCES_P;2014;290019777;290022508;N1220;2;2;2.33;;
URGENCES_P;2014;290019777;290022508;N2120;1;;1;;
URGENCES_P;2014;290019777;290022508;N2500;;7;5.04;;
URGENCES_P;2014;290019777;290022508;N2620;;2;0.6;;
URGENCES_P;2014;290019777;290022508;NINF;;19;14.48;;
URGENCES_P;2014;2A0000022;2A0000014;M9999;11;3;14.28;;
URGENCES_P;2014;2A0000022;2A0000014;N1220;3;;2.75;;
URGENCES_P;2014;2A0000022;2A0000014;N2120;1;0;1;;
URGENCES_P;2014;2A0000022;2A0000014;N2500;22;0;18.99;;
URGENCES_P;2014;2A0000022;2A0000014;N9999;84;1;78.64;;
URGENCES_P;2014;2A0000022;2A0000014;NINF;35;1;33.36;;
URGENCES_P;2014;2A0000154;2A0000204;M9999;6;1;1.5;;
URGENCES_P;2014;2B0000012;2B0000020;M9999;36;17;45.26;3;1
URGENCES_P;2014;2B0000012;2B0000020;N1220;6;2;6.14;;0
URGENCES_P;2014;2B0000012;2B0000020;N2120;2;0;2.54;;0
URGENCES_P;2014;2B0000012;2B0000020;N2500;18;0;16.96;;
URGENCES_P;2014;2B0000012;2B0000020;N3120;1;0;0.5;;
URGENCES_P;2014;2B0000012;2B0000020;N9999;91;6;89.37;;
URGENCES_P;2014;2B0000012;2B0000020;NINF;48;4;48.27;3;1
URGENCES_P;2014;2B0005359;2B0005342;M9999;4;2;4.9;;
URGENCES_P;2014;2B0005359;2B0005342;N1220;2;;1.7;;
URGENCES_P;2014;2B0005359;2B0005342;N2500;6;1;6.5;;
URGENCES_P;2014;2B0005359;2B0005342;N9999;20;4;20.77;;
URGENCES_P;2014;2B0005359;2B0005342;NINF;8;2;8.93;;
URGENCES_P;2014;300000023;300780046;M9999;10;4;11.61;3;1
URGENCES_P;2014;300000023;300780046;N1220;1;0;1.26;;
URGENCES_P;2014;300000023;300780046;N2120;;1;0.66;;
URGENCES_P;2014;300000023;300780046;N2500;26;2;20.47;;
URGENCES_P;2014;300000023;300780046;NINF;36;7;25.8;;
URGENCES_P;2014;300000031;300780053;M9999;5;7;4.03;;0
URGENCES_P;2014;300000031;300780053;N1220;2;1;2.17;2;1
URGENCES_P;2014;300000031;300780053;N2120;1;0;0.6;2;1
URGENCES_P;2014;300000031;300780053;N2500;13;4;15.63;;
URGENCES_P;2014;300000031;300780053;NINF;21;12;17.97;2;1
URGENCES_P;2014;300780137;920028396;M9999;6;5;5.33;;
URGENCES_P;2014;300780137;920028396;N1220;3;;2.38;;
URGENCES_P;2014;300780137;920028396;N2120;1;;0.5;;
URGENCES_P;2014;300780137;920028396;N2500;2;;2;;
URGENCES_P;2014;300780137;920028396;NINF;5;;5.38;;
URGENCES_P;2014;300782117;300780038;M1140;;1;0.5;;0
URGENCES_P;2014;300782117;300780038;M9999;1;;1;3;1
URGENCES_P;2014;300782117;300780038;N2120;7;;5.63;;
URGENCES_P;2014;300782117;300780038;N2500;43;2;45.11;;
URGENCES_P;2014;300782117;300780038;N9999;111;9;116.23;;
URGENCES_P;2014;300782117;300780038;NINF;50;5;52.68;;
URGENCES_P;2014;300788502;300788486;M9999;2;8;6.51;;
URGENCES_P;2014;300788502;300788486;N1220;4;0;3.98;;
URGENCES_P;2014;300788502;300788486;N2120;1;0;0.6;;
URGENCES_P;2014;300788502;300788486;N2500;4;1;4.4;;
URGENCES_P;2014;300788502;300788486;NINF;5;5;8;;
URGENCES_P;2014;310000310;310780671;M9999;10;3;10.88;1;1
URGENCES_P;2014;310000310;310780671;N1220;2;;2;2;
URGENCES_P;2014;310000310;310780671;N2120;1;;1;2;
URGENCES_P;2014;310000310;310780671;N2500;12;1;12.86;;
URGENCES_P;2014;310000310;310780671;N2620;;;;1;
URGENCES_P;2014;310000310;310780671;NINF;16;4;19.43;1;
URGENCES_P;2014;310016977;310781406;M1140;4;;5.5;;0
URGENCES_P;2014;310016977;310781406;M9999;10;2;9.45;;0
URGENCES_P;2014;310016977;310781406;N2120;2;;2;;0
URGENCES_P;2014;310016977;310781406;N2500;30;;29.54;;
URGENCES_P;2014;310016977;310781406;N2620;;;8.05;;
URGENCES_P;2014;310016977;310781406;N9999;67;9;71.28;;
URGENCES_P;2014;310016977;310781406;NINF;34;7;38.48;;0
URGENCES_P;2014;310780101;310000039;N1220;2;;2;;
URGENCES_P;2014;310780101;310000039;N2120;1;;1;;
URGENCES_P;2014;310780101;310000039;N2500;4;1;4.1;;
URGENCES_P;2014;310780101;310000039;N9999;11;1;10.54;;
URGENCES_P;2014;310780101;310000039;NINF;5;1;5.44;;
URGENCES_P;2014;310780283;310000112;M3020;1;;1;;
URGENCES_P;2014;310780283;310000112;M9999;5;;5;;
URGENCES_P;2014;310780283;310000112;N1220;8;;5;;
URGENCES_P;2014;310780283;310000112;N2120;1;;1;;
URGENCES_P;2014;310780283;310000112;N2500;15;;8.92;;
URGENCES_P;2014;310780283;310000112;N2620;2;;2;;
URGENCES_P;2014;310780283;310000112;NINF;23;;16;;
URGENCES_P;2014;310780382;310000179;M9999;4;;4;;
URGENCES_P;2014;310780382;310000179;N1220;2;;2;;
URGENCES_P;2014;310780382;310000179;N2120;;1;0.5;;
URGENCES_P;2014;310780382;310000179;N2500;2;;2;;
URGENCES_P;2014;310780382;310000179;N9999;6;4;4.82;;
URGENCES_P;2014;310780382;310000179;NINF;2;3;4.32;;
URGENCES_P;2014;310781000;310788880;M9999;3;;3;;0
URGENCES_P;2014;310781000;310788880;N2120;1;;1;;
URGENCES_P;2014;310781000;310788880;N2500;3;0;4.04;;
URGENCES_P;2014;310781000;310788880;N2620;1;2;1.44;;
URGENCES_P;2014;310781000;310788880;NINF;15;2;15.14;;
URGENCES_P;2014;310781067;310788898;M9999;2;6;6.67;;
URGENCES_P;2014;310781067;310788898;N1220;5;;4.31;;
URGENCES_P;2014;310781067;310788898;N2120;1;;0.35;;
URGENCES_P;2014;310781067;310788898;N2500;16;6;7.32;;
URGENCES_P;2014;310781067;310788898;NINF;17;5;12.07;;
URGENCES_P;2014;310781505;310000492;M9999;6;;;;
URGENCES_P;2014;310781505;310000492;N1220;3;;3;;
URGENCES_P;2014;310781505;310000492;N2120;;1;0.33;;
URGENCES_P;2014;310781505;310000492;N2500;4;;4;;
URGENCES_P;2014;310781505;310000492;NINF;9;1;9.42;;
URGENCES_P;2014;310783048;310781406;M9999;43;9;27.04;3;1
URGENCES_P;2014;310783048;310781406;N1220;8;;6.6;;0
URGENCES_P;2014;310783048;310781406;N2120;3;;3;;0
URGENCES_P;2014;310783048;310781406;N2500;56;5;49.5;;
URGENCES_P;2014;310783048;310781406;N2620;11;1;10.5;;
URGENCES_P;2014;310783048;310781406;N3120;1;2;2.6;;
URGENCES_P;2014;310783048;310781406;NINF;80;8;70;1;1
URGENCES_P;2014;310783055;310781406;M9999;15;3;16.2;;
URGENCES_P;2014;310783055;310781406;N1220;3;2;4;;
URGENCES_P;2014;310783055;310781406;N2120;2;;2;;
URGENCES_P;2014;310783055;310781406;N2500;41;5;43;;
URGENCES_P;2014;310783055;310781406;N2620;0;0;6.2;;
URGENCES_P;2014;310783055;310781406;N3120;1;;1;;
URGENCES_P;2014;310783055;310781406;N9999;119;15;126.23;;
URGENCES_P;2014;310783055;310781406;NINF;57;6;59.9;;
URGENCES_P;2014;320000086;320780117;M9999;14;7;6.12;1;1
URGENCES_P;2014;320000086;320780117;N1220;2;1;3.2;;
URGENCES_P;2014;320000086;320780117;N2120;1;;0.33;3;1
URGENCES_P;2014;320000086;320780117;N2500;18;3;15;;
URGENCES_P;2014;320000086;320780117;N3120;0;0;0.05;;
URGENCES_P;2014;320000086;320780117;NINF;21;3;18;1;1
URGENCES_P;2014;320000102;320780133;M9999;2;1;2.5;;
URGENCES_P;2014;320000102;320780133;N2120;;1;0.5;2;1
URGENCES_P;2014;320000102;320780133;N3120;;1;0.2;;
URGENCES_P;2014;320000102;320780133;NINF;6;;6;2;1
URGENCES_P;2014;330000555;330781204;M9999;11;;9.5;1;1
URGENCES_P;2014;330000555;330781204;N1220;2;;1.4;;
URGENCES_P;2014;330000555;330781204;N2120;1;;0.5;;1
URGENCES_P;2014;330000555;330781204;N2500;7;4;9.57;;
URGENCES_P;2014;330000555;330781204;N2620;14;;6.1;1;1
URGENCES_P;2014;330000555;330781204;NINF;24;6;21.89;1;1
URGENCES_P;2014;330000571;330781220;M9999;6;2;3.59;3;1
URGENCES_P;2014;330000571;330781220;N1220;4;2;5.07;;
URGENCES_P;2014;330000571;330781220;N2500;9;1;4;;
URGENCES_P;2014;330000571;330781220;N3120;1;;0.3;;
URGENCES_P;2014;330000571;330781220;N9999;36;7;28.4;;
URGENCES_P;2014;330000571;330781220;NINF;17;4;15.48;3;1
URGENCES_P;2014;330000589;330027509;M9999;9;6;10.27;3;1
URGENCES_P;2014;330000589;330027509;N1220;3;1;4.64;3;1
URGENCES_P;2014;330000589;330027509;N2120;0;0;0.32;3;1
URGENCES_P;2014;330000589;330027509;N2500;13;2;12.07;;
URGENCES_P;2014;330000589;330027509;N3120;0;0;0.08;;
URGENCES_P;2014;330000589;330027509;N9999;43;9;45.4;;
URGENCES_P;2014;330000589;330027509;NINF;19;5;19.93;3;1
URGENCES_P;2014;330000597;330027509;M9999;0;1;2.2;;
URGENCES_P;2014;330000597;330027509;N2500;3;0;3;;
URGENCES_P;2014;330000597;330027509;N9999;5;1;5.1;;
URGENCES_P;2014;330000597;330027509;NINF;2;1;2.8;;
URGENCES_P;2014;330000605;330781253;M1140;7;2;1.89;1;0
URGENCES_P;2014;330000605;330781253;M9999;23;7;11.17;3;1
URGENCES_P;2014;330000605;330781253;N1220;4;0;3.9;;
URGENCES_P;2014;330000605;330781253;N2120;3;;2.95;;
URGENCES_P;2014;330000605;330781253;N2500;22;2;22.77;;
URGENCES_P;2014;330000605;330781253;N2620;11;;10.32;;
URGENCES_P;2014;330000605;330781253;N9999;84;6;82.68;;
URGENCES_P;2014;330000605;330781253;NINF;33;4;36.23;;
URGENCES_P;2014;330780263;330000134;M9999;6;2;7;;0
URGENCES_P;2014;330780263;330000134;N1220;6;1;6.13;;0
URGENCES_P;2014;330780263;330000134;N2120;;1;0.64;;0
URGENCES_P;2014;330780263;330000134;N2500;7;2;7.25;;
URGENCES_P;2014;330780263;330000134;N2620;1;;1;;0
URGENCES_P;2014;330780263;330000134;N3120;1;;1;;
URGENCES_P;2014;330780263;330000134;N9999;25;7;27.35;;
URGENCES_P;2014;330780263;330000134;NINF;10;3;11.33;;0
URGENCES_P;2014;330780479;330000274;N1220;4;1;4.33;;
URGENCES_P;2014;330780479;330000274;N2120;1;;1;;
URGENCES_P;2014;330780479;330000274;N2500;10;;10;;
URGENCES_P;2014;330780479;330000274;N3120;;1;0.5;;
URGENCES_P;2014;330780479;330000274;N9999;28;3;29.63;;
URGENCES_P;2014;330780479;330000274;NINF;13;1;13.8;;
URGENCES_P;2014;330780495;330796392;M9999;4;6;8.85;2;1
URGENCES_P;2014;330780495;330796392;N1220;5;1;4.95;2;1
URGENCES_P;2014;330780495;330796392;N2120;1;;1;2;1
URGENCES_P;2014;330780495;330796392;N2500;2;;2.48;;
URGENCES_P;2014;330780495;330796392;N2620;3;;3.11;2;1
URGENCES_P;2014;330780495;330796392;N3120;1;;1;;
URGENCES_P;2014;330780495;330796392;NINF;8;2;12.86;2;1
URGENCES_P;2014;330780529;330796392;M9999;3;2;6.59;;
URGENCES_P;2014;330780529;330796392;N1220;2;1;2.94;;
URGENCES_P;2014;330780529;330796392;N2120;;1;0.29;;
URGENCES_P;2014;330780529;330796392;N2500;1;;1;;
URGENCES_P;2014;330780529;330796392;NINF;10;3;12.43;;
URGENCES_P;2014;330780537;330000324;M3020;31;2;30.51;;
URGENCES_P;2014;330780537;330000324;M9999;5;5;8.05;3;1
URGENCES_P;2014;330780537;330000324;N1220;5;0;4;3;1
URGENCES_P;2014;330780537;330000324;N2120;0;1;0.8;2;1
URGENCES_P;2014;330780537;330000324;N2500;2;0;1.73;;
URGENCES_P;2014;330780537;330000324;N2620;9;0;8.3;3;1
URGENCES_P;2014;330780537;330000324;NINF;15;1;15.68;3;1
URGENCES_P;2014;330781303;750821092;M9999;7;5;6.04;;0
URGENCES_P;2014;330781303;750821092;N1220;4;0;3.65;;0
URGENCES_P;2014;330781303;750821092;N2120;1;0;1;;0
URGENCES_P;2014;330781303;750821092;N2500;11;0;10.97;;
URGENCES_P;2014;330781303;750821092;N2620;2;0;1.77;;0
URGENCES_P;2014;330781303;750821092;NINF;19;2;18.8;;0
URGENCES_P;2014;330781352;330781196;M9999;5;3;6.5;1;1
URGENCES_P;2014;330781352;330781196;N1220;;;2;;0
URGENCES_P;2014;330781352;330781196;N2120;;;2;;0
URGENCES_P;2014;330781352;330781196;N2500;;;18.93;;
URGENCES_P;2014;330781352;330781196;N2620;;;2;;
URGENCES_P;2014;330781352;330781196;N9999;;;53.24;;
URGENCES_P;2014;330781352;330781196;NINF;;;28.31;;0
URGENCES_P;2014;330781360;330781196;M1140;3;1;3;;0
URGENCES_P;2014;330781360;330781196;M9999;24;;21;1;1
URGENCES_P;2014;330781360;330781196;N1220;6;;6;;1
URGENCES_P;2014;330781360;330781196;N2120;4;;4;;1
URGENCES_P;2014;330781360;330781196;N2500;65;9;66.12;;
URGENCES_P;2014;330781360;330781196;N2620;11;;11;;1
URGENCES_P;2014;330781360;330781196;N3120;1;;1;;
URGENCES_P;2014;330781360;330781196;N9999;170;50;195.46;;
URGENCES_P;2014;330781360;330781196;NINF;81;41;105.34;;1
URGENCES_P;2014;340000033;340780055;M1140;7;;2.4;;0
URGENCES_P;2014;340000033;340780055;M3020;2;;1.1;;
URGENCES_P;2014;340000033;340780055;M9999;23;7;12.9;3;1
URGENCES_P;2014;340000033;340780055;N1220;2;2;2.61;;
URGENCES_P;2014;340000033;340780055;N2120;3;;1.55;3;1
URGENCES_P;2014;340000033;340780055;N2500;32;3;18.6;;
URGENCES_P;2014;340000033;340780055;N3120;1;;0.46;;
URGENCES_P;2014;340000033;340780055;N9999;63;5;61;;
URGENCES_P;2014;340000033;340780055;NINF;32;3;32.3;3;1
URGENCES_P;2014;340000223;340011295;M9999;12;3;10.86;;1
URGENCES_P;2014;340000223;340011295;N1220;2;1;2.87;;
URGENCES_P;2014;340000223;340011295;N2120;2;0;1.34;;1
URGENCES_P;2014;340000223;340011295;N2500;13;1;13.36;;
URGENCES_P;2014;340000223;340011295;N3120;1;0;0.2;;
URGENCES_P;2014;340000223;340011295;N9999;45;9;50.6;;
URGENCES_P;2014;340000223;340011295;NINF;23;4;27.3;;1
URGENCES_P;2014;340015502;340000512;M9999;12;;12;;
URGENCES_P;2014;340015502;340000512;N1220;6;;6;;
URGENCES_P;2014;340015502;340000512;N2120;1;;1;;
URGENCES_P;2014;340015502;340000512;N2500;2;;2;;
URGENCES_P;2014;340015502;340000512;NINF;12;;12;;
URGENCES_P;2014;340015965;340000074;M9999;6;;6;;0
URGENCES_P;2014;340015965;340000074;N1220;;5;3;;0
URGENCES_P;2014;340015965;340000074;N2120;1;;1;;0
URGENCES_P;2014;340015965;340000074;NINF;10;1;10.41;;0
URGENCES_P;2014;340780147;340000108;M9999;4;;4;;
URGENCES_P;2014;340780147;340000108;N1220;2;;2;;
URGENCES_P;2014;340780147;340000108;N2120;1;;0.5;;
URGENCES_P;2014;340780147;340000108;N2620;2;;1;;
URGENCES_P;2014;340780147;340000108;NINF;6;;6;;
URGENCES_P;2014;340780154;340000116;M9999;;5;4;;
URGENCES_P;2014;340780154;340000116;N1220;3;1;3.5;;
URGENCES_P;2014;340780154;340000116;N2120;;2;0.5;;
URGENCES_P;2014;340780154;340000116;N2500;2;1;2.5;;
URGENCES_P;2014;340780154;340000116;N2620;1;;1;;
URGENCES_P;2014;340780154;340000116;N3120;;1;0.1;;
URGENCES_P;2014;340780154;340000116;NINF;6;;6;;
URGENCES_P;2014;340780634;340000272;M9999;4;2;4.8;;
URGENCES_P;2014;340780634;340000272;N1220;;4;2.6;;
URGENCES_P;2014;340780634;340000272;N2120;0;1;0.5;;
URGENCES_P;2014;340780634;340000272;N3120;;1;0.1;;
URGENCES_P;2014;340780634;340000272;N9999;6;9;10.4;;
URGENCES_P;2014;340780634;340000272;NINF;6;3;7.2;;
URGENCES_P;2014;340780642;340785856;M9999;;7;5;;0
URGENCES_P;2014;340780642;340785856;N1220;1;;1;;
URGENCES_P;2014;340780642;340785856;N2120;;1;0.5;;
URGENCES_P;2014;340780642;340785856;N2500;1;1;1.5;;
URGENCES_P;2014;340780642;340785856;NINF;6;;6;;
URGENCES_P;2014;340780667;340000280;M9999;5;2;6;;0
URGENCES_P;2014;340780667;340000280;N1220;3;1;3.31;;0
URGENCES_P;2014;340780667;340000280;N2120;1;1;1.1;;0
URGENCES_P;2014;340780667;340000280;N2500;5;0;5;;
URGENCES_P;2014;340780667;340000280;N2620;1;0;1;;0
URGENCES_P;2014;340780667;340000280;N3120;;1;0.1;;
URGENCES_P;2014;340780667;340000280;N9999;17;3;17.51;;
URGENCES_P;2014;340780667;340000280;NINF;7;0;7;;0
URGENCES_P;2014;340780683;340000306;M9999;;13;7;;
URGENCES_P;2014;340780683;340000306;N1220;3;2;4;;
URGENCES_P;2014;340780683;340000306;N2120;1;;1;;
URGENCES_P;2014;340780683;340000306;N2500;2;1;2.33;;
URGENCES_P;2014;340780683;340000306;N3120;;1;0.5;;
URGENCES_P;2014;340780683;340000306;NINF;2;4;4.74;;
URGENCES_P;2014;340780717;340008150;M1140;3;;2.57;;
URGENCES_P;2014;340780717;340008150;M9999;5;2;5.57;;0
URGENCES_P;2014;340780717;340008150;N1220;2;1;1.5;;
URGENCES_P;2014;340780717;340008150;N2120;;2;1;;1
URGENCES_P;2014;340780717;340008150;N2500;5;;5;;
URGENCES_P;2014;340780717;340008150;N2620;1;1;1.96;;
URGENCES_P;2014;340780717;340008150;NINF;6;3;8.34;;1
URGENCES_P;2014;340780725;340016864;N1220;2;;2;;
URGENCES_P;2014;340780725;340016864;N2120;1;;1;;
URGENCES_P;2014;340780725;340016864;N2500;2;1;2.8;;
URGENCES_P;2014;340780725;340016864;NINF;6;2;7;;
URGENCES_P;2014;340785161;340780477;M1140;6;10;8.3;;0
URGENCES_P;2014;340785161;340780477;M3020;0;11;3.09;;
URGENCES_P;2014;340785161;340780477;M9999;6;50;33.1;1;1
URGENCES_P;2014;340785161;340780477;N1220;24;0;24;;0
URGENCES_P;2014;340785161;340780477;N2120;5;1;5.4;;0
URGENCES_P;2014;340785161;340780477;N2500;63;3;65.1;;
URGENCES_P;2014;340785161;340780477;N3120;2;0;2;;
URGENCES_P;2014;340785161;340780477;N9999;175;11;182.35;;
URGENCES_P;2014;340785161;340780477;NINF;78;6;82.8;;0
URGENCES_P;2014;350000121;350000303;M9999;7;;7;;
URGENCES_P;2014;350000121;350000303;N2120;1;;1;;
URGENCES_P;2014;350000121;350000303;N2500;2;3;4.1;;
URGENCES_P;2014;350000121;350000303;NINF;13;6;17.85;;
URGENCES_P;2014;350000147;350000022;M9999;16;3;14.19;3;1
URGENCES_P;2014;350000147;350000022;N1220;2;;1;;0
URGENCES_P;2014;350000147;350000022;N2120;2;;1.29;;0
URGENCES_P;2014;350000147;350000022;N2500;20;8;26.41;;
URGENCES_P;2014;350000147;350000022;N3120;2;;1.08;;
URGENCES_P;2014;350000147;350000022;N9999;44;26;60.59;;
URGENCES_P;2014;350000147;350000022;NINF;17;18;29.81;3;1
URGENCES_P;2014;350000154;350000030;M9999;6;1;5.85;2;1
URGENCES_P;2014;350000154;350000030;N1220;4;2;5.1;2;1
URGENCES_P;2014;350000154;350000030;N2120;1;;1;;
URGENCES_P;2014;350000154;350000030;N2500;11;3;13.98;;
URGENCES_P;2014;350000154;350000030;N3120;;1;0.52;;
URGENCES_P;2014;350000154;350000030;N9999;31;21;42.53;;
URGENCES_P;2014;350000154;350000030;NINF;13;15;19.67;;
URGENCES_P;2014;350000162;350000048;M9999;11;;8.29;2;1
URGENCES_P;2014;350000162;350000048;N1220;4;3;4.66;2;1
URGENCES_P;2014;350000162;350000048;N2120;1;;0.97;;0
URGENCES_P;2014;350000162;350000048;N2500;14;2;12.29;;
URGENCES_P;2014;350000162;350000048;N2620;7;;1.07;2;0
URGENCES_P;2014;350000162;350000048;N3120;2;;0.3;;
URGENCES_P;2014;350000162;350000048;N9999;39;12;33.98;;
URGENCES_P;2014;350000162;350000048;NINF;15;7;15.72;2;1
URGENCES_P;2014;350000188;350000055;M9999;5;3;7.94;2;1
URGENCES_P;2014;350000188;350000055;N1220;2;4;3.56;;0
URGENCES_P;2014;350000188;350000055;N2120;1;;0.73;;0
URGENCES_P;2014;350000188;350000055;N2500;15;4;13.57;;
URGENCES_P;2014;350000188;350000055;N2620;3;;2.7;2;1
URGENCES_P;2014;350000188;350000055;N9999;33;11;34.1;;
URGENCES_P;2014;350000188;350000055;NINF;12;3;13.54;;0
URGENCES_P;2014;350000741;350005179;M9999;23;2;17.01;;0
URGENCES_P;2014;350000741;350005179;N1220;1;2;2.6;;0
URGENCES_P;2014;350000741;350005179;N2120;3;;3;;0
URGENCES_P;2014;350000741;350005179;N2500;45;7;48.99;;
URGENCES_P;2014;350000741;350005179;N9999;105;25;118.33;;
URGENCES_P;2014;350000741;350005179;NINF;47;13;54.45;;0
URGENCES_P;2014;350005146;350000733;M9999;5;;5;;
URGENCES_P;2014;350005146;350000733;N1220;3;1;4.04;;
URGENCES_P;2014;350005146;350000733;N2120;1;;0.5;;
URGENCES_P;2014;350005146;350000733;N2500;3;5;4.71;;
URGENCES_P;2014;350005146;350000733;N2620;3;3;4.71;;
URGENCES_P;2014;350005146;350000733;N3120;;1;0.5;;
URGENCES_P;2014;350005146;350000733;NINF;9;3;13.5;;
URGENCES_P;2014;350007084;350005179;M1140;5;1;5.51;;
URGENCES_P;2014;350007084;350005179;M9999;7;1;7.35;;
URGENCES_P;2014;350007084;350005179;N1220;4;2;6.95;;
URGENCES_P;2014;350007084;350005179;N2120;3;;2.3;;
URGENCES_P;2014;350007084;350005179;N2500;13;8;16.02;;
URGENCES_P;2014;350007084;350005179;N9999;48;33;67.34;;
URGENCES_P;2014;350007084;350005179;NINF;14;6;16.38;;
URGENCES_P;2014;360000038;360000046;M9999;4;1;4.6;;
URGENCES_P;2014;360000038;360000046;N2120;;1;0.4;;
URGENCES_P;2014;360000038;360000046;N2500;6;;6;;
URGENCES_P;2014;360000038;360000046;N3120;;1;0.1;;
URGENCES_P;2014;360000038;360000046;NINF;3;5;6.67;;
URGENCES_P;2014;360000137;360000053;M9999;12;1;11.51;;
URGENCES_P;2014;360000137;360000053;N1220;11;4;13.3;;
URGENCES_P;2014;360000137;360000053;N2120;2;;2;;
URGENCES_P;2014;360000137;360000053;N2500;18;;18;;
URGENCES_P;2014;360000137;360000053;N2620;2;;2;;
URGENCES_P;2014;360000137;360000053;N3120;1;1;1.8;;
URGENCES_P;2014;360000137;360000053;NINF;51;4;53.3;;
URGENCES_P;2014;360000160;360000079;M9999;2;11;5.3;3;1
URGENCES_P;2014;360000160;360000079;N1220;;2;1.27;;0
URGENCES_P;2014;360000160;360000079;N2120;;1;0.5;;0
URGENCES_P;2014;360000160;360000079;N2500;4;11;8.28;;
URGENCES_P;2014;360000160;360000079;NINF;5;10;10.15;3;1
URGENCES_P;2014;370000093;370000192;M9999;6;;6;;0
URGENCES_P;2014;370000093;370000192;N1220;4;;4;;0
URGENCES_P;2014;370000093;370000192;N2500;3;;3.06;;
URGENCES_P;2014;370000093;370000192;N3120;;1;0.5;;
URGENCES_P;2014;370000093;370000192;N9999;18;1;17.87;;
URGENCES_P;2014;370000093;370000192;NINF;15;1;14.81;;0
URGENCES_P;2014;370000499;370000481;M1140;3;1;0.8;;0
URGENCES_P;2014;370000499;370000481;M9999;7;1;8.8;;0
URGENCES_P;2014;370000499;370000481;N1220;1;2;2.28;;
URGENCES_P;2014;370000499;370000481;N2120;1;0;1;;
URGENCES_P;2014;370000499;370000481;N2500;11;3;13.22;;
URGENCES_P;2014;370000499;370000481;N3120;1;0;1;;
URGENCES_P;2014;370000499;370000481;NINF;10;19;24.7;;
URGENCES_P;2014;370000531;370000606;M9999;9;2;4.86;2;1
URGENCES_P;2014;370000531;370000606;N1220;2;;1.86;1;1
URGENCES_P;2014;370000531;370000606;N2120;;;0.4;2;1
URGENCES_P;2014;370000531;370000606;N2500;11;;10.58;;
URGENCES_P;2014;370000531;370000606;N9999;28;2;25.75;;
URGENCES_P;2014;370000531;370000606;NINF;14;2;11.9;2;1
URGENCES_P;2014;370000879;370000564;M9999;3;;2.4;2;1
URGENCES_P;2014;370000879;370000564;N1220;3;;1.76;2;1
URGENCES_P;2014;370000879;370000564;N2120;2;;0.9;2;1
URGENCES_P;2014;370000879;370000564;N2500;5;2;6.8;;
URGENCES_P;2014;370000879;370000564;N9999;20;8;23.12;;
URGENCES_P;2014;370000879;370000564;NINF;10;6;13.66;2;1
URGENCES_P;2014;370000903;370000614;M9999;5;;4.81;;0
URGENCES_P;2014;370000903;370000614;N1220;2;;1.5;;
URGENCES_P;2014;370000903;370000614;N2120;2;;0.55;;
URGENCES_P;2014;370000903;370000614;N2500;4;;5.16;;
URGENCES_P;2014;370000903;370000614;NINF;5;4;7.42;;
URGENCES_P;2014;370004467;370000481;M1140;;;;3;
URGENCES_P;2014;370004467;370000481;M3020;3;;2.7;;
URGENCES_P;2014;370004467;370000481;M9999;13;2;14.2;2;1
URGENCES_P;2014;370004467;370000481;N1220;2;0;1.83;;
