"";"id";"finess";"nom_etab_1";"nom_etab_2";"nom_etab_long";"compl_etab";"compl_distr";"achemin";"comm";"dept";"lib_dept";"num_voie";"typ_voie";"lib_voie";"categ_etab";"lib_categ_etab";"categ_etab_agr";"lib_etab";"siret";"code_ape";"code_mft";"lib_mft";"code_sph";"lib_sph";"date_ouv";"date_autor";"date_maj";"num_educ"
"388";"620000257P1";"620000257";"CH LENS";"CH LENS";"CENTRE HOSPITALIER DE LENS";NA;NA;"62307 LENS CEDEX";"498";"62";"PAS DE CALAIS";"99";"RTE";"DE LA BASSEE";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26620932900017";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1932-01-01";"1932-01-01";"2022-03-08";NA
"389";"620000323G1";"620000323";"CH CALAIS";"CH CALAIS";"CENTRE HOSPITALIER DE CALAIS";NA;NA;"62107 CALAIS CEDEX";"193";"62";"PAS DE CALAIS";"1601";"BD";"DES JUSTES";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26620941000197";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1904-04-04";"1904-04-04";"2025-04-23";NA
"390";"620000349G1";"620000349";"CH REGION DE ST OMER";"CH REGION DE ST OMER";"CENTRE HOSPITALIER DE LA REGION DE SAINT-OMER";"SITE HELFAUT";NA;"62570 HELFAUT";"423";"62";"PAS DE CALAIS";NA;"RTE";"DE BLENDECQUES";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26620966700085";NA;"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1995-12-31";"1990-06-15";"2024-01-19";NA
"391";"620000653A1";"620000653";"CH BOULOGNE-SUR-MER";"CH BOULOGNE-SUR-MER";"CENTRE HOSPITALIER DUCHENNE DE BOULOGNE SUR MER";NA;NA;"62321 BOULOGNE SUR MER CEDEX";"160";"62";"PAS DE CALAIS";NA;"R";"JACQUES MONOD";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26620940200012";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1904-04-04";"1904-04-04";"2024-04-05";NA
"392";"620000653P1";"620000653";"CH BOULOGNE-SUR-MER";"CH BOULOGNE-SUR-MER";"CENTRE HOSPITALIER DUCHENNE DE BOULOGNE SUR MER";NA;NA;"62321 BOULOGNE SUR MER CEDEX";"160";"62";"PAS DE CALAIS";NA;"R";"JACQUES MONOD";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26620940200012";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1904-04-04";"1904-04-04";"2024-04-05";NA
"393";"620003202G1";"620003202";"CH ARRONDISSEMENT DE MONTREUIL";"CH ARRONDISSEMENT DE MONTREUIL";"CENTRE HOSPITALIER DE L'ARRONDISSEMENT DE MONTREUIL";NA;NA;"62180 RANG DU FLIERS";"688";"62";"PAS DE CALAIS";"140";"CHE";"DEPARTEMENTAL 191";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26620969100192";NA;"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1995-08-22";"1993-01-20";"2024-10-31";NA
"394";"620003350G1";"620003350";"HOPITAL DE RIAUMONT";"HOPITAL DE RIAUMONT";"HOPITAL DE RIAUMONT";NA;NA;"62800 LIEVIN";"510";"62";"PAS DE CALAIS";NA;"R";"D'ENTRE DEUX MONTS";"365";"Etablissement de Soins Pluridisciplinaire";"1110";"Etablissements de Soins de Courte Durée";"31245483800383";"8610Z";"4";"ARS établissements PSPH dotation globale";"6";"Etablissement de santé privé d'intérêt collectif";"1997-05-16";"1993-01-14";"2021-04-01";NA
"395";"620003376G1";"620003376";"POLYCLINIQUE MED CHIR D HENIN-BEAUMONT";"POLYCLINIQUE MED CHIR D'HENIN-BEAUMONT";"POLYCLINIQUE MED CHIR D'HENIN-BEAUMONT";NA;NA;"62110 HENIN BEAUMONT";"427";"62";"PAS DE CALAIS";NA;"RTE";"DE COURRIERES";"365";"Etablissement de Soins Pluridisciplinaire";"1110";"Etablissements de Soins de Courte Durée";"31245483800227";"8610Z";"4";"ARS établissements PSPH dotation globale";"6";"Etablissement de santé privé d'intérêt collectif";"1997-11-18";"1994-05-24";"2018-10-22";NA
"396";"620025346G1";"620025346";"POLYCLINIQUE DE LA CLARENCE";"POLYCLINIQUE DE LA ""CLARENCE""";NA;"LES PENDANTS DE CALONNE";NA;"62460 DIVION";"270";"62";"PAS DE CALAIS";NA;"R";"DU DOCTEUR LEGAY";"122";"Etablissement Soins Obstétriques Chirurgico-Gynécologiques";"1110";"Etablissements de Soins de Courte Durée";"31245483800292";NA;"4";"ARS établissements PSPH dotation globale";"6";"Etablissement de santé privé d'intérêt collectif";"2006-12-01";"2001-11-20";"2013-09-24";NA
"397";"620100735G1";"620100735";"CLINIQUE ANNE ARTOIS";"CLINIQUE ANNE ARTOIS";"CLINIQUE ANNE ARTOIS";NA;NA;"62404 BETHUNE CEDEX";"119";"62";"PAS DE CALAIS";"100";"R";"EMILE BASLY";"365";"Etablissement de Soins Pluridisciplinaire";"1110";"Etablissements de Soins de Courte Durée";"32005057800022";"8610Z";"7";"ARS établissements de santé non financés dotation globale";"0";"Non concerné";"1945-01-01";"1945-01-01";"2013-10-10";NA
