year;finess;establishment_name;juridical_status;capacity;region_number;region_name;dep_number;dep_name;town_name;postal_code;emergency_type;regulation;total_hospitalized_emergency;waiting_monitoring;hours_physicians_total_raw;hours_physicians_emergency_raw;hours_nurses_total_raw;hours_nurses_emergency_raw;hours_paramedics_raw;hours_regulation_physicians;hours_regulation_assistants;joint_personnel_SMUR_emergency;etp_physicians_empl_total;etp_physicians_empl_emergency;number_physicians_liberal;number_medecine_interns;number_medecine_junior_doctors;number_emergency_interns;number_emergency_junior_doctors;beds_number;dummy_regulation_physicians;dummy_paramedics;dummy_regulation_assistants;dummy_number_liberal_phyisicians;dummy_joint_personnel;dummy_medecine_interns;dummy_emergency_interns;dummy_medecine_junior_doctors;dummy_emergency_junior_doctors;total_emergency_visits_raw;total_emergency_visits_win;hosp_rate_raw;hosp_rate_mod;hours_physicians_total_mod;hours_physicians_emergency_mod;hours_nurses_total_mod;hours_nurses_emergency_mod;hours_regulation_assistants_raw;hours_regulation_assistants_mod;hours_paramedics_mod;etp_total_win;etp_emergency_win
2024;860000223;CHU LA MILETRIE;Public;Low capacity;75;Nouvelle-Aquitaine;86;Vienne;POITIERS;86021;PED;3;3397;NA;1476;860;2220;1736;508;493;672;1;51,80;26,46;0;276;88;9;8;4,00000000000000;1;1;1;0;1;1;1;1;1;17352;17352,0000000000;0,1957699400645459;0,1957699400645459;1476;860;2220;1736;672;672;508;44,53;26,460
2024;300782117;CHU NIMES CAREMEAU;Public;High capacity;76;Occitanie;30;Gard;NIMES;30029;GEN;3;22668;1;NA;NA;2214;1663;587;0;1433;1;41,26;36,66;0;169;39;22;14;10,00000000000000;0;1;1;0;1;1;1;1;1;96508;92082,1999999999;0,2461713555931550;0,2461713555931550;NA;NA;2214;1663;1433;1433;587;41,26;30,912
2024;300782117;CHU NIMES CAREMEAU;Public;Low capacity;76;Occitanie;30;Gard;NIMES;30029;PED;3;2835;NA;NA;NA;2214;1663;587;0;1433;1;41,26;36,66;0;169;39;22;14;1,00000000000000;0;1;1;0;1;1;1;1;1;22894;22894,0000000000;0,1238315715908098;0,1238315715908098;NA;NA;2214;1663;1433;1433;587;41,26;30,912
2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);Public;High capacity;04;La Réunion;9D;La Réunion;SAINT DENIS;97405;GEN;2;11223;1;978;635;1985;1311;280;0;0;1;41,60;21,60;0;103;21;0;0;18,00000000000000;0;1;0;0;1;1;1;1;1;38339;38339,0000000000;0,2927306398184616;0,2927306398184616;978;635;1985;1311;0;0;280;41,60;21,600
2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);Public;Medium capacity;04;La Réunion;9D;La Réunion;SAINT DENIS;97405;PED;NA;2423;NA;978;635;1985;1311;280;0;0;1;41,60;21,60;0;103;21;0;0;6,00000000000000;0;1;0;0;1;1;1;1;1;12701;12701,0000000000;0,1907723801275490;0,1907723801275490;978;635;1985;1311;0;0;280;41,60;21,600
2024;970400057;CHU SITE SUD (SAINT PIERRE);Public;High capacity;04;La Réunion;9D;La Réunion;SAINT PIERRE;97410;GEN;3;18919;1;1037;701;1547;1211;0;0;0;0;41,00;29,00;0;249;41;0;0;23,00000000000000;0;0;0;0;1;1;1;1;1;53229;53229,0000000000;0,3554265531946871;0,3554265531946871;1037;701;1547;1211;0;0;0;41,00;29,000
2024;970400057;CHU SITE SUD (SAINT PIERRE);Public;Low capacity;04;La Réunion;9D;La Réunion;SAINT PIERRE;97410;PED;1;3412;NA;1037;701;1547;1211;0;0;0;0;41,00;29,00;0;249;41;0;0;4,00000000000000;0;0;0;0;1;1;1;1;1;16978;16978,0000000000;0,2009659559429851;0,2009659559429851;1037;701;1547;1211;0;0;0;41,00;29,000
2024;770019032;GHEF MARNE LA VALLEE SITE JOSSIGNY;Public;High capacity;11;Île-de-France;77;Seine-et-Marne;JOSSIGNY;77600;GEN;3;12526;NA;994;574;1680;1344;420;0;0;1;40,07;38,17;0;25;9;5;0;12,00000000000000;0;1;0;0;1;1;1;1;0;69382;69382,0000000000;0,1805367386353810;0,1805367386353810;994;574;1680;1344;0;0;420;40,07;30,912
2024;770019032;GHEF MARNE LA VALLEE SITE JOSSIGNY;Public;Low capacity;11;Île-de-France;77;Seine-et-Marne;JOSSIGNY;77600;PED;3;NA;NA;994;574;1680;1344;420;0;0;1;40,07;38,17;0;25;9;5;0;2,00000000000000;0;1;0;0;1;1;1;1;0;13351;13351,0000000000;NA;NA;994;574;1680;1344;0;0;420;40,07;30,912
2024;950000323;GHEM SIMONE VEIL SITE EAUBONNE;Public;High capacity;11;Île-de-France;95;Val-d'Oise;EAUBONNE;95602;GEN;3;8968;1;1612;1276;2520;2184;336;0;0;0;36,32;25,38;0;14;6;0;0;18,00000000000000;0;1;0;0;1;1;0;1;0;57754;57754,0000000000;0,1552792880146830;0,1552792880146830;1612;1276;2520;2184;0;0;336;36,32;25,380
2024;950000323;GHEM SIMONE VEIL SITE EAUBONNE;Public;High capacity;11;Île-de-France;95;Val-d'Oise;EAUBONNE;95602;PED;3;5305;NA;1612;1276;2520;2184;336;0;0;0;36,32;25,38;0;14;6;0;0;12,00000000000000;0;1;0;0;1;1;0;1;0;24458;24458,0000000000;0,2169024450077684;0,2169024450077684;1612;1276;2520;2184;0;0;336;36,32;25,380
2024;930000286;GHI LE RAINCY MONTFERMEIL;Public;High capacity;11;Île-de-France;93;Seine-Saint-Denis;MONTFERMEIL;93370;GEN;3;6839;1;775;607;1092;924;168;0;0;0;28,05;23,07;0;45;5;0;0;15,00000000000000;0;1;0;0;0;1;0;1;0;49998;49998,0000000000;0,1367854714188567;0,1367854714188567;775;607;1092;924;0;0;168;28,05;23,070
2024;930000286;GHI LE RAINCY MONTFERMEIL;Public;Medium capacity;11;Île-de-France;93;Seine-Saint-Denis;MONTFERMEIL;93370;PED;NA;1021;NA;775;607;1092;924;168;0;0;0;28,05;23,07;0;45;5;0;0;6,61519607843137;0;1;0;0;0;1;0;1;0;10290;10290,0000000000;0,0992225461613217;0,0992225461613217;775;607;1092;924;0;0;168;28,05;23,070
2024;930100045;GHU APHP HU PSSD SITE JEAN VERDIER;Public;High capacity;11;Île-de-France;93;Seine-Saint-Denis;BONDY;93143;GEN;3;2835;1;744;744;1596;1596;0;0;0;0;16,05;16,05;0;14;4;5;1;10,00000000000000;0;0;0;0;0;1;1;1;1;33170;33170,0000000000;0,0854687971058185;0,0854687971058185;744;744;1596;1596;0;0;0;16,05;16,050
2024;930100045;GHU APHP HU PSSD SITE JEAN VERDIER;Public;Medium capacity;11;Île-de-France;93;Seine-Saint-Denis;BONDY;93143;PED;3;2410;NA;744;744;1596;1596;0;0;0;0;16,05;16,05;0;14;4;5;1;7,00000000000000;0;0;0;0;0;1;1;1;1;32944;32944,0000000000;0,0731544439048081;0,0731544439048081;744;744;1596;1596;0;0;0;16,05;16,050
2024;920100047;GHU APHP NUP SITE LOUIS MOURIER;Public;High capacity;11;Île-de-France;92;Hauts-de-Seine;COLOMBES;92701;GEN;3;5813;1;1302;1134;1883;1799;84;0;0;1;31,90;26,90;0;40;5;10;4;10,00000000000000;0;1;0;0;1;1;1;1;1;42970;42970,0000000000;0,1352804282057249;0,1352804282057249;1302;1134;1883;1799;0;0;84;31,90;26,900
2024;920100047;GHU APHP NUP SITE LOUIS MOURIER;Public;High capacity;11;Île-de-France;92;Hauts-de-Seine;COLOMBES;92701;PED;3;3223;NA;1302;1134;1883;1799;84;0;0;1;31,90;26,90;0;40;5;10;4;9,00000000000000;0;1;0;0;1;1;1;1;1;38240;38240,0000000000;0,0842834728033473;0,0842834728033473;1302;1134;1883;1799;0;0;84;31,90;26,900
2024;920100013;GHU APHP UPS SITE AMBROISE PARE;Public;High capacity;11;Île-de-France;92;Hauts-de-Seine;BOULOGNE BILLANCOURT;92104;GEN;3;8205;1;462;462;1024;1024;0;0;0;0;22,65;22,65;0;55;15;8;3;18,00000000000000;0;0;0;0;1;1;1;1;1;40437;40437,0000000000;0,2029082276133244;0,2029082276133244;462;462;1024;1024;0;0;0;22,65;22,650
2024;920100013;GHU APHP UPS SITE AMBROISE PARE;Public;Low capacity;11;Île-de-France;92;Hauts-de-Seine;BOULOGNE BILLANCOURT;92104;PED;3;1361;NA;462;462;1024;1024;0;0;0;0;22,65;22,65;0;55;15;8;3;4,00000000000000;0;0;0;0;1;1;1;1;1;21427;21427,0000000000;0,0635179913193634;0,0635179913193634;462;462;1024;1024;0;0;0;22,65;22,650
2024;920100021;GHU APHP UPS SITE ANTOINE BECLERE;Public;High capacity;11;Île-de-France;92;Hauts-de-Seine;CLAMART;92140;GEN;3;8122;0;766;516;1477;1260;217;0;0;0;30,38;22,48;0;42;12;7;0;22,00000000000000;0;1;0;0;1;1;1;1;1;33146;33146,0000000000;0,2450371085500513;0,2450371085500513;766;516;1477;1260;0;0;217;30,38;22,480
2024;920100021;GHU APHP UPS SITE ANTOINE BECLERE;Public;Medium capacity;11;Île-de-France;92;Hauts-de-Seine;CLAMART;92140;PED;3;2229;NA;766;516;1477;1260;217;0;0;0;30,38;22,48;0;42;12;7;0;6,00000000000000;0;1;0;0;1;1;1;1;1;31727;31727,0000000000;0,0702556182431368;0,0702556182431368;766;516;1477;1260;0;0;217;30,38;22,480
2024;940100043;GHU APHP UPS SITE KREMLIN BICETRE APHP;Public;High capacity;11;Île-de-France;94;Val-de-Marne;LE KREMLIN BICETRE;94275;GEN;3;12319;1;1056;1056;1344;1344;0;0;0;0;26,22;26,22;0;142;32;12;1;21,00000000000000;0;0;0;0;0;1;1;1;1;64802;64802,0000000000;0,1901021573408228;0,1901021573408228;1056;1056;1344;1344;0;0;0;26,22;26,220
