BOR;AN;FI;FI_EJ;LIT;JOU;ENT;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2014;190002493;190000059;53;20100;35;;;10;;;;21;;1;;;;3;;1;;10;;2;1;
USLD;2014;190005140;190002485;30;11114;23;0;0;0;9;0;4;0;0;0;1;0;0;9;23;1;2;0;0;5;0;0
USLD;2014;190005165;190002519;60;21468;28;;;;12;;2;;2;;;;;12;;;;6;;5;;
USLD;2014;210983466;210011482;30;10196;14;;;;;1;;4;;2;;;;7;;;;;;2;;
USLD;2014;210983565;210011482;30;10698;22;;;3;1;;;12;;;;;;6;;;;;;4;;
USLD;2014;210986329;750043713;30;10337;5;;0;;0;;1;;1;;0;;0;3;0;0;0;0;0;1;0;0
USLD;2014;210987574;210780623;30;10599;8;;;2;;;;;;;;;;6;;;;;;;;
USLD;2014;210987616;210780656;30;10548;23;;;;;;;;;;;;;;;;;;;33;;
USLD;2014;210987939;210780607;42;15120;8;;;;;;;;;;;;;;;;;;;;;
USLD;2014;220000095;220000046;60;21350;33;;;2;;;;28;;;2;;;1;;;;;;4;;
USLD;2014;220000343;220000079;30;5042;32;;;;;;;;;;;;;32;;;;;;;;
USLD;2014;220000368;220000103;30;10933;13;;1;;;;;8;1;;;;;4;;;;9;;1;;2
USLD;2014;220000566;220021968;30;10601;45;;10;13;;;;5;1;;;;;16;;;;1;;13;;
USLD;2014;220001259;220005045;60;21233;68;;2;;9;17;;21;4;;1;;;4;;1;2;;;10;;3
USLD;2014;220006423;220000152;30;10642;15;;;;;;;;;;;;;16;;;;;;;;6
USLD;2014;220014138;220017974;30;10810;20;;;3;2;;;3;;2;;;;10;;;;;;;;
USLD;2014;230000259;230780041;50;16574;37;;;;12;;;;16;;;;;9;;19;;7;;1;1;
USLD;2014;230000838;230780058;30;10581;39;;;;;;;;;0;;;;;;;;;;;;
USLD;2014;230000846;230780066;30;9436;42;0;0;3;0;0;0;18;0;0;1;0;0;10;;;;;;2;0;0
USLD;2014;230000952;230780512;30;10552;14;;;;;;;;;;;;;;;;;;;;;
USLD;2014;230000960;230780520;30;9994;24;;;;11;;;11;;;;;;2;;;;;;2;;
USLD;2014;240000372;240000059;50;17215;18;;;4;;6;1;;2;;;;;5;1;0;0;6;0;;;
USLD;2014;240000471;240000109;30;10853;21;;;3;;;;17;;;;;;1;;;;;;;;
USLD;2014;240000489;240000117;60;21940;47;;;6;1;;;16;13;;;;1;10;;;1;5;;12;;2
USLD;2014;240000539;240000166;60;21388;15;2;;;;8;;5;;;;;;;;;;3;;3;;1
USLD;2014;240000687;240000448;40;14410;25;;;;;;;23;;;;;;2;;;;;;;;6
USLD;2014;250000627;250000221;30;10868;11;;;;;;;7;1;;;;;3;;;;;;1;;
USLD;2014;250000635;250000239;20;7102;26;;;;;;;;;;;;;;;;;;;;;
USLD;2014;250000882;250002839;30;10428;12;;;;4;;;1;2;;;;;5;;;3;2;;;;
USLD;2014;250001237;250007598;60;21168;57;;;15;11;;;17;3;1;;;;10;;;3;;;2;2;0
USLD;2014;250001252;250007788;91;32396;31;;;;;;;;;;;;;;;;;;;;;
USLD;2014;250004009;900000365;30;10899;10;;;;;;;10;;;;;;;;;;4;;0;;
USLD;2014;250007234;250000452;30;10773;13;0;0;4;0;0;0;1;3;0;0;5;0;0;0;0;0;10;0;0;0;0
USLD;2014;260000013;260000021;74;26258;76;;;21;2;16;;52;;;1;;;3;;;;10;;11;6;
USLD;2014;260000138;260000047;40;14288;32;;;4;1;;;20;;;;;;7;0;;0;;0;6;;
USLD;2014;260000195;260006770;58;19798;24;;;;19;;;1;;;;;4;;;;;;;;;
USLD;2014;260000823;260003264;33;11980;4;;;;;;;;;5;;;;;;;;;;;;1
USLD;2014;270000367;270000086;55;19707;32;1;0;8;0;12;0;27;5;0;2;0;0;14;5;0;3;0;0;7;1;
USLD;2014;270000425;270000102;37;13140;19;;;;;;;;;;;;;;;;;;;;;
USLD;2014;270000441;270000110;50;17814;19;;2;;;;1;5;1;;1;;;9;;;;;;;;
USLD;2014;270000516;270000177;30;10956;13;;;;;;;;;;;;;;;;;;;;;
USLD;2014;270026107;270023724;14;4873;14;;;;;;;;;;;;;14;0;0;0;0;0;0;0;0
USLD;2014;280000050;280000142;50;18033;5;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;2;1;0
USLD;2014;280000084;280000183;92;32839;31;;1;;;;;15;;;;;;15;20;;0;0;0;3;;
USLD;2014;280000100;280000225;40;14009;16;;;2;1;;;3;;;;;;10;0;0;0;0;0;2;;
USLD;2014;280000662;280500075;40;13032;40;;;;;;;40;;;;;;;;;;1;;2;1;
USLD;2014;290000066;290020700;34;11908;8;;;;;;;2;3;;;;;3;;;;;;2;;
USLD;2014;290000553;290021542;90;32959;21;;;;;;;11;;7;;;;3;118;0;58;13;0;3;;
USLD;2014;290000785;220020739;34;12220;13;0;;1;;0;;10;;0;;0;;2;;;;;;;;
USLD;2014;290008291;290021542;10;3648;1;;;;;;;;;;;;;1;11;0;;2;0;;;
USLD;2014;290008853;290000074;30;10842;40;;;1;;;;21;;;;;3;;;;2;;;;;
USLD;2014;290014687;290000306;30;10557;27;;;;;;;10;1;;;;;16;0;0;3;2;;4;;
USLD;2014;290017946;290000017;152;54276;64;;;3;;;;25;5;;;;;14;;;21;;6;3;;
USLD;2014;290020841;290000298;35;9091;5;;;;;;;;;;;;;5;;;15;;;;;
USLD;2014;290024462;290000298;35;16282;12;;;;;;;;;8;;;;4;;;56;;;1;;
USLD;2014;290025113;290020700;30;11058;31;;;1;;;;4;1;;;;;25;;;;;;13;;
USLD;2014;290025147;290020700;30;11571;22;;;;;1;;2;3;;;;;16;;;;;;8;;2
USLD;2014;2A0000212;2A0000170;30;9871;14;;;;;;;;;;;;;;;;;;;;;
USLD;2014;2A0002614;2A0002606;30;9728;19;;;7;3;;;6;;;;;;3;;;;;;2;3;
