BOR;AN;FI;FI_EJ;STRUCTURE;CONS_PSY_INT;ACT_INF_INT;CONS_MED_INT;FILACT_INT;dt_NOUV_INT;SEJ;RCP;EFFPL_PM;EFFPL_PMDOU;EFFPL_PNM;EFFPL_PNMDOU;CONS_PSY_EXT;ACT_INF_EXT;CONS_MED_EXT;FILACT_EXT;dt_NOUV_EXT;EFFPA_PM;EFFPA_PMDOU;EFFPA_PNM;EFFPA_PNMDOU;CONS_PSY18;ACT_INF18;CONS_MED18;FILACT18;dt_NOUV18;ETP_PM;ETP_PMDOU;ETP_PNM;ETP_PNMDOU
DOULEUR;2014;210987731;210780417;;;;;;;342;;7;5;;;;;;;;;;;;;;;;;5.8;5;;
DOULEUR;2014;220000012;220000020;Consultation;199;522;1026;532;357;0;41;1;1;0;0;0;98;241;182;115;2;0;5;2;1;0;8;6;5;0.81;0.64;2.3;1.6
DOULEUR;2014;220000095;220000046;Consultation;;250;10;;;0;;;;1;;;53;372;;115;1;1;;;;;;;;0.1;0.1;1;
DOULEUR;2014;220012884;220000103;Consultation;;;;;;;22;1;1;;;206;207;1226;773;377;1;1;;;;;;;;0.5;0.5;;
DOULEUR;2014;230000820;230780041;Consultation;;;;;;0;10;1;1;;;188;507;719;;192;;;1;;4;;;;;0.4;0.4;0.5;
DOULEUR;2014;240000372;240000059;Consultation;;;9;9;1;0;0;1;1;2;1;;;47;34;23;;;;;;;0;0;0;0.25;0.25;1;1
DOULEUR;2014;240000489;240000117;Centre;15;88;132;116;106;0;16;;;5;;802;1019;1011;378;287;4;4;0;;10;2;6;4;3;1.09;1.09;2.84;
DOULEUR;2014;250000114;900000365;Centre;;;1002;;;79;11;0;;;;300;2612;2932;811;295;;;;;3;;9;;;;;;
DOULEUR;2014;250000700;250000452;Consultation;;64;135;97;90;0;;1;;1;;602;671;;630;;1;;2;;;;;;;1.05;;1.6;
DOULEUR;2014;250006954;250000015;Centre;8;4;244;;;1222;64;1;1;;;671;505;3076;1430;824;3;1;5;;;;174;;;2.21;1.41;2.78;
DOULEUR;2014;260000013;260000021;Centre;136;154;76;;;0;;0;0;1;;1107;1397;1651;684;384;4;2;5;3;7;5;12;4;3;1.3;0.9;3.7;1.5
DOULEUR;2014;270000359;270023724;Consultation;226;1231;1413;552;313;0;;3;;4;;;1;814;405;222;;;5;;;;;;;2.58;;6.7;
DOULEUR;2014;270000458;270023724;Consultation;5;267;241;132;120;0;;;;1;;;0;255;113;60;;;1;;;;;;;;;1.2;
DOULEUR;2014;280000084;280000183;Consultation;37;527;34;31;30;0;45;1;;1;;589;710;1189;517;347;4;4;3;1;1;8;8;8;3;1.3;0.8;2.61;0.5
DOULEUR;2014;280504267;280000134;Consultation;26;58;33;29;24;0;0;;;2;1;739;712;1336;677;393;5;5;4;1;45;3;20;8;6;1.27;1.27;2.95;1
DOULEUR;2014;290000025;290020700;Consultation;0;138;37;34;32;0;38;3;3;3;1;390;468;1411;660;379;3;1;1;1;0;0;3;3;3;0.85;0.55;2.2;0.8
DOULEUR;2014;290000033;290021542;Consultation;146;105;513;178;127;0;10;1;1;3;2;0;0;27;24;24;2;2;0;0;1;0;3;3;3;0.5;0.5;0.9;0.4
DOULEUR;2014;290000728;750821092;Consultation;2;;64;19;;0;3;2;;2;;102;;436;253;;1;1;;;;;;;;0.5;0.3;0.15;
DOULEUR;2014;290004324;290000017;;;226;244;118;;318;17;9;5;7;1;;919;3303;1416;;;;;;;;203;74;;2.6;2;3.8;1
DOULEUR;2014;300000023;300780046;Consultation;;;;;;0;;2;1;;;;;179;114;112;0;0;;;;;2;1;0;1.6;0.6;;
DOULEUR;2014;300780152;300000114;Consultation;1467;2961;917;209;94;0;80;;;2;1;;1104;2049;273;;1;1;2;;;;259;;;0.5;0.5;2.87;1
DOULEUR;2014;300782117;300780038;Centre;3;;555;389;323;3043;86;3;2;12;;732;;6745;2279;1493;1;;;;5;;767;37;31;3.4;2;9.97;
DOULEUR;2014;310000310;310780671;Consultation;;;;;;0;4;2;;2;1;454;568;1769;442;184;2;;;;;;;;;2.8;;0.3;0.18
DOULEUR;2014;310016977;310781406;Centre;363;3500;221;51;30;0;22;1;;2;2;669;22;1351;741;690;;;;;1032;3522;1572;792;720;1;;2;1.5
DOULEUR;2014;310780259;310000096;Centre;;;242;;;0;40;;;;;736;132;1653;606;491;2;2;3;2;;;4;4;;1;1;1;1
DOULEUR;2014;310780283;310000112;Centre;272;527;1969;250;180;0;61;1;1;1;1;176;165;2314;1198;795;1;;2;1;;;6;6;6;1.5;1;2;1.5
DOULEUR;2014;310780309;310000120;Centre;484;91;;;;1838;158;4;4;3;1;;821;4865;1203;1068;;;5;4;;;2;;;4;4;3;3
DOULEUR;2014;310781067;310788898;Consultation;1;60;210;95;88;0;10;2;2;3;1;654;657;1160;362;163;;;2;;;;1;;;0.7;0.7;1.85;0.8
DOULEUR;2014;310781125;310000419;;;;;;;;52;;;6;;;;;;;;;2;;;;;;;;;7.86;
DOULEUR;2014;310782347;310789136;Centre;105;;90;45;;0;31;;;2;2;201;339;608;359;261;3;2;;;;;;;;1.7;0.9;2;2
DOULEUR;2014;310783048;310781406;Centre;1126;51;180;156;175;0;30;1;1;2;1;1380;1031;3485;1160;1289;2;2;1;1;;;;;;2.8;2.5;2.6;1.6
DOULEUR;2014;320000086;320780117;Consultation;2;2;40;36;33;0;0;1;1;2;1;213;50;139;108;85;0;0;0;0;8;7;6;4;4;1;1;2;1
DOULEUR;2014;330000555;330781204;Consultation;;81;10;28;27;0;;2;1;3;1;220;211;560;203;109;;;;;;;;2;2;0.5;0.4;1.5;0.8
DOULEUR;2014;330000589;330027509;Consultation;0;0;9;;;0;;;;1;1;252;73;577;;;1;1;3;2;0;0;0;;;0.2;0.2;0.8;0.6
DOULEUR;2014;330000597;330027509;Consultation;1;0;6;9;3;0;;0;0;1;1;168;48;385;447;343;1;1;3;2;0;0;2;;;0.3;0.3;1.8;1.4
DOULEUR;2014;330000605;330781253;Consultation;2;32;58;53;51;0;;3;;;;277;54;865;424;236;;;;;0;0;7;5;4;1.6;;;
DOULEUR;2014;330000662;330781329;Centre;;;;;;16577;;2;;1;1;;;;;;0;;1;;;;;;;2;1;1.75;0.75
DOULEUR;2014;330781360;330781196;Centre;;;;;;6;20;9;4;;;;;3200;1547;849;;;;;;;;;;2.7;2.7;9.5;3
DOULEUR;2014;340000033;340780055;Centre;;;184;174;;0;11;0;0;3;0;660;1820;2283;886;;4;0;1;0;;;2;3;;1.02;0;2.92;0
DOULEUR;2014;340000223;340011295;Consultation;8;4;91;82;82;0;15;1;;4;;116;18;651;271;143;1;;0;;0;0;2;2;2;1.83;;3.52;
DOULEUR;2014;340780675;340000298;Centre;48;114;436;295;238;44;35;1;1;0;0;685;167;1715;623;480;2;1;3;1;37;3;19;10;6;1.4;1.2;1.7;0.8
DOULEUR;2014;340781608;340015171;Consultation;0;0;58;32;32;0;0;;;;;0;0;51;18;18;1;1;1;1;;;;;;0.1;0.1;0.05;0.05
DOULEUR;2014;340782036;340780477;Centre;;;487;3715;3262;474;90;2;2;5;4;700;2644;3952;14485;8311;7;7;7;5;;;;48;44;3.9;3.9;8.9;6.6
DOULEUR;2014;340785161;340780477;Centre;49;369;379;375;;0;20;2;2;1;1;171;137;572;242;;;;2;;220;506;951;617;;1.5;1.5;1.5;1
DOULEUR;2014;350000139;350001137;Centre;153;45;0;;;305;;0;0;;1;593;1061;2141;1023;;4;1;;6;;;;;;1.24;0.8;;4.66
DOULEUR;2014;350000147;350000022;Consultation;;;20;;;368;40;1;1;1;;347;855;1485;698;439;1;1;5;1;;;20;10;;0.7;0.7;2.75;0.75
DOULEUR;2014;350000741;350005179;Centre;;;;;;0;28;3;2;1;;537;947;3415;1196;771;2;2;6;2;88;283;314;247;239;2.17;1.67;2.6;0.8
DOULEUR;2014;350002812;350023503;Consultation;427;564;132;97;61;0;23;0;0;2;1;206;248;603;315;188;5;1;7;0;0;0;0;0;0;0.95;0.65;2.4;1
DOULEUR;2014;360000137;360000053;Consultation;0;47;19;19;19;0;25;;;1;;207;451;238;135;135;;;2;;0;2;0;0;0;;;2;
DOULEUR;2014;370000531;370000606;Consultation;284;0;229;0;;0;;1;1;3;2;222;1943;748;316;93;;;;;;;;;;0.2;0.2;0.85;0.7
DOULEUR;2014;370000861;370000481;;;;197;149;;0;;1;1;;;361;;3033;1301;723;2;1;;;;;49;22;;1.7;1.6;;
DOULEUR;2014;380000018;380780023;;430;85;12;355;;368;;;;3;1;318;207;729;429;174;2;1;2;;;;;;;0.6;0.3;2.23;0.5
DOULEUR;2014;380000034;380780049;Consultation;;;77;;;0;;1;1;;;;;722;344;188;;;;;;;;;;0.5;0.5;;
DOULEUR;2014;380000067;380780080;;1;9;635;270;219;0;;1;;1;;604;611;3600;1055;664;4;;3;;2;17;160;73;59;3.05;;3.62;
DOULEUR;2014;380000174;380781435;Consultation;2;17;16;16;14;0;;;;2;;243;1138;903;322;155;2;;6;;0;0;0;0;0;0.49;;2.05;
DOULEUR;2014;380000406;380784751;Consultation;;;;;;0;;;;;;;;1168;825;;2;2;3;;;;;;;0.7;0.7;1.7;
DOULEUR;2014;380012658;380012609;Centre;152;199;141;;;177;;2;1;;;894;655;3814;700;269;1;1;4;0;;;;;;2.6;2;1.35;0
DOULEUR;2014;390000040;390780146;Centre;3;14;90;;;0;0;1;1;1;;588;1229;3731;601;272;;;5;1;;;;;;1;1;2.9;0.5
DOULEUR;2014;390000222;390780609;;;36;45;40;45;58;13;1;1;;;200;503;813;337;188;;;1;;;;;;;0.6;0.6;1;
DOULEUR;2014;400000105;400780193;Consultation;0;370;56;27;22;0;40;;;1;;341;882;1456;431;274;1;1;3;;15;23;6;3;3;0.6;0.6;2.7;
DOULEUR;2014;400000139;400011177;;2;162;109;88;41;0;1279;1;1;4;;92;194;604;335;87;3;1;1;;0;0;0;0;0;2.5;1.5;2.5;
DOULEUR;2014;410000020;410000087;Consultation;17;47;405;299;;0;;1;1;3;1;1168;1331;1762;834;312;0;0;3;0;7;18;13;3;0;1;1;3.78;1
DOULEUR;2014;420000010;420780033;Consultation;0;0;14;14;14;0;0;3;1;2;1;706;971;2116;679;226;2;1;3;1;;;;;;1.27;1.14;2.98;1
DOULEUR;2014;420000226;420013831;Consultation;25;78;10;;;0;;0;;0;;150;539;747;462;127;5;2;4;2;;;;;;1;0.5;1.15;0.55
DOULEUR;2014;420785354;420784878;Centre;24;;222;222;200;626;128;4;;2;0;1081;2220;7545;2871;1310;3;;1;0;;;;;;1.07;;1.9;0
DOULEUR;2014;430000117;430000018;Consultation;557;437;799;499;191;0;;0;;0;;538;432;669;425;191;1;1;4;;0;0;0;0;0;0.77;0.77;1.86;
DOULEUR;2014;430000307;430000067;Consultation;4;4;8;4;4;0;;;;;;28;16;42;15;15;1;1;4;1;;;;;;0.05;0.05;0.23;0.1
DOULEUR;2014;440000016;440000057;Consultation;;95;;;;0;12;1;1;;;497;285;2185;1063;599;1;1;;;2;11;30;13;11;1.35;1.35;3;1
DOULEUR;2014;440000271;440000289;Consultation;;71;15;13;8;0;48;9;;0;;139;101;2455;1380;1205;1;;2;;;52;302;156;98;1.37;;1;
DOULEUR;2014;440000412;440000941;Centre;1509;4028;11296;;2548;1358;11;3;3;9;3;;;;;;5;4;1;;;;14;;;5;4.4;9.5;3
DOULEUR;2014;440000453;440000289;Consultation;;0;4;4;0;0;;0;0;0;0;;2;308;79;42;0;0;0;0;;0;0;0;0;0;0;0;0
DOULEUR;2014;440001113;490017258;Consultation;;;109;;;0;12;4;;1;1;112;342;1764;535;338;5;1;1;1;;;0;;;7.82;0.5;1;1
DOULEUR;2014;440017598;440000289;Centre;;5;59;36;18;603;440;6;;2;;536;1092;4297;1847;815;2;;7;;;1;35;8;4;2.52;;5.89;
DOULEUR;2014;440023364;440006377;Centre;0;0;50;0;0;985;60;3;3;12;1;380;986;4294;2526;1451;1;1;2;0;5;0;15;0;10;3.2;3.2;11.12;1
DOULEUR;2014;440050433;440041895;Consultation;;56;;;;0;8;;;;;296;161;637;262;156;2;2;;;0;0;0;0;;0.2;0.2;0.8;
DOULEUR;2014;450000021;450000088;Centre;50;1027;941;134;;46;;5;;25;;302;1967;2913;1290;748;3;;5;;;;;;;3.85;;25.6;
DOULEUR;2014;460000110;460780216;Consultation;148;77;634;419;;0;146;;;3;2;612;164;558;386;167;2;1;1;1;;;;;;0.5;0.4;1.9;1.4
DOULEUR;2014;470000423;470000316;Consultation;0;372;72;224;181;0;0;1;1;3;0;150;1105;1210;521;319;0;0;1;0;;;;10;;0.87;0.87;1.66;0
DOULEUR;2014;470000431;470000324;Consultation;52;;;;;0;;;;;;154;;;195;;1;;;;15;;;;;0.29;;;
DOULEUR;2014;490000049;490000031;Consultation;117;3;6;6;3;0;;0;0;3;;690;373;1628;874;293;1;1;7;;0;0;0;0;0;0.5;0.5;3.8;
DOULEUR;2014;490000155;490017258;Centre;;;;;;0;24;;;;;;;1684;553;399;5;5;3;;;;;;;1.1;1.1;1.2;
DOULEUR;2014;490000635;490000676;Consultation;9;56;2;;;0;;3;1;;;272;683;753;367;172;2;2;4;1;0;0;1;1;1;0.73;0.57;1.4;0.67
DOULEUR;2014;490540440;490004330;Consultation;;;;;;0;;;;;;;;67;;20;1;;;;;;;;;0.05;;;
DOULEUR;2014;500000021;500000054;Consultation;;;;;;0;;;;;;;;642;;;1;1;;;;;;;;0.2;0.2;;
DOULEUR;2014;500000187;500000013;Consultation;;82;18;;;0;;;;1;;357;933;509;271;142;5;1;4;2;;;;;;0.32;0.06;2.5;1.3
DOULEUR;2014;500000260;500000054;Consultation;;;;;;0;;;;1;2;;;483;;;1;1;3;2;;;;;;0.3;0.3;2.19;3.6
DOULEUR;2014;500000450;500000112;Consultation;;318;115;115;115;0;;3;2;1;1;512;401;1821;628;249;2;;2;1;;;;;;1.3;1;2;
