BOR;AN;FI;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2014;530006188;440002590;1140X;;;;6;4;565;;;;;
DIALYSE;2014;530006188;440002590;TOT;0;;;;;;;;;1;
DIALYSE;2014;540000163;540020112;TOT;0;;;;;;6;;;;
DIALYSE;2014;540000478;540003449;112BA;;;;21;96;13184;;;;;
DIALYSE;2014;540000478;540003449;TOT;0;;;;;;900;;;32;
DIALYSE;2014;540000486;540000932;112BA;;;;32;421;21980;;;;;
DIALYSE;2014;540000486;540000932;TOT;0;;;;;;;;;;
DIALYSE;2014;540000981;540001112;112AX;;;;18;26;2889;;;;;
DIALYSE;2014;540000981;540001112;1130X;;;;22;42;7131;;;;;
DIALYSE;2014;540000981;540001112;1150A;;;;16;14;3046;;;;;
DIALYSE;2014;540000981;540001112;121AA;;;;;60;;;;2800;;
DIALYSE;2014;540000981;540001112;121CA;;;;40;40;;;;1973;;
DIALYSE;2014;540000981;540001112;122AX;;;;4;9;;;;332;;
DIALYSE;2014;540000981;540001112;TOT;0;;;;;;;;;;
DIALYSE;2014;540001096;570010181;112BA;;;;14;50;6827;;;;;
DIALYSE;2014;540001096;570010181;122AX;;;;1;6;;;;37;;
DIALYSE;2014;540001096;570010181;TOT;0;;;;;;521;;;;
DIALYSE;2014;540002698;540023264;112BA;;;;19;83;9959;;;;;
DIALYSE;2014;540002698;540023264;112BE;;;;6;10;1586;;;;;
DIALYSE;2014;540002698;540023264;122BA;;;;2;0;;;;0;;
DIALYSE;2014;540002698;540023264;122BE;;;;1;0;;;;0;;
DIALYSE;2014;540002698;540023264;AUTRE;;;;;0;69;;;;;
DIALYSE;2014;540002698;540023264;TOT;0;;;;;;2696;2;;87;27
DIALYSE;2014;540002698;540023264;VACAN;;;;;0;5;;;;;
DIALYSE;2014;540008380;540001112;1130X;;;;32;63;8698;;;;;
DIALYSE;2014;540008380;540001112;1140X;;;;16;28;3468;;;;;
DIALYSE;2014;540018876;540001112;1140X;;;;8;0;500;;;;;
DIALYSE;2014;550000012;550006795;112AX;;;;2;0;23;;;;;
DIALYSE;2014;550000012;550006795;112BA;;;;19;57;9028;;;;;
DIALYSE;2014;550000012;550006795;121AA;;;;;1;;;;;;
DIALYSE;2014;550000012;550006795;121CA;;;;;1;;;;;;
DIALYSE;2014;550000012;550006795;122AX;;;;;1;;;;0;;
DIALYSE;2014;550000012;550006795;122BA;;;;;1;;;;;;
DIALYSE;2014;550000012;550006795;TOT;0;;;;;;1127;;;49;9
DIALYSE;2014;550002885;540001112;1130X;;;;8;19;3069;;;;;
DIALYSE;2014;550002885;540001112;1140X;;;;8;0;250;;;;;
DIALYSE;2014;550005219;540001112;1130X;;;;8;13;1445;;;;;
DIALYSE;2014;550005219;540001112;1140X;;;;8;9;1514;;;;;
DIALYSE;2014;550005219;540001112;TOT;1;1;14;;;;;;;;
DIALYSE;2014;560000127;560023210;112AX;;;;2;16;168;;;;;
DIALYSE;2014;560000127;560023210;112BA;;;;14;52;8163;;;;;
DIALYSE;2014;560000127;560023210;112BE;;;;0;0;11;;;;;
DIALYSE;2014;560000127;560023210;1130X;;;;5;0;828;;;;;
DIALYSE;2014;560000127;560023210;121AA;;;;;1;;;;5;;
DIALYSE;2014;560000127;560023210;121CA;;;;1;0;;;;0;;
DIALYSE;2014;560000127;560023210;122AX;;;;1;1;;;;112;;
DIALYSE;2014;560000127;560023210;TOT;0;;;;;;903;2;;61;11
DIALYSE;2014;560000135;560005746;112BA;;;;13;140;6195;;;;;
DIALYSE;2014;560000135;560005746;TOT;0;;;;;;417;;;18;
DIALYSE;2014;560000143;560014748;112BA;;;;13;;6945;;;;;
DIALYSE;2014;560000143;560014748;TOT;;;;;;;501;;;;
DIALYSE;2014;560004004;350000626;112BA;;;;16;27;4609;;;;;
DIALYSE;2014;560004004;350000626;TOT;0;;;;;;0;;;;
DIALYSE;2014;560006348;350000626;112AX;;;;2;0;10;;;;;
DIALYSE;2014;560009490;440002590;1140X;;;;5;2;197;;;;;
DIALYSE;2014;560009508;440002590;1140X;;;;6;5;990;;;;;
DIALYSE;2014;560009508;440002590;TOT;0;;;;;;;;;3;
DIALYSE;2014;560009524;440002590;1130X;;;;8;25;2714;;;;;
DIALYSE;2014;560009524;440002590;1140X;;;;6;14;2480;;;;;
DIALYSE;2014;560009524;440002590;TOT;0;;;;;;0;;;13;
DIALYSE;2014;560014078;440002590;1140X;;;;6;5;974;;;;;
DIALYSE;2014;560014128;440002590;1140X;;;;6;4;612;;;;;
DIALYSE;2014;560014128;440002590;TOT;0;;;;;;;;;2;
DIALYSE;2014;560020208;350000626;1130X;;;;14;16;2577;;;;;
DIALYSE;2014;560023152;440002590;112BA;;;;24;77;12454;;;;;
DIALYSE;2014;560023152;440002590;TOT;0;;;;;;0;1;;14;
DIALYSE;2014;560023848;350000626;112AX;;;;4;1;3570;;;;;
DIALYSE;2014;560023848;350000626;1130X;;;;22;38;6405;;;;;
DIALYSE;2014;560023848;350000626;1140X;;;;6;6;851;;;;;
DIALYSE;2014;570000091;750050759;112BA;;;;16;114;7096;;;;;
DIALYSE;2014;570000091;750050759;TOT;0;;;;;;88;2;;13;
DIALYSE;2014;570000349;570005165;112BA;;;;24;93;14156;;;;;
DIALYSE;2014;570000349;570005165;121AA;;;;;2;;;;10;;
DIALYSE;2014;570000349;570005165;121CA;;;;5;0;;;;5;;
DIALYSE;2014;570000349;570005165;122AX;;;;2;0;;;;41;;
DIALYSE;2014;570000349;570005165;122BA;;;;5;1;;;;34;;
DIALYSE;2014;570000349;570005165;TOT;0;;;;;;1246;;;36;4
DIALYSE;2014;570000349;570005165;VACAN;;;;;;54;;;;;
DIALYSE;2014;570003905;540001112;1130X;;;;16;44;5962;;;;;
DIALYSE;2014;570003905;540001112;1140X;;;;8;7;1218;;;;;
DIALYSE;2014;570004002;570013797;1130X;;;;4;18;2407;;;;;
DIALYSE;2014;570004002;570013797;1140X;;;;6;2;590;;;;;
DIALYSE;2014;570010082;570013797;112AX;;;;4;5;679;;;;;
DIALYSE;2014;570010082;570013797;1130X;;;;32;154;20913;;;;;
DIALYSE;2014;570010082;570013797;1140X;;;;12;18;2508;;;;;
DIALYSE;2014;570010082;570013797;1150A;;;;3;3;407;;;;;
DIALYSE;2014;570010082;570013797;121AA;;;;;23;;;;1349;;
DIALYSE;2014;570010082;570013797;121CA;;;;18;18;;;;795;;
DIALYSE;2014;570010082;570013797;122AX;;;;2;0;;;;105;;
DIALYSE;2014;570010082;570013797;TOT;0;;;;;;;2;;38;17
DIALYSE;2014;570011635;540001112;1130X;;;;8;27;3704;;;;;
DIALYSE;2014;570015636;570013797;1140X;;;;6;0;112;;;;;
DIALYSE;2014;570022830;540001112;1140X;;;;6;5;919;;;;;
DIALYSE;2014;570026252;570023630;112BA;;;;28;112;15745;;;;;
DIALYSE;2014;570026252;570023630;TOT;0;;;;;;1793;;;;
DIALYSE;2014;570026682;570005165;112BA;;;;12;62;8134;;;;;
DIALYSE;2014;570026682;570005165;121AA;;;;;6;;;;;;
DIALYSE;2014;570026682;570005165;121CA;;;;3;10;;;;52;;
DIALYSE;2014;570026682;570005165;122AX;;;;2;0;;;;24;;
DIALYSE;2014;570026682;570005165;122BA;;;;3;1;;;;33;;
DIALYSE;2014;570026682;570005165;TOT;0;;;;;;995;;;101;5
DIALYSE;2014;570027029;540001112;1130X;;;;8;14;889;;;;;
DIALYSE;2014;570027029;540001112;TOT;1;1;17;;;;;;;;
DIALYSE;2014;580004588;630000990;1130X;;;;12;37;5842;;;;;
DIALYSE;2014;580004588;630000990;1140X;;;;6;15;1922;;;;;
DIALYSE;2014;580004588;630000990;121AA;;;;;8;;;;270;;
DIALYSE;2014;580004588;630000990;121CA;;;;9;12;;;;570;;
DIALYSE;2014;580004588;630000990;TOT;0;;;;;;;;;;
DIALYSE;2014;580004638;630000990;1140X;;;;5;6;958;;;;;
DIALYSE;2014;580972693;580780039;112AX;;;;2;4;588;;;;;
DIALYSE;2014;580972693;580780039;112BA;;;;18;82;11488;;;;;
DIALYSE;2014;580972693;580780039;121AA;;;;;11;;;;368;;
DIALYSE;2014;580972693;580780039;121CA;;;;3;11;;;;607;;
DIALYSE;2014;580972693;580780039;122AX;;;;2;0;;;;64;;
DIALYSE;2014;580972693;580780039;122BA;;;;11;2;;;;55;;
DIALYSE;2014;580972693;580780039;TOT;0;;;;;;1559;;;39;12
DIALYSE;2014;590000337;590781415;112BA;;;;20;300;14228;;;;;
DIALYSE;2014;590000337;590781415;121AA;;;;;8;;;;;;
DIALYSE;2014;590000337;590781415;121CA;;;;0;0;;;;1;;
DIALYSE;2014;590000337;590781415;122BA;;;;1;8;;;;19;;
DIALYSE;2014;590000337;590781415;TOT;0;;;;;;1812;;;;19
DIALYSE;2014;590000428;590781605;112BA;;;;13;56;8794;;;;;
DIALYSE;2014;590000428;590781605;121AA;;;;;2;;;;79;;
DIALYSE;2014;590000428;590781605;121CA;;;;2;1;;;;28;;
DIALYSE;2014;590000428;590781605;122AX;;;;2;2;;;;28;;
DIALYSE;2014;590000428;590781605;122BA;;;;2;3;;;;79;;
DIALYSE;2014;590000428;590781605;TOT;0;;;;;;877;;;34;6
DIALYSE;2014;590000469;590781662;112BA;;;;8;33;4630;;;;;
DIALYSE;2014;590000469;590781662;TOT;0;;;;;;121;;;11;
DIALYSE;2014;590000535;590781803;112AX;;;;2;0;2;;;;;
DIALYSE;2014;590000535;590781803;112BA;;;;10;49;5724;;;;;
DIALYSE;2014;590000535;590781803;1130X;;;;10;9;1236;;;;;
DIALYSE;2014;590000535;590781803;121AA;;;;;1;;;;;;
DIALYSE;2014;590000535;590781803;TOT;0;;;;;;790;1;;28;0
DIALYSE;2014;590000535;590781803;VACAN;;;;;;11;;;;;
DIALYSE;2014;590000618;590782215;112AX;;;;3;7;890;;;;;
DIALYSE;2014;590000618;590782215;112BA;;;;32;144;24462;;;;;
DIALYSE;2014;590000618;590782215;1130X;;;;12;46;6727;;;;;
DIALYSE;2014;590000618;590782215;122AX;;;;2;14;;;;279;;
DIALYSE;2014;590000618;590782215;122BA;;;;0;0;;;;45;;
DIALYSE;2014;590000618;590782215;TOT;0;;;;;;2182;;;59;13
DIALYSE;2014;590001004;590783239;112AX;;;;2;1;64;;;;;
DIALYSE;2014;590001004;590783239;112BA;;;;22;89;11829;;;;;
DIALYSE;2014;590001004;590783239;1130X;;;;12;12;1555;;;;;
DIALYSE;2014;590001004;590783239;121AA;;;;;0;;;;2;;
DIALYSE;2014;590001004;590783239;TOT;0;;;;;;847;;;42;2
DIALYSE;2014;590006607;590780193;112BE;;;;6;5;814;;;;;
DIALYSE;2014;590006607;590780193;121CE;;;;;9;;;;364;;
DIALYSE;2014;590006607;590780193;122AX;;;;;6;;;;6;;
DIALYSE;2014;590006607;590780193;TOT;0;;;;;;125;;;;
DIALYSE;2014;590008041;590008033;112BA;;;;16;64;8867;;;;;
DIALYSE;2014;590008041;590008033;TOT;0;;;;;;585;;;;
DIALYSE;2014;590008306;620112581;1140X;;;;8;17;2369;;;;;
DIALYSE;2014;590008306;620112581;TOT;0;;;;;;;2;;1;
DIALYSE;2014;590015418;590799995;1140X;;;;6;21;3510;;;;;
DIALYSE;2014;590023438;590799995;1130X;;;;8;57;8469;;;;;
DIALYSE;2014;590023438;590799995;1140X;;;;16;50;8546;;;;;
DIALYSE;2014;590024618;590799995;1140X;;;;18;45;6792;;;;;
DIALYSE;2014;590024659;590799995;1130X;;;;4;4;575;;;;;
DIALYSE;2014;590024659;590799995;1140X;;;;14;46;6869;;;;;
DIALYSE;2014;590031738;590799995;1140X;;;;24;44;6468;;;;;
DIALYSE;2014;590034815;590001467;1140X;;;;8;11;1631;;;;;
DIALYSE;2014;590035200;590799995;1140X;;;;6;24;3432;;;;;
DIALYSE;2014;590035390;620112581;1140X;;;;8;15;2340;;;;;
DIALYSE;2014;590035390;620112581;TOT;0;;;;;;;2;;3;
DIALYSE;2014;590040317;590799995;1140X;;;;6;10;1684;;;;;
DIALYSE;2014;590040325;590799995;1140X;;;;6;16;2605;;;;;
DIALYSE;2014;590041471;620112581;1140X;;;;12;17;2711;;;;;
DIALYSE;2014;590041471;620112581;TOT;0;;;;;;;2;;;
DIALYSE;2014;590044640;590799995;1140X;;;;8;31;4555;;;;;
DIALYSE;2014;590045514;590799995;1140X;;;;18;52;7193;;;;;
DIALYSE;2014;590045951;590799995;1140X;;;;12;25;3838;;;;;
DIALYSE;2014;590046579;620112581;1140X;;;;8;28;4541;;;;;
DIALYSE;2014;590046579;620112581;TOT;0;;;;;;;2;;;
DIALYSE;2014;590046744;590799995;1140X;;;;6;7;870;;;;;
DIALYSE;2014;590046751;590799995;1140X;;;;12;35;4825;;;;;
DIALYSE;2014;590046769;590799995;1140X;;;;12;27;4295;;;;;
DIALYSE;2014;590047361;590799995;1140X;;;;6;17;2786;;;;;
DIALYSE;2014;590047866;590799995;1140X;;;;6;24;3719;;;;;
DIALYSE;2014;590047874;590799995;1130X;;;;8;23;3437;;;;;
DIALYSE;2014;590780268;590053955;112BA;;;;26;146;21448;;;;;
DIALYSE;2014;590780268;590053955;1130X;;;;16;60;8181;;;;;
DIALYSE;2014;590780268;590053955;122AX;;;;1;0;;;;4;;
DIALYSE;2014;590780268;590053955;TOT;0;;;;;;1181;5;;;
DIALYSE;2014;590780383;590000204;112AX;;;;2;1;791;;;;;
DIALYSE;2014;590780383;590000204;112BA;;;;34;129;20068;;;;;
DIALYSE;2014;590780383;590000204;1130X;;;;14;92;11681;;;;;
DIALYSE;2014;590780383;590000204;122AX;;;;;;;;;1;;
DIALYSE;2014;590780383;590000204;TOT;0;;;;;;1444;;;;
DIALYSE;2014;590784484;590001467;112AX;;;;2;0;12;;;;;
DIALYSE;2014;590784484;590001467;112BA;;;;26;89;14190;;;;;
DIALYSE;2014;590784484;590001467;1130X;;;;8;8;1158;;;;;
DIALYSE;2014;590784484;590001467;121CA;;;;5;4;;;;199;;
DIALYSE;2014;590784484;590001467;122AX;;;;1;0;;;;9;;
DIALYSE;2014;590784484;590001467;TOT;0;;;;;;0;2;;31;1
DIALYSE;2014;590784914;590799995;1150A;;;;27;25;6004;;;;;
DIALYSE;2014;590784914;590799995;121AA;;;;;102;;;;5175;;
DIALYSE;2014;590784914;590799995;121CA;;;;72;63;;;;3099;;
DIALYSE;2014;590784914;590799995;TOT;0;;;;;;;;;;94
DIALYSE;2014;590801106;590782421;112BA;;;;29;101;13730;;;;;
DIALYSE;2014;590801106;590782421;121CA;;;;5;1;;;;5;;
DIALYSE;2014;590801106;590782421;122AX;;;;5;4;;;;5;;
DIALYSE;2014;590801106;590782421;122BA;;;;5;2;;;;19;;
DIALYSE;2014;590801106;590782421;TOT;0;;;;;;2175;4;;65;2
DIALYSE;2014;590806428;620112581;1140X;;;;14;34;5034;;;;;
DIALYSE;2014;590806428;620112581;TOT;0;;;;;;;2;;5;
DIALYSE;2014;590810099;620112581;1140X;;;;8;24;3686;;;;;
DIALYSE;2014;590810099;620112581;TOT;0;;;;;;;2;;1;
DIALYSE;2014;590811006;590001467;1140X;;;;8;8;1411;;;;;
DIALYSE;2014;590811279;590780193;112AX;;;;2;2;87;;;;;
DIALYSE;2014;590811279;590780193;112BA;;;;26;64;11112;;;;;
DIALYSE;2014;590811279;590780193;1130X;;;;12;34;5090;;;;;
DIALYSE;2014;590811279;590780193;122AX;;;;;1;;;;124;;
DIALYSE;2014;590811279;590780193;TOT;0;;;;;;2636;0;;74;16
DIALYSE;2014;590813341;590799995;1140X;;;;6;9;1418;;;;;
DIALYSE;2014;590813747;590001467;1140X;;;;8;9;1492;;;;;
DIALYSE;2014;590815007;620112581;1140X;;;;8;30;4393;;;;;
DIALYSE;2014;590815007;620112581;TOT;0;;;;;;;2;;3;
DIALYSE;2014;600000194;600100713;112BA;;;;16;73;9988;;;;;
DIALYSE;2014;600000194;600100713;1150A;;;;1;;;;;;;
DIALYSE;2014;600000194;600100713;122AX;;;;1;2;;;;69;;
DIALYSE;2014;600000194;600100713;TOT;0;;;;;;878;1;;40;7
DIALYSE;2014;600000467;600101984;112BA;;;;21;102;14580;;;;;
DIALYSE;2014;600000467;600101984;121AA;;;;;4;;;;315;;
DIALYSE;2014;600000467;600101984;121CA;;;;0;5;;;;281;;
DIALYSE;2014;600000467;600101984;122AX;;;;0;0;;;;30;;
DIALYSE;2014;600000467;600101984;122BA;;;;0;2;;;;16;;
DIALYSE;2014;600000467;600101984;TOT;0;;;;;;968;0;;54;2
DIALYSE;2014;600002067;590799995;1130X;;;;8;12;1305;;;;;
DIALYSE;2014;600002067;590799995;1140X;;;;6;15;1774;;;;;
DIALYSE;2014;600008734;590799995;1140X;;;;12;29;4187;;;;;
DIALYSE;2014;600100754;600000228;112BA;;;;28;155;13702;;;;;
DIALYSE;2014;600100754;600000228;121AE;;;;;0;;;;21;;
DIALYSE;2014;600100754;600000228;122BA;;;;1;0;;;;19;;
DIALYSE;2014;600100754;600000228;AUTRE;;;;;100;;;;;;
DIALYSE;2014;600100754;600000228;TOT;0;;;;;;787;;;31;2
DIALYSE;2014;600109748;590799995;1130X;;;;8;31;4316;;;;;
DIALYSE;2014;600109748;590799995;1140X;;;;6;23;3383;;;;;
DIALYSE;2014;600110399;600010201;1140X;;;;7;9;1446;;;;;
DIALYSE;2014;600112460;600010201;1130X;;;;14;49;6951;;;;;
DIALYSE;2014;600112460;600010201;1140X;;;;7;16;2341;;;;;
DIALYSE;2014;600112460;600010201;121AA;;;;;5;;;;338;;
DIALYSE;2014;600112460;600010201;121CA;;;;3;3;;;;137;;
DIALYSE;2014;600112460;600010201;122AX;;;;0;0;;;;49;;
DIALYSE;2014;600112460;600010201;TOT;0;;;;;;;;;;
DIALYSE;2014;610000051;610780082;112AX;;;;2;0;67;;;;;
DIALYSE;2014;610000051;610780082;112BA;;;;9;45;6074;;;;;
DIALYSE;2014;610000051;610780082;121AA;;;;;9;;;;536;;
DIALYSE;2014;610000051;610780082;121CA;;;;0;13;;;;455;;
DIALYSE;2014;610000051;610780082;122AX;;;;1;8;;;;12;;
DIALYSE;2014;610000051;610780082;122BA;;;;0;22;;;;824;;
DIALYSE;2014;610000051;610780082;TOT;0;;;;;;1099;1;;34;5
DIALYSE;2014;610000119;610780165;112AX;;;;1;;5;;;;;
DIALYSE;2014;610000119;610780165;112BA;;;;10;44;6196;;;;;
DIALYSE;2014;610000119;610780165;1140X;;;;10;10;1400;;;;;
DIALYSE;2014;610000119;610780165;121AA;;;;;;;;;75;;
DIALYSE;2014;610000119;610780165;121CA;;;;2;2;;;;192;;
DIALYSE;2014;610000119;610780165;122AX;;;;1;;;;;16;;
DIALYSE;2014;610000119;610780165;122BA;;;;;;;;;30;;
DIALYSE;2014;610000119;610780165;TOT;0;;;;;;276;1;;11;2
DIALYSE;2014;610006710;140000852;1140X;;;;8;12;1554;;;;;
DIALYSE;2014;610006728;140000852;1130X;;;;10;22;2913;;;;;
DIALYSE;2014;610006728;140000852;1140X;;;;10;12;1939;;;;;
DIALYSE;2014;610006728;140000852;1150A;;;;2;2;483;;;;;
DIALYSE;2014;610006728;140000852;121AA;;;;;13;;;;556;;
DIALYSE;2014;610006728;140000852;121CA;;;;15;15;;;;711;;
DIALYSE;2014;610006728;140000852;TOT;0;;;;;;;;;;
DIALYSE;2014;610006736;140000852;1140X;;;;4;9;1070;;;;;
DIALYSE;2014;620000034;620100057;112AX;;;;2;0;2;;;;;
DIALYSE;2014;620000034;620100057;112BA;;;;18;81;12257;;;;;
DIALYSE;2014;620000034;620100057;1130X;;;;12;12;1884;;;;;
DIALYSE;2014;620000034;620100057;1150A;;;;;2;;;;;;
DIALYSE;2014;620000034;620100057;121AA;;;;;3;;;;105;;
DIALYSE;2014;620000034;620100057;121CA;;;;;2;;;;68;;
DIALYSE;2014;620000034;620100057;122AX;;;;0;1;;;;19;;
DIALYSE;2014;620000034;620100057;AUTRE;;;;;;5378;;;;;
DIALYSE;2014;620000034;620100057;TOT;0;;;;;;;2;;36;2
DIALYSE;2014;620000224;620100651;112AX;;;;1;0;196;;;;;
DIALYSE;2014;620000224;620100651;112BA;;;;22;211;12811;;;;;
DIALYSE;2014;620000224;620100651;121AA;;;;;;;;;22;;
DIALYSE;2014;620000224;620100651;121CA;;;;;9;;;;152;;
DIALYSE;2014;620000224;620100651;122AX;;;;;0;;;;2;;
DIALYSE;2014;620000224;620100651;122BA;;;;2;11;;;;117;;
DIALYSE;2014;620000224;620100651;TOT;0;;;;;;1982;;;;
DIALYSE;2014;620000257;620100685;112AX;;;;1;1;8;;;;;
DIALYSE;2014;620000257;620100685;112BA;;;;16;14;2376;;;;;
DIALYSE;2014;620000257;620100685;1130X;;;;16;15;2518;;;;;
DIALYSE;2014;620000257;620100685;TOT;0;;;;;;180;;;4;
DIALYSE;2014;620000323;620101337;TOT;0;;;;;;2;;;;
DIALYSE;2014;620000349;620101360;TOT;0;;;;;;6;;;;
DIALYSE;2014;620000653;620103440;112AX;;;;2;0;46;;;;;
DIALYSE;2014;620000653;620103440;112BA;;;;51;186;28350;;;;;
DIALYSE;2014;620000653;620103440;1130X;;;;6;8;949;;;;;
DIALYSE;2014;620000653;620103440;122AX;;;;1;0;;;;2;;
DIALYSE;2014;620000653;620103440;122BA;;;;;2;;;;;;
DIALYSE;2014;620000653;620103440;TOT;1;1;15;;;;1645;3;;99;8
DIALYSE;2014;620000653;620103440;VACAN;;;;;0;136;;;;;
DIALYSE;2014;620010058;590799995;1140X;;;;14;51;7751;;;;;
DIALYSE;2014;620011338;590799995;1140X;;;;12;24;3973;;;;;
DIALYSE;2014;620011338;590799995;VACAN;;;;;;596;;;;;
DIALYSE;2014;620018705;620112581;1150A;;;;8;8;1889;;;;;
DIALYSE;2014;620018705;620112581;121AA;;;;;46;;;;2204;;
DIALYSE;2014;620018705;620112581;121CA;;;;36;36;;;;1772;;
DIALYSE;2014;620018705;620112581;TOT;0;;;;;;;;;;
DIALYSE;2014;620020636;620112581;1140X;;;;8;18;2641;;;;;
DIALYSE;2014;620020636;620112581;TOT;0;;;;;;;2;;1;
DIALYSE;2014;620024208;620002352;112AX;;;;2;0;42;;;;;
DIALYSE;2014;620024208;620002352;112BA;;;;18;61;9818;;;;;
DIALYSE;2014;620024208;620002352;1130X;;;;12;14;2596;;;;;
DIALYSE;2014;620024208;620002352;1140X;;;;12;15;2421;;;;;
DIALYSE;2014;620024208;620002352;121AA;;;;;0;;;;3;;
DIALYSE;2014;620024208;620002352;122AX;;;;2;0;;;;1;;
DIALYSE;2014;620024208;620002352;TOT;0;;;;;;0;2;;27;0
DIALYSE;2014;620025494;620112581;1130X;;;;8;42;6544;;;;;
DIALYSE;2014;620025494;620112581;1140X;;;;8;34;5906;;;;;
DIALYSE;2014;620025494;620112581;TOT;0;;;;;;;4;;10;
DIALYSE;2014;620026997;590799995;1140X;;;;6;25;3601;;;;;
DIALYSE;2014;620101501;620000364;112BA;;;;31;135;28237;;;;;
DIALYSE;2014;620101501;620000364;1130X;;;;8;29;7042;;;;;
DIALYSE;2014;620101501;620000364;121CA;;;;2;1;;;;3;;
DIALYSE;2014;620101501;620000364;122AX;;;;14;1;;;;14;;
DIALYSE;2014;620101501;620000364;122BA;;;;1;1;;;;31;;
DIALYSE;2014;620101501;620000364;TOT;0;;;;;;1640;;;2;1
DIALYSE;2014;620115170;620112581;1140X;;;;8;36;5330;;;;;
DIALYSE;2014;620115170;620112581;TOT;0;;;;;;;2;;7;
DIALYSE;2014;620115410;620112581;1140X;;;;9;38;5579;;;;;
DIALYSE;2014;620115410;620112581;TOT;0;;;;;;;2;;9;
DIALYSE;2014;620117309;620112581;1140X;;;;10;19;2846;;;;;
DIALYSE;2014;620117309;620112581;TOT;0;;;;;;;2;;1;
DIALYSE;2014;620117325;620112581;1140X;;;;10;36;5339;;;;;
DIALYSE;2014;620117325;620112581;TOT;0;;;;;;;2;;;
DIALYSE;2014;620117812;620112581;1140X;;;;8;35;5329;;;;;
DIALYSE;2014;620117812;620112581;TOT;0;;;;;;;2;;6;
DIALYSE;2014;620120063;620112581;1140X;;;;8;12;2001;;;;;
DIALYSE;2014;620120063;620112581;TOT;0;;;;;;;1;;;
DIALYSE;2014;630000404;630780989;112BA;;;;28;89;13615;;;;;
DIALYSE;2014;630000404;630780989;TOT;0;;;;;;2060;;;;
DIALYSE;2014;630000479;630781110;TOT;0;;;;;;96;;;;
DIALYSE;2014;630005668;630000990;112BA;;;;23;84;13481;;;;;
DIALYSE;2014;630005668;630000990;TOT;0;;;;;;0;;;;
DIALYSE;2014;630007698;630000990;112AX;;;;0;1;53;;;;;
DIALYSE;2014;630007698;630000990;1140X;;;;5;13;2148;;;;;
DIALYSE;2014;630007748;630000990;112AX;;;;0;0;5;;;;;
DIALYSE;2014;630007748;630000990;1140X;;;;8;17;3021;;;;;
DIALYSE;2014;630007789;630000990;1140X;;;;5;5;808;;;;;
DIALYSE;2014;630007839;630000990;112AX;;;;0;0;128;;;;;
DIALYSE;2014;630007839;630000990;1140X;;;;8;17;2428;;;;;
DIALYSE;2014;630007888;630000990;112AX;;;;;0;14;;;;;
DIALYSE;2014;630007888;630000990;1140X;;;;5;9;1230;;;;;
DIALYSE;2014;630781268;630780989;112BE;;;;1;14;15;;;;;
DIALYSE;2014;630781268;630780989;TOT;0;;;;;;13;;;;
DIALYSE;2014;630784742;630000990;112AX;;;;3;4;1059;;;;;
DIALYSE;2014;630784742;630000990;1130X;;;;14;58;9291;;;;;
DIALYSE;2014;630784742;630000990;1140X;;;;6;18;2771;;;;;
DIALYSE;2014;630784742;630000990;1150A;;;;4;3;656;;;;;
DIALYSE;2014;630784742;630000990;121AA;;;;;16;;;;876;;
DIALYSE;2014;630784742;630000990;121CA;;;;19;13;;;;813;;
DIALYSE;2014;630784742;630000990;122AX;;;;1;2;;;;168;;
DIALYSE;2014;630784742;630000990;TOT;0;;;;;;;;;;
DIALYSE;2014;640000162;640780417;112AX;;;;4;1;350;;;;;
DIALYSE;2014;640000162;640780417;112BA;;;;19;69;8250;;;;;
DIALYSE;2014;640000162;640780417;112BE;;;;0;1;133;;;;;
DIALYSE;2014;640000162;640780417;TOT;0;;;;;;934;;;;
DIALYSE;2014;640005302;330000266;1140X;;;;14;25;3873;;;;;
DIALYSE;2014;640005310;330000266;1140X;;;;8;5;822;;;;;
DIALYSE;2014;640005336;640017612;1140X;;;;6;9;756;;;;;
DIALYSE;2014;640013520;640017612;1140X;;;;6;10;1441;;;;;
DIALYSE;2014;640013553;640000113;1140X;;;;6;5;1025;;;;;
DIALYSE;2014;640017679;640017612;1140X;;;;6;5;784;;;;;
DIALYSE;2014;640781332;640017612;112AX;;;;2;0;134;;;;;
DIALYSE;2014;640781332;640017612;112BA;;;;39;175;25424;;;;;
DIALYSE;2014;640781332;640017612;1130X;;;;25;15;2432;;;;;
DIALYSE;2014;640781332;640017612;121AA;;;;;4;;;;137;;
DIALYSE;2014;640781332;640017612;121CA;;;;2;2;;;;103;;
DIALYSE;2014;640781332;640017612;122AX;;;;2;0;;;;21;;
DIALYSE;2014;640781332;640017612;AUTRE;;;;;;21405;;;;;
DIALYSE;2014;640781332;640017612;TOT;0;;;;;;0;;;110;3
DIALYSE;2014;640789640;640000113;112AX;;;;2;0;29;;;;;
DIALYSE;2014;640789640;640000113;112BA;;;;30;286;20017;;;;;
DIALYSE;2014;640789640;640000113;112BE;;;;1;0;7;;;;;
DIALYSE;2014;640789640;640000113;121AA;;;;;2;;;;176;;
DIALYSE;2014;640789640;640000113;121CA;;;;1;8;;;;421;;
DIALYSE;2014;640789640;640000113;122AX;;;;1;1;;;;49;;
