BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;FFI;INTTOT
Q22;2014;150000040;150780096;16;1;;16;8;41
Q22;2014;150000164;150780468;;;;1;;1
Q22;2014;150000180;150780500;1;;;;;1
Q22;2014;150780823;150780096;1;;;;;1
Q22;2014;160000253;160000451;29;1;0;32;2;64
Q22;2014;160000345;160000501;9;;;;;9
Q22;2014;160009080;160001574;1;;;1;;2
Q22;2014;160015368;160014411;10;1;;;;11
Q22;2014;170000038;170780050;;;;6;;6
Q22;2014;170000087;170023279;51;2;;40;2;95
Q22;2014;170000095;170780167;1;0;0;0;0;1
Q22;2014;170000103;170780175;15;0;0;21;0;36
Q22;2014;170000129;170780191;;;;5;1;6
Q22;2014;170000152;170780225;;;;17;;17
Q22;2014;170020994;170780175;5;0;0;0;0;5
Q22;2014;170780043;750721334;1;;;;;1
Q22;2014;170782981;170023279;7;;;1;;8
Q22;2014;170783146;170780050;4;;;;;4
Q22;2014;170792220;170780175;0;0;0;1;0;1
Q22;2014;180000010;180000028;18;1;0;12;2;33
Q22;2014;180000176;180001158;1;;;;1;2
Q22;2014;180000200;180000051;;1;;3;;4
Q22;2014;180000283;180000069;3;;;;;3
Q22;2014;180003345;180000051;;;;1;;1
Q22;2014;190000018;190000042;24;1;;14;1;40
Q22;2014;190000026;190000059;11;1;;15;1;28
Q22;2014;190000091;190000075;2;1;;9;4;16
Q22;2014;210780110;210000022;1;;;;;1
Q22;2014;210780136;210000030;1;;;;;1
Q22;2014;210780144;750721235;1;;;;;1
Q22;2014;210780979;210000295;2;;;;;2
Q22;2014;210781621;210780581;9;;;;;9
Q22;2014;210986089;210780581;2;;;9;;11
Q22;2014;210987046;210987038;;;;1;;1
Q22;2014;210987558;210780581;338;35;;93;11;477
Q22;2014;210987632;210780607;22;;;;;22
Q22;2014;210987657;210780714;24;;;;1;25
Q22;2014;210987665;210010070;2;;;;;2
Q22;2014;210987673;210010070;3;;;;;3
Q22;2014;210987699;210780706;4;;;4;;8
Q22;2014;210987731;210780417;25;2;;3;;30
Q22;2014;220000012;220000020;42;1;;26;7;76
Q22;2014;220000095;220000046;;;;16;;16
Q22;2014;220000210;220000210;;;;;1;1
Q22;2014;220000236;220017974;2;;;;;2
Q22;2014;220000269;220000640;1;;;;;1
Q22;2014;220000285;220000673;1;;;;;1
Q22;2014;220000301;220000673;1;;;;;1
Q22;2014;220000343;220000079;1;;;10;;11
Q22;2014;220000368;220000103;8;1;;12;1;22
Q22;2014;220000483;560014748;;;;;1;1
Q22;2014;220000541;220000152;;;;7;;7
Q22;2014;220001259;220005045;;;;1;;1
Q22;2014;220019061;220000020;1;;;;;1
Q22;2014;230000820;230780041;4;0;0;20;2;26
Q22;2014;230000846;230780066;;;;1;;1
