BOR;AN;FI;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2014;060000478;060780897;IRM;1;1;451;;;2493;;0
IMAGES;2014;060000478;060780897;LITHO;1;1;240;;;;;
IMAGES;2014;060000478;060780897;MAMM;1;1;;;;3651;;
IMAGES;2014;060000478;060780897;RADIO;4;4;9853;;;25605;;0
IMAGES;2014;060000478;060780897;SCAN;1;1;4758;;;2850;;1
IMAGES;2014;060000486;060780905;RADIO;1;1;202;219;;677;0;0
IMAGES;2014;060000510;060780954;IRM;1;1;502;0;0;4630;0;0
IMAGES;2014;060000510;060780954;MAMM;1;1;;;;616;;
IMAGES;2014;060000510;060780954;RADIO;4;4;18308;0;0;21793;678;0
IMAGES;2014;060000510;060780954;SCAN;2;2;5643;0;0;12704;93;0
IMAGES;2014;060000510;060780954;VASC;1;1;1288;0;0;0;7;1
IMAGES;2014;060000528;060780962;CAM;2;2;979;;;5537;;
IMAGES;2014;060000528;060780962;IRM;1;1;438;;;4835;;
IMAGES;2014;060000528;060780962;MAMM;2;2;;;;10112;;
IMAGES;2014;060000528;060780962;RADIO;1;1;3444;;;1435;;
IMAGES;2014;060000528;060780962;SCAN;1;1;3167;;;16420;;
IMAGES;2014;060000528;060780962;TOMO;1;1;106;;;3430;;
IMAGES;2014;060000544;060780988;IRM;2;2;2206;;11969;4854;;0
IMAGES;2014;060000544;060780988;RADIO;4;4;21765;271;;25383;596;0
IMAGES;2014;060000544;060780988;SCAN;2;2;10711;103;;11556;374;1
IMAGES;2014;060000544;060780988;VASC;1;1;997;;;;;1
IMAGES;2014;060001450;060785011;IRM;1;1;1310;;;5946;41;0
IMAGES;2014;060001450;060785011;RADIO;4;4;24322;;;39162;1253;0
IMAGES;2014;060001450;060785011;SCAN;1;1;13295;;;8124;920;0
IMAGES;2014;060001450;060785011;VASC;1;1;81;;;27;;0
IMAGES;2014;060002102;060791761;MAMM;1;1;;;;596;;
IMAGES;2014;060002102;060791761;RADIO;2;2;2509;;102;15015;257;0
IMAGES;2014;060002102;060791761;SCAN;1;1;1583;;34;5345;37;0
IMAGES;2014;060780392;060000205;RADIO;;;;;;;;1
IMAGES;2014;060780442;060000213;RADIO;2;2;1633;;;;;
IMAGES;2014;060780459;010783009;RADIO;1;1;818;;;;;0
IMAGES;2014;060780491;060790797;CAM;3;;;;;;;
IMAGES;2014;060780491;060790797;IRM;1;;;;;;;
IMAGES;2014;060780491;060790797;MAMM;1;;;;;;;
IMAGES;2014;060780491;060790797;RADIO;1;;;;;;;
IMAGES;2014;060780491;060790797;SCAN;1;;;;;;;
