BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2014;010780252;010783009;N241P;7;;6.69
SSR_P;2014;010780252;010783009;N2430;;1;0.6
SSR_P;2014;010780252;010783009;N2450;;1;0.5
SSR_P;2014;010780252;010783009;N2460;6;1;6.25
SSR_P;2014;010780252;010783009;N2500;16;6;20.73
SSR_P;2014;010780252;010783009;N2710;;2;1.7
SSR_P;2014;010780252;010783009;N310H;1;;1
SSR_P;2014;010780252;010783009;N3120;;1;0.9
SSR_P;2014;010780252;010783009;NAUT;37;10;42.7
SSR_P;2014;010780252;010783009;NCINF;6;13;15.4
SSR_P;2014;010780278;010783009;M1010;4;;3.75
SSR_P;2014;010780278;010783009;M1120;1;;1
SSR_P;2014;010780278;010783009;M1180;1;;1.52
SSR_P;2014;010780278;010783009;MAUT;;1;0.5
SSR_P;2014;010780278;010783009;N241P;13;1;13
SSR_P;2014;010780278;010783009;N2430;;2;1.05
SSR_P;2014;010780278;010783009;N2450;1;;1
SSR_P;2014;010780278;010783009;N2460;4;2;5
SSR_P;2014;010780278;010783009;N2500;19;16;32.83
SSR_P;2014;010780278;010783009;N2710;;1;0.8
SSR_P;2014;010780278;010783009;N310H;1;;1
SSR_P;2014;010780278;010783009;N3120;;1;0.5
SSR_P;2014;010780278;010783009;NAUT;47;11;66
SSR_P;2014;010780278;010783009;NCINF;24;7;29.91
SSR_P;2014;010780310;010000222;M1010;1;;1
SSR_P;2014;010780310;010000222;M1150;;1;0.2
SSR_P;2014;010780310;010000222;N241P;1;;1
SSR_P;2014;010780310;010000222;N2450;;1;0.17
SSR_P;2014;010780310;010000222;N3120;;1;0.25
SSR_P;2014;010780328;010000222;M1150;1;1;1.8
SSR_P;2014;010780328;010000222;N241P;2;;2
SSR_P;2014;010780328;010000222;N2450;;1;0.2
SSR_P;2014;010780328;010000222;N2500;12;2;13.35
SSR_P;2014;010780328;010000222;N2710;;1;0.34
SSR_P;2014;010780328;010000222;N310H;1;;1
SSR_P;2014;010780328;010000222;N3120;;1;0.4
SSR_P;2014;010780328;010000222;NCINF;12;1;12.8
SSR_P;2014;010780476;750005068;M1010;1;;1
SSR_P;2014;010780476;750005068;M1140;2;;2.38
SSR_P;2014;010780476;750005068;M3020;2;;1.33
SSR_P;2014;010780476;750005068;MAUT;;1;0.61
SSR_P;2014;010780476;750005068;N241P;1;;1
SSR_P;2014;010780476;750005068;N2450;1;1;1.34
SSR_P;2014;010780476;750005068;N2470;;2;1.3
SSR_P;2014;010780476;750005068;N2500;10;6;11.83
SSR_P;2014;010780476;750005068;N2710;;4;3.17
SSR_P;2014;010780476;750005068;N310H;14;10;18.64
SSR_P;2014;010780476;750005068;N3120;2;;1.49
SSR_P;2014;010780476;750005068;NAUT;8;6;13.02
SSR_P;2014;010780476;750005068;NCINF;18;3;17.23
SSR_P;2014;010780492;360000707;M1140;;1;0.5
SSR_P;2014;010780492;360000707;M1180;3;2;4.6
SSR_P;2014;010780492;360000707;M3020;;1;0.2
SSR_P;2014;010780492;360000707;N241P;17;1;17.5
SSR_P;2014;010780492;360000707;N2430;3;;3
SSR_P;2014;010780492;360000707;N2460;4;1;4.75
SSR_P;2014;010780492;360000707;N2470;1;;1
SSR_P;2014;010780492;360000707;N2500;24;3;26.07
SSR_P;2014;010780492;360000707;N2710;;5;2.57
SSR_P;2014;010780492;360000707;N310H;9;6;13.55
SSR_P;2014;010780492;360000707;N3120;;1;0.6
SSR_P;2014;010780492;360000707;NCINF;11;4;14.6
SSR_P;2014;010780708;310021381;M1010;2;1;2.8
SSR_P;2014;010780708;310021381;N2500;6;8;11
SSR_P;2014;010780708;310021381;N2710;1;;0.3
SSR_P;2014;010780708;310021381;N3120;1;;0.2
SSR_P;2014;010780708;310021381;NCINF;4;14;10.5
SSR_P;2014;010780799;750721334;M1010;1;;0.66
SSR_P;2014;010780799;750721334;M1180;2;;2
SSR_P;2014;010780799;750721334;MAUT;;1;0.5
SSR_P;2014;010780799;750721334;N241P;3;;3
SSR_P;2014;010780799;750721334;N2450;;1;0.67
SSR_P;2014;010780799;750721334;N2460;3;;3
SSR_P;2014;010780799;750721334;N2500;14;4;18
SSR_P;2014;010780799;750721334;N2710;;2;0.61
SSR_P;2014;010780799;750721334;N3120;1;;1
SSR_P;2014;010780799;750721334;NAUT;47;2;55.51
SSR_P;2014;010780799;750721334;NCINF;13;5;16.38
SSR_P;2014;020000089;020000022;M1010;1;;0.93
SSR_P;2014;020000089;020000022;M1180;1;;0.9
SSR_P;2014;020000089;020000022;MAUT;1;;0.67
SSR_P;2014;020000089;020000022;N241P;1;;0.35
SSR_P;2014;020000089;020000022;N2460;1;;0.88
SSR_P;2014;020000089;020000022;N2500;21;5;25.1
SSR_P;2014;020000089;020000022;N2710;1;;0.3
SSR_P;2014;020000089;020000022;NAUT;9;6;10.94
SSR_P;2014;020000089;020000022;NCINF;11;4;13.22
SSR_P;2014;020000097;020000048;M1180;2;;2
SSR_P;2014;020000097;020000048;N241P;;1;0.5
SSR_P;2014;020000097;020000048;N2460;1;;1
SSR_P;2014;020000097;020000048;N2500;7;2;8.72
SSR_P;2014;020000097;020000048;N2710;;1;0.86
SSR_P;2014;020000097;020000048;N310H;1;;1
SSR_P;2014;020000097;020000048;N3120;1;;1
SSR_P;2014;020000097;020000048;NAUT;6;1;5.5
SSR_P;2014;020000097;020000048;NCINF;6;;6
SSR_P;2014;020000105;020000055;M1010;2;3;1.22
SSR_P;2014;020000105;020000055;N2450;;1;0.07
SSR_P;2014;020000105;020000055;N2460;1;;0.38
SSR_P;2014;020000105;020000055;N2500;4;1;3.73
SSR_P;2014;020000105;020000055;N3120;1;;0.1
SSR_P;2014;020000105;020000055;NAUT;4;;3.27
SSR_P;2014;020000105;020000055;NCINF;7;1;4
SSR_P;2014;020000162;020000063;M1180;1;0;0.5
SSR_P;2014;020000162;020000063;M1320;3;1;3.2
SSR_P;2014;020000162;020000063;N241P;6;3;8.16
SSR_P;2014;020000162;020000063;N2430;0;0;0.09
SSR_P;2014;020000162;020000063;N2460;1;1;1.8
SSR_P;2014;020000162;020000063;N2470;2;0;2
SSR_P;2014;020000162;020000063;N2500;31;7;36.14
SSR_P;2014;020000162;020000063;N2710;4;0;2.82
SSR_P;2014;020000162;020000063;NAUT;18;3;17.26
SSR_P;2014;020000162;020000063;NCINF;28;6;29.75
SSR_P;2014;020000246;020000071;M1010;2;2;3.02
SSR_P;2014;020000246;020000071;N241P;;2;1.5
SSR_P;2014;020000246;020000071;N2450;1;;1
SSR_P;2014;020000246;020000071;N2500;6;;6
SSR_P;2014;020000246;020000071;N2710;1;;0.5
SSR_P;2014;020000246;020000071;N3120;1;;0.5
SSR_P;2014;020000246;020000071;NCINF;4;1;4.55
SSR_P;2014;020000303;750814030;M1010;2;2;3.9
SSR_P;2014;020000303;750814030;M1040;;2;0.51
SSR_P;2014;020000303;750814030;M1070;1;;1
SSR_P;2014;020000303;750814030;M1150;2;;2
SSR_P;2014;020000303;750814030;M1180;3;1;2.71
SSR_P;2014;020000303;750814030;M1190;;2;1.71
SSR_P;2014;020000303;750814030;M1320;5;;5
SSR_P;2014;020000303;750814030;M3020;;2;0.12
SSR_P;2014;020000303;750814030;MAUT;1;1;1.05
SSR_P;2014;020000303;750814030;N241P;33;1;31.45
SSR_P;2014;020000303;750814030;N2430;3;;2.08
SSR_P;2014;020000303;750814030;N2450;3;1;3.95
SSR_P;2014;020000303;750814030;N2460;9;;8.85
SSR_P;2014;020000303;750814030;N2470;1;;1.01
SSR_P;2014;020000303;750814030;N2500;89;8;93.66
SSR_P;2014;020000303;750814030;N2710;6;;5.08
SSR_P;2014;020000303;750814030;N3120;5;1;5.69
SSR_P;2014;020000303;750814030;NAUT;94;5;96.89
SSR_P;2014;020000303;750814030;NCINF;141;16;147.65
SSR_P;2014;020000519;020000261;M1010;3;1;3.16
SSR_P;2014;020000519;020000261;N2500;20;5;24.34
SSR_P;2014;020000519;020000261;NAUT;8;1;8.5
SSR_P;2014;020000519;020000261;NCINF;20;;20
SSR_P;2014;020000535;020000287;M1010;2;;2
SSR_P;2014;020000535;020000287;N241P;;1;0.5
SSR_P;2014;020000535;020000287;N2450;;1;0.14
SSR_P;2014;020000535;020000287;N2460;;1;0.5
SSR_P;2014;020000535;020000287;N2500;9;3;11.4
SSR_P;2014;020000535;020000287;N2710;;1;0.4
SSR_P;2014;020000535;020000287;N3120;;1;0.46
SSR_P;2014;020000535;020000287;NAUT;7;3;8.7
SSR_P;2014;020000535;020000287;NCINF;8;2;9.33
SSR_P;2014;020000915;020003620;M1010;5;;5
SSR_P;2014;020000915;020003620;M1070;;1;0.6
SSR_P;2014;020000915;020003620;M1180;2;1;2.2
SSR_P;2014;020000915;020003620;M1190;2;;1.08
SSR_P;2014;020000915;020003620;M1320;1;;1
SSR_P;2014;020000915;020003620;MAUT;;1;0.43
SSR_P;2014;020000915;020003620;N241P;12;6;16.6
SSR_P;2014;020000915;020003620;N2430;2;1;2.2
SSR_P;2014;020000915;020003620;N2450;1;2;2.1
SSR_P;2014;020000915;020003620;N2460;9;4;12.6
SSR_P;2014;020000915;020003620;N2500;71;7;76
SSR_P;2014;020000915;020003620;N2710;1;;1
SSR_P;2014;020000915;020003620;N310H;2;2;3.3
SSR_P;2014;020000915;020003620;N3120;1;;1
SSR_P;2014;020000915;020003620;NCINF;38;5;42.1
SSR_P;2014;020001087;020004495;M1150;;1;0.2
SSR_P;2014;020001087;020004495;M1320;;1;0.8
SSR_P;2014;020001087;020004495;N241P;1;;1
SSR_P;2014;020001087;020004495;N2450;;1;0.8
SSR_P;2014;020001087;020004495;N2460;;1;0.6
SSR_P;2014;020001087;020004495;N2500;12;;12
SSR_P;2014;020001087;020004495;N2710;;1;0.3
SSR_P;2014;020001087;020004495;N3120;;1;0.3
SSR_P;2014;020001087;020004495;NAUT;1;;1
SSR_P;2014;020001087;020004495;NCINF;9;;9
SSR_P;2014;020003877;020000253;M1040;1;0;0.5
SSR_P;2014;020003877;020000253;MAUT;4;1;3.14
SSR_P;2014;020003877;020000253;N241P;0;0;0.06
SSR_P;2014;020003877;020000253;N2500;22;1;20.74
SSR_P;2014;020003877;020000253;N2710;0;1;0.18
SSR_P;2014;020003877;020000253;NAUT;9;13;13.19
SSR_P;2014;020003877;020000253;NCINF;17;2;16.69
SSR_P;2014;020010310;750719361;M1180;;1;0.27
SSR_P;2014;020010310;750719361;N241P;;1;0.16
SSR_P;2014;020010310;750719361;N2710;;1;0.38
SSR_P;2014;020010310;750719361;N310H;;6;2.63
SSR_P;2014;020010310;750719361;N3120;;1;0.29
SSR_P;2014;020010310;750719361;NAUT;1;6;2.72
SSR_P;2014;020010310;750719361;NCINF;;7;3.14
SSR_P;2014;030000012;030180020;M1010;1;;1
SSR_P;2014;030000012;030180020;M1180;2;;2
SSR_P;2014;030000012;030180020;MAUT;1;1;0.62
SSR_P;2014;030000012;030180020;N241P;7;0;7.25
SSR_P;2014;030000012;030180020;N2450;1;0;0.1
SSR_P;2014;030000012;030180020;N2460;2;1;2.8
SSR_P;2014;030000012;030180020;N2500;22;2;22.17
SSR_P;2014;030000012;030180020;N2710;1;0;1
SSR_P;2014;030000012;030180020;N3120;1;0;0.8
SSR_P;2014;030000012;030180020;NAUT;2;0;2
SSR_P;2014;030000012;030180020;NCINF;14;3;16.03
SSR_P;2014;030000061;030780092;M1010;1;1;1.8
SSR_P;2014;030000061;030780092;N241P;3;5;5.81
SSR_P;2014;030000061;030780092;N2460;;1;0.5
