BOR;AN;FI;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2014;040000093;040780215;N9999;2;;2;;;;
SMURSAMU_P;2014;040000135;050002948;M9999;5;0;4.37;;0;0;0
SMURSAMU_P;2014;040000135;050002948;N2223;5;0;4.3;;0;0;0
SMURSAMU_P;2014;040000135;050002948;N9999;5;0;4.3;;0;0;0
SMURSAMU_P;2014;040000911;040788879;M9999;12;4;3.66;1;12;4;3.66
SMURSAMU_P;2014;040000911;040788879;N1220;;;;;7;2;7.27
SMURSAMU_P;2014;040000911;040788879;N2120;1;;0.25;1;1;;0.25
SMURSAMU_P;2014;040000911;040788879;N2223;13;6;1.84;1;;;
SMURSAMU_P;2014;040000911;040788879;N2620;;;;1;;;
SMURSAMU_P;2014;040000911;040788879;N5140;8;1;8.9;0;;;
SMURSAMU_P;2014;040000911;040788879;N9999;22;7;10.96;;8;2;7.52
SMURSAMU_P;2014;050000231;050000116;M9999;7;1;3.75;;0;0;0
SMURSAMU_P;2014;050000231;050000116;N2223;12;4;6.06;;0;0;0
SMURSAMU_P;2014;050000231;050000116;N9999;12;4;6.06;;0;0;0
SMURSAMU_P;2014;050000348;050002948;M9999;11;0;8.8;;6;0;4.87
SMURSAMU_P;2014;050000348;050002948;MREG;0;0;0;;6;0;4.87
SMURSAMU_P;2014;050000348;050002948;N1220;0;0;0;;9;0;8.54
SMURSAMU_P;2014;050000348;050002948;N2223;8;4;8.57;;0;0;0
SMURSAMU_P;2014;050000348;050002948;N2500;0;0;0;;2;0;2
SMURSAMU_P;2014;050000348;050002948;N9999;8;4;8.57;;11;0;10.54
SMURSAMU_P;2014;060000478;060780897;M9999;4;3;3.4;;;;
SMURSAMU_P;2014;060000478;060780897;N2223;1;;1;;;;
SMURSAMU_P;2014;060000478;060780897;N9999;1;;1;;;;
SMURSAMU_P;2014;060000510;060780954;M9999;12;8;5.5;1;;;
SMURSAMU_P;2014;060000510;060780954;N2120;3;;0.15;;;;
SMURSAMU_P;2014;060000510;060780954;N2223;5;3;6.1;0;;;
SMURSAMU_P;2014;060000510;060780954;N9999;8;3;6.25;0;;;
SMURSAMU_P;2014;060000544;060780988;M9999;1;2;1.66;1;;;
SMURSAMU_P;2014;060000544;060780988;N1220;;1;0.5;1;;;
SMURSAMU_P;2014;060000544;060780988;N2120;;1;0.1;1;;;
SMURSAMU_P;2014;060000544;060780988;N2223;6;;6;1;;;
SMURSAMU_P;2014;060000544;060780988;N5140;4;;4.5;;;;
SMURSAMU_P;2014;060000544;060780988;N9999;6;2;6.6;;;;
SMURSAMU_P;2014;060001450;060785011;M9999;12;29;13.62;1;1;3;9.29
SMURSAMU_P;2014;060001450;060785011;N2120;2;0;0.64;1;;;
SMURSAMU_P;2014;060001450;060785011;N2223;19;0;12.76;1;2;0;1
SMURSAMU_P;2014;060001450;060785011;N2500;3;0;3.63;;0;0;0
SMURSAMU_P;2014;060001450;060785011;N9999;45;1;38.38;1;3;0;1.5
SMURSAMU_P;2014;060002102;060791761;M9999;;4;1.7;1;;;
SMURSAMU_P;2014;060002102;060791761;N2223;4;1;4.8;0;;;
SMURSAMU_P;2014;060002102;060791761;N9999;4;1;4.8;0;;;
SMURSAMU_P;2014;060789195;060785011;M1140;0;2;1;0;;;
SMURSAMU_P;2014;060789195;060785011;M9999;0;2;1;0;;;
SMURSAMU_P;2014;060789195;060785011;N2120;1;0;0.1;;;;
SMURSAMU_P;2014;060789195;060785011;N2223;1;0;1;;;;
SMURSAMU_P;2014;060789195;060785011;N9999;4;0;3.1;;;;
SMURSAMU_P;2014;070000013;070002878;M9999;1;;1.4;;7;5;10.93
SMURSAMU_P;2014;070000013;070002878;N1220;;;;;13;2;11.44
SMURSAMU_P;2014;070000013;070002878;N2120;;1;0.5;1;;1;0.36
SMURSAMU_P;2014;070000013;070002878;N2223;3;;3;;;;
SMURSAMU_P;2014;070000013;070002878;N2500;;;;;;;0.13
SMURSAMU_P;2014;070000013;070002878;N9999;3;1;3.5;;13;3;11.93
SMURSAMU_P;2014;070000179;070780358;M9999;9;0;9;1;0;0;0
SMURSAMU_P;2014;070000179;070780358;N2120;0;0;0;1;0;0;0
