BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
BRULES_P;2014;750100075;750712184;N2500;53;1;39.83;;
BRULES_P;2014;750100075;750712184;N2710;1;1;0.99;;
BRULES_P;2014;750100075;750712184;NAUT;3;1;3.86;;
BRULES_P;2014;750100109;750712184;M1030;2;0;2;1;0
BRULES_P;2014;750100109;750712184;M2040;2;4;3.5;;
BRULES_P;2014;750100109;750712184;MAUT;0;1;1;;
BRULES_P;2014;750100109;750712184;N2120;0;2;1;;
BRULES_P;2014;750100109;750712184;N2300;1;2;2.7;;
BRULES_P;2014;750100109;750712184;N2200;27;6;31.9;;
BRULES_P;2014;750100109;750712184;N2410;0;1;0.5;;
BRULES_P;2014;750100109;750712184;N2500;19;3;21.4;;
BRULES_P;2014;750100109;750712184;N2710;1;0;1;;
BRULES_P;2014;750100109;750712184;NAUT;1;2;2;;
BRULES_P;2014;830100574;750821092;M1030;1;;1;1;0
BRULES_P;2014;830100574;750821092;M2040;2;;1.25;1;1
BRULES_P;2014;830100574;750821092;N2120;1;;0.5;;
BRULES_P;2014;830100574;750821092;N2200;13;;12.8;;
BRULES_P;2014;830100574;750821092;N2500;5;;4.2;;
BRULES_P;2014;920120011;750821092;M1030;5;;5;1;1
BRULES_P;2014;920120011;750821092;M2040;5;;0.8;0;0
BRULES_P;2014;920120011;750821092;N2120;1;;1;;
BRULES_P;2014;920120011;750821092;N2300;4;;3.6;;
BRULES_P;2014;920120011;750821092;N2200;23;;23;;
BRULES_P;2014;920120011;750821092;N2410;1;;1;;
BRULES_P;2014;920120011;750821092;N2500;15;;14.4;;
BRULES_P;2014;920120011;750821092;N2710;1;;0.35;;
BRULES_P;2014;920120011;750821092;NAUT;9;;7.4;;
BRULES_P;2014;970100442;970100228;MAUT;1;0;1;;
BRULES_P;2014;970100442;970100228;N2120;1;0;1;;
BRULES_P;2014;970100442;970100228;N2200;2;65;9;;
BRULES_P;2014;970100442;970100228;N2410;0;3;0.4;;
BRULES_P;2014;970100442;970100228;N2500;;48;7;;
BRULES_P;2014;970100442;970100228;NAUT;0;2;1;;
BRULES_P;2014;970400024;970408589;M1030;3;;3;0;1
BRULES_P;2014;970400024;970408589;M2040;;1;0.6;0;0
BRULES_P;2014;970400024;970408589;N2120;1;;1;;
BRULES_P;2014;970400024;970408589;N2300;4;;4;;
BRULES_P;2014;970400024;970408589;N2200;17;2;18.4;;
BRULES_P;2014;970400024;970408589;N2410;1;;1;;
BRULES_P;2014;970400024;970408589;N2500;14;;14;;
BRULES_P;2014;970400024;970408589;N2710;1;;1;;
BRULES_P;2014;970400024;970408589;NAUT;1;;1;;
BRULES_P;2014;980500011;980500003;M1030;1;;;0;1
BRULES_P;2014;980500011;980500003;M2040;1;;;0;1
BRULES_P;2014;980500011;980500003;N2120;1;;0.2;;
BRULES_P;2014;980500011;980500003;N2200;3;;3;;
BRULES_P;2014;980500011;980500003;N2500;3;;3;;
