BOR;AN;FI;ORG_E5;ORG_A1;ORG_A2;ORG_A3;FI_EJ;ORG_A4;ORG_A5;ORG_A6;ORG_A7;ORG_A8;ORG_A9;ORG_A10;ORG_A11;ORG_B1;ORG_C1;ORG_D1;ORG_B2;ORG_C2;ORG_D2;ORG_B3;ORG_C3;ORG_D3;ORG_B4;ORG_C4;ORG_D4;ORG_B5;ORG_C5;ORG_D5;ORG_B6;ORG_C6;ORG_D6;ORG_B7;ORG_C7;ORG_D7;ORG_B8;ORG_C8;ORG_D8;ORG_B9;ORG_C9;ORG_D9;ORG_B10;ORG_C10;ORG_D10;ORG_B11;ORG_C11;ORG_D11;ORG_A12;ORG_A13;ORG_A14;ORG_A15
ORG;2014;170780068;;10;;;170000046;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;0.1;
ORG;2014;170780563;;1;;;170000251;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;170780613;;;;;170000277;;;;1;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;170780621;;1;;;170000285;;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.7;3.78;1.3
ORG;2014;170780647;;;;;170000301;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;170780662;;;;;170024053;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;170780803;;;;;170017321;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;;;B;;;;;;
ORG;2014;170782981;;;2;;170023279;1;;;;;;;;;;;A;D;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;170784110;;;2;;170023279;1;;;;;;;;;;;A;D;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;170785059;;;1;;170000988;;;;1;;;;;;;;B;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;0.01;;;
ORG;2014;170791321;;;2;;170023279;1;;;;;;;;;;;A;D;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;170792212;;;1;;170000988;;;;1;;;;;;;;B;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;0.01;;;
ORG;2014;170794929;;;1;;170000988;;;;1;;;;;;;;B;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;0.01;;;
ORG;2014;170795165;;;1;;170000988;;;;1;;;;;;;;B;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;0.01;;;
ORG;2014;170802656;;;1;;170000988;;;;1;;;;;;;;B;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;0.01;;;
ORG;2014;170804090;;;1;;170000988;;;;1;;;;;;;;B;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;0.01;;;
ORG;2014;180000010;;;;;180000028;;;2;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.1;;43.25
ORG;2014;180000176;;;3;;180001158;;;1;;;;21;;;;;A;B;;;;;;;;;;;B;;;;;;;;;;;;C;A;;;;;;;;
ORG;2014;180000200;;1;;;180000051;;;2;;;;;;C;;;;;;;;;;;;;;;A;A;;;;;;;;;;;;;;;;;;;;
ORG;2014;180000283;;;1;;180000069;;;4;;;;15;;;;;A;;;;;;;;;;;;B;A;;;;;;;;;;;C;G;A;;;;;;0.02;
ORG;2014;180003345;;1;;;180000051;;;2;;;;;;C;;;;;;;;;;;;;;;A;A;;;;;;;;;;;;;;;;;;;;
ORG;2014;180004533;;1;;;580780971;;;3;;;;0;;A;;;;;;;;;;;;;;;A;B;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;180008278;;;;;750047367;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0;;;
ORG;2014;190000018;;1;2;;190000042;1;1;;;;;450;;G;;;A;;;;;;H;;;B;;;;;;;;;;;;;;;C;A;;;;;1;;;
ORG;2014;190000026;;;1;;190000059;;1;;;;;;;;;;A;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;190000034;;;1;;190000067;1;;1;;;;10;;;;;A;;;;;;E;;;;;;A;B;;;;;;;;;;;C;G;D;;;;;;;
ORG;2014;190000091;;;2;;190000075;1;1;;;1;;3;;;;;A;C;;;;;H;;;B;;;;;;;;;C;;;;;;C;C;C;;;;1;0.6;;0.2
ORG;2014;190000117;;;2;;190000117;;;;;;;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;A;;;;0;;2;
ORG;2014;190000224;;;2;;190000901;;;;;;;;;;;;B;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;190002493;;;1;;190000059;;1;;;;;;;;;;A;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;190005140;;;3;;190002485;1;1;;;;;7;;;;;A;C;;;;;C;;;B;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;190005165;;;1;;190002519;;1;;;;;1;;;;;A;;;;;;;;;B;;;;;;;;;;;;;;;A;;;;;;;;;
ORG;2014;190011601;;;1;;190000042;;;;;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
ORG;2014;210001483;;;;;670005834;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;C;;;;;;;1;
ORG;2014;210001889;;;;;670005834;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;0.4;;
ORG;2014;210001939;;;;;670005834;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;0.4;;
ORG;2014;210007399;;;1;;210007308;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;210010443;;;1;;210000337;;;;;;;7;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0.01;0;0;0
ORG;2014;210780144;;;;;750721235;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
ORG;2014;210983466;;;1;;210011482;;;;;;;1;;;;;A;B;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;0;0;0;0
ORG;2014;210983565;;;1;;210011482;;;;;;;1;;;;;A;B;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;0;0;0;0
ORG;2014;210986360;;;;;670005834;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;0.2;;
ORG;2014;210986725;;;1;;210986717;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.1;0.2;0.6
ORG;2014;210986741;;;1;;210986733;;;;;;;;;;;;C;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;210987558;;;6;;210780581;;;;1;3;;;1;;;;C;D;E;;;;;;;;;;;;;;;;C;;;;;;;;;E;;;7;;;
ORG;2014;210987574;;;;;210780623;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;210987590;;;;;210780649;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ORG;2014;210987608;;;1;;210011482;;;;;;;1;;;;;A;B;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;0;0;0;0
ORG;2014;210987616;;;;;210780656;;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0;0;0;0
ORG;2014;210987657;;;1;;210780714;;1;;1;1;;65;;;;;;;;;;;;;;;;D;;;;;;D;;C;;;;;;C;D;;;;0;2.6;1.71;3.55
ORG;2014;210987665;;;1;;210010070;;;;;;;1;;;;;A;B;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;0;0;0;0
ORG;2014;210987673;;;1;;210010070;;;;;;;1;;;;;A;B;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;0;0;0;0
ORG;2014;210987681;;;1;;210011482;;;;;;;1;;;;;A;B;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;0;0;0;0
ORG;2014;220000012;;0;2;0;220000020;1;0;1;1;1;0;44;;;;;C;H;;;;;C;;;;;;A;;;D;;;C;;;;;;C;D;;;;;2;12.93;17.09;59.53
ORG;2014;220000095;;;2;;220000046;1;;;1;;;;;;;;C;A;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;0.05;;;16.55
ORG;2014;220000111;;;1;;220000376;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1
ORG;2014;220000210;;;1;;220000210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
ORG;2014;220000236;;;2;;220017974;;;;;;;5;;;;;A;C;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;8.19;
ORG;2014;220000327;;1;0;;220000699;;;;;;;17;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;D;D;;;;;0.1;;;
ORG;2014;220000343;;;3;1;220000079;1;3;;1;2;;;;;;;H;A;G;C;;;;;;A;B;D;;;;D;;;C;;;;;;;;;;;;10;0.1;0;0
ORG;2014;220000368;;;7;;220000103;1;2;;;;;282;;;;;A;C;D;;;;C;;;A;B;;;;;;;;;;;;;;C;D;B;;;;0.1;1.34;1.24;3.3
ORG;2014;220000475;;;2;;220020531;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;220000541;;;1;1;220000152;1;1;;;3;;129;;;;;H;;;C;;;A;B;C;A;;;;;;;;;C;;;;;;A;C;D;;;;0;;1.84;0.58
ORG;2014;220000566;;;3;;220021968;;1;1;;;;139;;;;;B;A;A;;;;;;;B;;;A;;;;;;;;;;;;C;B;C;;;;;;;11
ORG;2014;220000574;;;1;;220000186;;2;;;;;;;;;;D;;;;;;;;;A;B;;;;;;;;;;;;;;;;;;;;0;1.6;;3.3
ORG;2014;220000590;;;1;;220000202;;;;;;;5;1;;;;G;;;;;;;;;;;;;;;;;;;;;;;;;C;D;A;;;0.05;;;1
ORG;2014;220001259;;;5;;220005045;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;0.1;1
ORG;2014;220005599;;1;;;220017842;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;220012751;;;2;;220017974;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;220014138;;;1;;220017974;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;220014708;;;1;;220017974;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;220019061;;0;2;0;220000020;1;0;1;1;1;0;44;;;;;C;H;;;;;C;;;;;;C;;;D;;;C;;;;;;C;D;;;;;;;;
ORG;2014;220020101;;0;2;0;220000020;1;;1;1;1;0;44;;;;;C;H;;;;;C;;;;;;A;;;D;;;C;;;;;;C;;;;;;;;2.45;
ORG;2014;220020119;;0;2;0;220000020;1;0;1;1;1;0;44;0;;;;C;H;;;;;C;;;;;;A;;;D;;;C;;;;;;;;;;;;2;12.93;2.87;59.53
ORG;2014;220022149;;0;2;0;220000020;1;0;1;1;1;0;44;;;;;C;H;;;;;C;;;;;;A;;;D;;;C;;;;;;C;;;;;;;;1.84;
ORG;2014;230000838;;0;0;0;230780058;1;1;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;230000853;;;3;;230780074;1;1;1;0;0;0;120;8;;;;A;E;G;;;;H;;;B;;;B;;;;;;;;;;;;A;C;E;G;;;0;0.75;2.4;1.66
ORG;2014;230004657;;0;0;0;230780058;1;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;230780082;;;;;750005068;1;1;;;;;76;;;;;;;;;;;H;C;A;C;;;;;;;;;;;;;;;C;G;D;;;;0;1;1.1;0
ORG;2014;230780181;;;2;;230000879;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;240000091;;;;;240000034;1;1;;;;;;;;;;;;;;;;A;;;B;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;240000174;;0;0;0;240000042;1;0;1;;;;8;;;;;;;;;;;C;A;B;;;;A;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;240000273;;1;;;750043994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;240000372;;;;;240000059;1;;;1;;;85;;;;;;;;;;;G;;;;;;;;;E;;;;;;;;;C;D;;;;;0;0.23;1.07;0.33
ORG;2014;240000455;;;;;240000075;;1;;;;;1;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;240000463;;;;;240000083;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;
ORG;2014;240000471;;;;;240000109;1;1;;;;;8;;;;;;;;;;;C;;;B;;;;;;;;;;;;;;;C;;;;;;0;0;0;0
ORG;2014;240000489;;;1;;240000117;1;;1;;4;;160;;;;;D;;;;;;A;B;C;;;;A;;;;;;C;A;;;;;A;C;D;;;;;;;
ORG;2014;240000687;;;;;240000448;3;;1;;4;;46;;;;;;;;;;;C;A;B;;;;A;;;;;;C;A;;;;;C;A;D;;;;0.05;;0.52;0.15
ORG;2014;240003392;;;1;;240000117;1;;1;;4;;160;;;;;D;;;;;;A;B;C;;;;A;;;;;;C;A;;;;;A;C;D;;;;;;;
ORG;2014;250000114;;;;;900000365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.87;;
ORG;2014;250000544;;;;;250002284;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;D;;;;;;;;
ORG;2014;250000619;;;;;250000452;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;A;;;;;;;;
ORG;2014;250000635;;;1;;250000239;;;2;;;;4;;;;;B;;;;;;;;;;;;A;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;250000700;;;2;;250000452;;1;;2;;;40;;;;;D;B;;;;;;;;B;;;;;;B;;;;;;;;;C;;;;;;;;;
ORG;2014;250000718;;1;;1;250000460;;;2;;;;;;A;;;;;;B;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;
ORG;2014;250000726;;;;;250000478;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;A;G;;;;;;;;
ORG;2014;250000734;;;;;250000452;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;250000882;;;1;;250002839;;;1;1;;;23;;;;;C;D;G;;;;;;;;;;A;;;C;A;;;;;;;;C;A;;;;;;;;
ORG;2014;250001237;;;2;;250007598;;;1;;;;;;;;;B;A;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;250001252;;;1;;250007788;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;250004009;;;;;900000365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.09;;
ORG;2014;250006954;;3;3;;250000015;;;1;1;10;;128;1;C;E;;A;B;E;;;;;;;;;;E;;;A;;;C;;;;;;C;G;A;E;;;1.9;29.99;11.1;14.64
ORG;2014;250013448;;;;;670005834;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;1.4;;
ORG;2014;250014008;;;;;700004096;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;250015526;;;;;670005834;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;1.4;3.25;1.25
ORG;2014;250015534;;;;;670005834;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;1;3.6;
ORG;2014;250016003;;;;;250006335;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;C;;;;;0;0;0;0
ORG;2014;260000013;;;2;;260000021;1;;;;3;;467;;;;;A;;;;;;A;B;C;;;;;;;;;;C;;;;;;A;C;D;;;;;8.03;2.15;4.29
ORG;2014;260000120;;;2;;260016910;;;;1;1;3;186;;;;;A;C;;;;;;;;;;;;;;D;;;C;;;C;;;;;;;;;;1.9;5.8;45.86
ORG;2014;260000138;;;2;;260000047;1;;2;1;;;280;;;;;A;C;B;;;;C;;;;;;A;C;;D;;;;;;;;;C;;;;;;0.25;2.23;11.7;18.43
ORG;2014;260000146;;;1;;260000054;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1.6;0.75;1.4
ORG;2014;260000203;;;;;260016910;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;1;
ORG;2014;260000229;;1;;;260000070;;;;;;;3;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0;0;0;0
ORG;2014;260000237;;;;1;260000088;;;2;;;;50;;;;;;;;C;;;;;;;;;B;A;;;;;;;;;;;D;C;A;;;;0;0;0;0
ORG;2014;260000278;;;;1;260000096;;;;;;;40;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;C;A;B;;;;;;;
ORG;2014;260000682;;;;;930019484;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;0.4;;
ORG;2014;260000823;;;1;;260003264;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;260001631;;;;;380793802;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;260003140;;;;;380793802;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;260003215;;;;;380793802;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;260003280;;;;;260016910;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;
ORG;2014;260006267;;;;;070000245;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;D;C;A;;;;;;;;;;
ORG;2014;260006655;;;2;;260000047;1;;2;1;;;280;;;;;A;C;B;;;;C;;;;;;A;C;;D;;;;;;;;;C;;;;;;0.25;2.23;11.7;18.43
ORG;2014;260006820;;;;;380793802;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;260006838;;;;;380793802;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;260010418;;;;;690796552;;;;1;;;3;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;C;A;;;;;0.5;0.17;;
ORG;2014;260012760;;;;;690796552;;;;1;;;2;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;A;C;;;;;0.5;;;
ORG;2014;260016993;;;;;380793802;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;270000045;;;;;270000060;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;270000359;;;2;;270023724;;;;1;;;;;;;;A;B;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;
ORG;2014;270000367;;;;1;270000086;;1;1;;1;;133;;;;;;;;C;;;;;;A;;;A;;;;;;D;;;;;;G;D;C;;;;;0.5;;
ORG;2014;270000417;;;;;760025734;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;270000425;;;;;270000102;;;;1;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;
ORG;2014;270000458;;;2;;270023724;;;;1;;;;;;;;A;B;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;
ORG;2014;270000482;;;2;;270000144;;;;;;;;;;;;G;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;270000516;;;;;270000177;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
ORG;2014;270000532;;0;1;0;270000185;0;0;0;0;0;0;3;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;D;A;D;;;;0;0;0;0
ORG;2014;270000573;;;2;;270000219;;;;;;;;;;;;A;G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15;0.95;2.93;2
ORG;2014;270000896;;;;;930019484;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;D;G;;;;;;;
ORG;2014;270000912;;;1;;750814030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;13
ORG;2014;270016058;;;;;270016009;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;0.8;;
ORG;2014;270017338;;;;;140000852;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;270017379;;;;;140000852;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;270017429;;;;;140000852;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;270017478;;;;;140000852;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;270021439;;0;0;0;270002652;0;0;0;0;0;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0;;;
ORG;2014;280000035;;1;2;1;750043994;;;;;;;;;C;D;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;280000050;;;1;2;280000142;;;1;;;;;;;;;A;;;B;C;;;;;;;;A;;;;;;;;;;;;;;;;;;1;;;
ORG;2014;280000084;;;7;;280000183;;;;3;;;90;16;;;;A;B;C;;;;;;;;;;;;;A;C;;;;;;;;C;A;;C;;;1;4.28;2.56;0.95
ORG;2014;280000100;;;1;;280000225;;;2;;;;32;;;;;A;;;;;;;;;;;;A;;;;;;;;;;;;A;C;D;;;;;;;
ORG;2014;280000159;;1;;;280000068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;280000449;;;1;;750055634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;280001678;;;;2;450011150;;;;;;;1;;;;;;;;B;C;A;;;;;;;;;;;;;;;;;;;A;;;;;;0.01;;;
ORG;2014;280003898;;;;2;450011150;;;;;;;1;;;;;;;;B;C;A;;;;;;;;;;;;;;;;;;;A;;;;;;0.01;;;
ORG;2014;280003948;;;;2;450011150;;;;;;;1;;;;;;;;B;C;A;;;;;;;;;;;;;;;;;;;A;;;;;;0.01;;;
ORG;2014;280006594;;;;;280000852;;;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;280502741;;;;;280000852;;;;1;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;280503848;;;;;280000852;;;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;;;
ORG;2014;280504267;;0;2;0;280000134;1;0;1;1;1;0;445;;;;;B;C;;;;;C;D;;;;;A;;;D;;;C;;;;;;C;A;D;;;;1;4.35;7.25;3.7
ORG;2014;280504309;;;;;280000852;;;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;280504689;;;1;;750055626;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;280505223;;;;;280001132;;;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;0;0;0
ORG;2014;280505264;;;;;280006370;;;;1;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;;;;;;;;;;;;;
ORG;2014;280506015;;;;;280001264;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G;;;;;;0;0;0;0
ORG;2014;290000025;;;9;;290020700;;;3;1;1;;1;;;;;B;C;D;;;;;;;;;;A;E;;;;;D;;;;;;C;D;;;;;2;139.3;129.8;643.6
ORG;2014;290000033;;;4;;290021542;;;2;;;;70;;;;;D;B;A;;;;;;;;;;A;B;;;;;;;;;;;C;B;D;;;;1.2;;;
ORG;2014;290000058;;;12;;290000017;1;;3;;;;;;;;;A;E;C;;;;H;;;;;;A;B;;;;;;;;;;;;;;;;;0.3;;;
ORG;2014;290000066;;;8;;290020700;;;3;;1;;1;;;;;B;C;D;;;;;;;;;;A;E;;;;;D;;;;;;C;D;;;;;;;;
ORG;2014;290000173;;;1;;290000041;1;;1;;;;;1;;;;A;;;;;;A;;;;;;B;;;;;;;;;;;;;;;A;;;;1;0.4;1
ORG;2014;290000181;;;5;;290000074;;;4;;;;187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03;5.68;3.97;37.4
ORG;2014;290000215;;;;;290029974;;;;1;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;;;;;;;;;;;0.3;;1
ORG;2014;290000272;;;3;;290000090;1;;1;;;;20;;;;;B;A;;;;;;;;;;;B;;;;;;;;;;;;A;B;C;;;;0;;;
ORG;2014;290000322;;;2;1;290000108;1;;1;;;;24;;;;;A;;;B;;;;;;;;;B;;;;;;;;;;;;C;D;A;;;;0;0;0;0
ORG;2014;290000389;;;;;290000116;1;2;;;;;;;;;;;;;;;;;C;;B;;D;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;290000413;;;1;;290009752;;2;;;;;3;;;;;B;;;;;;;;;D;A;;;;;;;;;;;;;;C;;;;;;0;0;0;0
ORG;2014;290000686;;;;;440042844;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0;2;;
ORG;2014;290000728;;;3;;750821092;;;;;;;110;;;;;C;B;;;;;;;;;;;;;;;;;;;;;;;C;G;E;;;;0.5;;;
ORG;2014;290000785;;0;5;0;220020739;0;0;1;0;1;0;98;1;;;;C;B;G;;;;;;;;;;A;;;;;;C;;;;;;C;A;G;A;;;4.9;6.75;23.56;
ORG;2014;290000819;;;1;;290001023;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;290000827;;;;;290000546;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;290000850;;;;;330031089;;;;1;;;4;;;;;;;;;;;;;;;;;;;;A;B;;;;;;;;C;;;;;;;;;
ORG;2014;290000934;;;1;;290000306;1;2;;;3;;150;;;;;D;;;;;;H;;;D;A;;;;;;;;C;;;;;;A;C;D;;;;1.25;;;
ORG;2014;290000975;;;;;290000546;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;290002344;;;1;;440042844;;;2;;;;1;;;;;;;;;;;;;;;;;A;A;;;;;;;;;;;C;;;;;;;;;
ORG;2014;290003995;;;1;;290000306;1;2;;;3;;150;;;;;D;;;;;;H;;;D;A;;;;;;;;C;;;;;;A;C;D;;;;0;0;0;0
ORG;2014;290004142;;;;;290022508;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;D;G;;;;;;;
