BOR;AN;FI;ORG_E5;ORG_A1;ORG_A2;ORG_A3;FI_EJ;ORG_A4;ORG_A5;ORG_A6;ORG_A7;ORG_A8;ORG_A9;ORG_A10;ORG_A11;ORG_B1;ORG_C1;ORG_D1;ORG_B2;ORG_C2;ORG_D2;ORG_B3;ORG_C3;ORG_D3;ORG_B4;ORG_C4;ORG_D4;ORG_B5;ORG_C5;ORG_D5;ORG_B6;ORG_C6;ORG_D6;ORG_B7;ORG_C7;ORG_D7;ORG_B8;ORG_C8;ORG_D8;ORG_B9;ORG_C9;ORG_D9;ORG_B10;ORG_C10;ORG_D10;ORG_B11;ORG_C11;ORG_D11;ORG_A12;ORG_A13;ORG_A14;ORG_A15
ORG;2014;110000056;;;3;;110780137;;;;;7;;140;;;;;C;B;A;;;;;;;;;;;;;;;;C;;;;;;C;A;G;;;;;;;
ORG;2014;110000247;;;;;110780772;;;;;1;;18;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;A;C;D;;;;;;;
ORG;2014;110000262;;;1;;110781010;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;C;;;;;0;0.3;0;0
ORG;2014;110002953;;;;;110780137;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;C;;;;;;;;
ORG;2014;110003118;;0;0;0;110007341;0;0;0;0;0;0;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;D;A;;;;0.05;0.05;0;0
ORG;2014;110004413;;;;;340000264;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0.27;;;
ORG;2014;110004421;;;;;340000264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.27;;;
ORG;2014;110004439;;;;;340000264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.27;;;
ORG;2014;110004942;;;1;;310021324;;;;;;;;;;;;A;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0;0;4.87
ORG;2014;110005048;;;;;110000114;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;110005246;;;1;;110780137;;;;;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;110005311;;;;;340000264;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0.27;;;
ORG;2014;110005394;;;;;750047367;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;110007259;;;;;110000114;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;110780186;;;1;2;110000072;;1;;;;1;13;;B;;;F;;;B;;;;;;B;;;;;;;;;;;;;;;C;;;;;;;;;0.1
ORG;2014;110780194;;;2;;110000080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;0
ORG;2014;110780228;;;;;110000114;;;;;;;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;A;;;;;;;;
ORG;2014;110780483;;1;;;110000155;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ORG;2014;110781283;;;1;;110780137;;;;;;;5;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;;;
ORG;2014;110786324;;;2;2;110786324;;;;;;;2;;;;;F;C;;C;B;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;120000054;;;;;120780069;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0;;;
ORG;2014;120000153;;1;;;120780291;1;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;120000237;;;;1;120780481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;120001748;;;;;340000264;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;A;;;;;0.21;;;
ORG;2014;120004569;;;1;;120004528;;;;;;;1;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0.5;;;10.8
ORG;2014;120004668;;;3;;120004619;;;3;;;;18;5;;;;A;B;D;;;;;;;;;;A;A;A;;;;;;;;;;C;A;D;C;;;0.5;;0.45;1
ORG;2014;120780283;;;1;;630786754;;;1;;;;60;;;;;C;;;;;;;;;;;;C;;;;;;;;;;;;C;A;;;;;0.25;0;0;0
ORG;2014;120780325;;;1;;120004528;;;;;;;1;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0.5;;;10.8
ORG;2014;120783097;;;1;;120004528;;;;;;;1;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;C;A;;;;;0.5;;;10.6
ORG;2014;120787254;;;;;340000264;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;A;;;;;0.07;;;
ORG;2014;130000235;;;2;;130780554;;;3;;;;;;;;;A;E;;;;;;;;;;;B;A;;;;;;;;;;;;;;;;;;;;
ORG;2014;130000409;;;3;;130041916;1;;;1;1;;450;;;;;A;E;B;;;;C;A;H;;;;;;;C;;;C;;;;;;C;A;D;;;;0.4;7.54;0.6;4.57
ORG;2014;130000433;;;1;;130781131;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.23;;4;45.23
ORG;2014;130000516;;;;;130781339;;;1;;;;79;;;;;;;;;;;;;;;;;A;;;;;;;;;;;;C;D;B;;;;;;;
ORG;2014;130000565;;;2;;130781446;;;;;;;20;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0;2.4;0;0
ORG;2014;130001647;;;2;;130784127;;;;;;;15;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;130002215;;1;1;;130785512;1;;;;1;;;;;;D;;;D;;;;;C;;;;;;;;;;;;C;;;;;;;;;;;0;0;0;0
