BOR;AN;FI;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2014;770000131;770110013;1;504;1;500;4;1;28;1;897;40;9764;3;1;2;0;4;1;0;;1;0;8;12;;;2;4;1;;;;10.83;12.97;;;3.1
MCOGER;2014;770000149;770110021;1;204;21;204;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;770000156;770110054;1;277;;257;1.7;1;36;1;;;;5;5;;;5;5;0;0;1;1;8;15;;;4;4;;;;;11.8;14.07;;;3.81
MCOGER;2014;770000164;770110062;0;;;;;1;10;1;300;89;2863;1;;;;1;;;;;;8;7;;;4;;;;;;6.08;6.04;;;2.13
MCOGER;2014;770000172;770110070;1;668;;532;0.5;1;19;1;460;103;5547;3;2;;;1.4;0.7;;;;;6;5;;;1;1;2;;;;6.44;4.23;;;0.78
MCOGER;2014;770000180;770130011;0;;;;;1;30;0;;;;1;1;2;;1.6;0.5;;;1;1;7;12;;;;2;3;;;;7.5;12.9;;;
MCOGER;2014;770000214;770130052;1;248;41;214;1;1;33;;855;0;11370;1;1;2;2;2.6;2.6;0;0;0;0;14;14;;;5;4;;;;4;17.73;14.78;;;9.11
MCOGER;2014;770000446;770700185;1;309;603;682;2.65;1;23;;597;0;8156;3;1;1;1;2.99;1.8;0;0;1;1;6;7;;;7;2;;;;;6.75;7;;;6.17
MCOGER;2014;770019032;770170017;1;587;118;705;2;1;25;0;915;0;9104;4;;2;;3.65;;;;;;10;15;;;3;3;;;;1;12.06;14.83;;;2.21
MCOGER;2014;780000287;780110011;1;1216;0;645;2.45;1;20;;614;0;7220;2;;1;;2.79;;;;;;8;8;;;7;2;4;;;3;9.7;11.5;;;6.2
MCOGER;2014;780000295;780002697;1;;;;0.5;1;15;5;317;34;4567;3;3;1;1;3.1;3.1;;;;;8;11;;;1;1;;;;1;5.92;11.13;;;0.67
MCOGER;2014;780000303;780110037;1;0;335;214;0.7;1;50;3;1559;418;16068;2;1;8;6;5.99;3.73;1;1;1;1;12;23;;;;16;22;3;2;;22.51;36.8;0.65;0.55;
MCOGER;2014;780000311;780001236;1;;;;1.38;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;780000329;780110052;1;1678;405;661;3.2;1;21;2;855;268;7905;5;5;1;1;6.75;6.75;0;0;0;0;10;11;;;5;2;3;1;;5;11.32;13.14;0.5;;6.42
MCOGER;2014;780000337;780001236;1;;;;2.1;1;20;;;;;3;3;;;3.25;3.25;0;0;0;0;11;9;;;3;;;;;;10.81;9.24;;0.5;3
MCOGER;2014;780000345;780110078;1;946;315;;2.6;1;1;1;148;228;1100;;1;;;;0.6;;;;;1;;;;;1;;1;;;1.2;;0.1;;
MCOGER;2014;780000386;780021788;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;780008298;750043994;0;;;;;1;20;;403;0;4935;2;1;;;2;1;1;;;;6;8;;;;;;1;1;;6;8;0.05;0.2;
MCOGER;2014;780140018;750005068;0;;;;;1;31;0;501;0;5755;;4;10;0;3.88;2.8;1;1;0;0;5;5;1;1;3;13;11;;;23;14.69;13.1;0.23;0.58;15.24
MCOGER;2014;780150066;780808614;1;;303;217;1.5;1;80;2;;;;10;10;1;1;7.66;7.66;1;;0;;41;60;;;31;6;0;;;;28.38;38.13;;;16.09
MCOGER;2014;780800256;780110078;0;;;;;1;8;0;327;0;3253;1;;;;0.6;;;;;;4;4;;;1;2;2;;;4;5.67;5.94;;;2.25
MCOGER;2014;790000087;790000012;1;783;210;993;3.89;1;30;2;1236;148;9754;1;;3;3;2.76;2.59;0;0;1;1;13;14;;;4;4;4;;;8;15.05;19.63;;;6.17
MCOGER;2014;790000103;790006654;1;387;0;370;1.36;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;790000111;790000046;1;449;23;;1.75;1;15;;408;0;5133;1;;1;;1.6;;0;0;0;0;6;9;;;;4;1;;;1;9.26;10.08;;;1.15
MCOGER;2014;790000137;790000061;1;211;0;211;2.1;1;10;;226;0;3388;1;;1;;1;;0;0;0;0;7;7;2;;3;;2;;;;6.5;8.32;1.63;;2.56
MCOGER;2014;800000143;800000028;1;623;;525;3.5;1;28;;728;0;10300;5;5;0;0;4.2;4.2;0;0;1;0;7;14;0;0;4;5;1;0;0;4;11.15;14.82;0;0;6.08
MCOGER;2014;800000192;800000044;1;;;;;1;92;2;401;41;4624;;;;;;;1;1;0;0;32;58;;;25;6;6;;;3;6.57;10.88;;;4.56
MCOGER;2014;800000390;800000085;0;;;;;1;8;0;335;0;3122;;;1;;0.5;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;800006124;800000044;0;;;;;1;0;2;2000;252;30212;12;7;7;4;8.44;4.54;1;1;0;0;;;;;;;;;;;27.32;41.75;;;16.01
MCOGER;2014;810000448;810099945;0;;;;;1;16;;408;0;4658;;;2;2;1.23;1.23;;;1;1;;;;;;19;22;1;;9;8.41;9.83;0.13;;3.68
MCOGER;2014;810000505;810000331;1;792;45;568;4.03;1;16;;514;0;5639;2;2;;;0.54;0.54;;;;;9;10;;;5;3;1;;;1;10.22;10.48;;;3.22
