BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2014;060019684;060790540;NCINF;2;1;1.6;;
DIALYSE_P;2014;060021276;060790540;M1110;2;1;2.13;0;0
DIALYSE_P;2014;060021276;060790540;N2500;3;;3;;
DIALYSE_P;2014;060021276;060790540;N4100;4;;1.95;;
DIALYSE_P;2014;060021276;060790540;NAUT;5;;2.42;;
DIALYSE_P;2014;060021276;060790540;NCINF;12;3;13.14;;
DIALYSE_P;2014;060022845;060790797;M1110;5;;5;1;1
DIALYSE_P;2014;060785003;060785011;M1110;0;5;2.59;0;1
DIALYSE_P;2014;060785003;060785011;N2500;11;0;10.43;;
DIALYSE_P;2014;060785003;060785011;N4100;1;0;1;;
DIALYSE_P;2014;060785003;060785011;NAUT;5;1;5;;
DIALYSE_P;2014;060785003;060785011;NCINF;24;1;22.55;;
DIALYSE_P;2014;060789195;060785011;M1110;0;1;0.49;0;1
DIALYSE_P;2014;060789195;060785011;N2500;2;0;1.22;;
DIALYSE_P;2014;060789195;060785011;NAUT;2;0;0.3;;
DIALYSE_P;2014;060789195;060785011;NCINF;1;0;0.1;;
DIALYSE_P;2014;060791860;060790797;M1110;5;;5;1;1
DIALYSE_P;2014;060791860;060790797;N2500;4;;4;;
DIALYSE_P;2014;060792090;060790540;M1110;1;;0.08;0;0
DIALYSE_P;2014;060792090;060790540;N4100;3;;0.78;;
DIALYSE_P;2014;060792090;060790540;NAUT;5;;0.21;;
DIALYSE_P;2014;060792090;060790540;NCINF;2;;1;;
DIALYSE_P;2014;060792736;060790540;M1110;1;;0.05;0;0
DIALYSE_P;2014;060792736;060790540;N4100;3;;0.48;;
DIALYSE_P;2014;060792736;060790540;NAUT;5;;0.54;;
DIALYSE_P;2014;060792736;060790540;NCINF;4;2;4.73;;
DIALYSE_P;2014;060792850;060790797;M1110;5;;5;1;1
DIALYSE_P;2014;060792900;060790797;M1110;4;;4;1;1
DIALYSE_P;2014;060792926;060022951;M1110;2;;2;0;1
DIALYSE_P;2014;060792926;060022951;N4100;1;;1;;
