BOR;AN;FI;FI_EJ;UNV;LIT_UNV;SEJ_UNV;JOU_UNV;EFFPL_PM;EFFPA_PM;ETP_PM;GAR_PM;AST_PM;EFFPL_NEU;EFFPA_NEU;ETP_NEU;GAR_NEU;AST_NEU;EFFPL_PNM;EFFPA_PNM;ETP_PNM
MCOAVC;2014;800000192;800000044;1;20;551;1603;;;6.27;1;0;;;6.27;1;0;;;35.01
MCOAVC;2014;800006124;800000044;1;23;151;554;15;2;6.27;;;15;2;6.27;;;40;8;9.27
MCOAVC;2014;810000224;810000471;1;4;315;1277;3;;3;0;1;3;;3;0;1;;;
MCOAVC;2014;810000505;810000331;1;6;446;1690;4;3;0.57;0;1;4;3;0.57;0;1;11;2;11.43
MCOAVC;2014;810000521;810000380;1;4;300;810;4;1;0.36;0;1;4;1;0.36;0;1;37;21;13.78
MCOAVC;2014;820000032;820000016;1;6;624;2337;3;2;0.57;0;1;3;2;0.57;0;1;25;3;18.59
MCOAVC;2014;830000345;830100616;1;16;821;5290;2;;0.8;;;;;;;;8;10;11.28
MCOAVC;2014;830100574;750821092;1;7;342;2245;4;;3;1;1;4;;3;1;1;25;;25
MCOAVC;2014;840001861;840006597;1;17;671;5419;5;0;1.7;0;1;;;;;;36;8;17.78
MCOAVC;2014;850000142;850000019;1;10;311;2897;;4;1;0;0;;4;1;0;1;;53;18.62
MCOAVC;2014;860000223;860013077;1;18;938;7515;5;;2.76;0;1;4;;1.76;0;1;15;;15
MCOAVC;2014;870000064;870000015;1;26;1371;9331;6;0;2.46;1;0;6;0;2.46;1;0;24;5;22.82
MCOAVC;2014;880000021;880007059;1;4;273;2462;3;3;5;0;1;;;;;;50;7;53.34
MCOAVC;2014;880000062;880780093;1;6;96;1104;;4;1;0;1;;;;;;27;10;5.75
MCOAVC;2014;910000306;910110063;1;14;536;5899;;;;0;1;;;;0;1;1;3;2.25
MCOAVC;2014;910020254;910002773;1;32;803;8760;;;;;;;;;;;5;21;15.1
MCOAVC;2014;920000650;920150059;1;24;986;7144;3;;3;1;1;3;;3;1;1;8;1;8.8
MCOAVC;2014;930000328;930110051;1;12;622;5899;9;1;9.3;1;;9;1;9.3;1;;1;;1
MCOAVC;2014;930000336;930110069;1;34;650;6498;8;;1.57;;;;;;;;;;
MCOAVC;2014;940100027;750712184;1;7;479;2477;2;;2;1;1;2;;2;1;1;13;;13
MCOAVC;2014;940100043;750712184;1;45;921;6961;6;;5.5;1;1;6;;5.5;;;53;;53
MCOAVC;2014;950000331;950110049;1;18;567;4185;6;;5.08;0;1;6;;5.08;0;1;40;3;30.44
MCOAVC;2014;950000364;950110080;1;24;958;6861;;;;;;;;;;;;;
MCOAVC;2014;970100442;970100228;1;16;637;5594;3;3;3.9;1;1;2;3;3.9;1;1;14;0;11.5
MCOAVC;2014;970211215;970211207;1;17;457;4941;2;;0.22;;;;;;;;34;;34
MCOAVC;2014;970400024;970408589;1;12;572;4247;;5;3.1;0;1;;4;2.5;0;1;20;;20
MCOAVC;2014;970400057;970408589;1;19;753;2453;4;;1;0;1;4;;1;0;1;20;;20
