BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFNS;EFFPL_INFNS;EFFPA_INFNS;ETP_INFSP;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPA_APNM;EFFPL_APNM;ETP_APNM
REA;2014;790000087;790000012;REAADU;8;2920;316;322;11;2489;4;45;35;5;2;6.47;1;;24.31;19;9;1;14;2;14.35;;;;4;2;3.94
REA;2014;790000087;790000012;SITOT;18;6570;1733;;;5460;;;;;;;;;;;;;;;;;;;;;
REA;2014;790000087;790000012;SIUNV;4;1460;592;;;1428;;;;4;1;4.2;;1;7.47;4;3;0.3;4;3;6.93;;;;3;1;1.41
REA;2014;790000087;790000012;SURVADU;4;1460;224;;;1217;;;;;;;;;6.29;4;2;;5;;5.08;;;;;1;1
REA;2014;790000087;790000012;USIC;14;5110;1141;;;4032;;;;8;1;8.83;;1;17.73;11;5;0.6;10;4;12.6;;;;1;;0.31
REA;2014;790000095;790006654;SURVADU;4;1460;367;;;1210;;;;2;0;0.35;1;0;7.12;5;2;0.5;6;2;6.23;0;0;0;0;1;0.26
REA;2014;790003537;790006654;SURVADU;8;2920;687;;;2459;;;;2;0;0.92;1;0;12.38;8;4;0.5;4;2;6.09;;;;1;3;1.26
REA;2014;790009948;790001242;SURVADU;8;2920;726;;;1864;;;;1;;1;;;7;7;;;5;;5;;;;;;
REA;2014;800000143;800000028;REAADU;6;2190;246;250;11;1589;2;39;42;4;0;3.97;1;0;14.44;15;0;1;8;1;8.8;0;0;0;0;2;2.06
REA;2014;800000143;800000028;SITOT;7;2555;604;;;1964;;;;;;;;;;;;;;;;;;;;;
REA;2014;800000143;800000028;USIC;7;2555;604;;;1964;;;;2;2;2.86;0;0;9.33;6;4;0;8;2;9.44;0;0;0;0;1;1.01
REA;2014;800000192;800000044;AUTSI;0;364;56;;;736;;;;;;;;;;;;;;;;;;;;;
REA;2014;800000192;800000044;REAADU;0;2184;865;935;41;7292;28;;65;;;;;;49.84;;;1.57;;;19.23;;;;;;9.07
REA;2014;800000192;800000044;REAENF;0;546;172;190;15;1001;48;;;;;;;;5.13;;;1.12;;;0.5;;;;;;
REA;2014;800000192;800000044;SITOT;0;910;607;;;2339;;;;;;;;;;;;;;;;;;;;;
REA;2014;800000192;800000044;SIUNV;0;546;551;;;1603;;;;;;;;;4.65;;;;;;5.59;;;;;;
REA;2014;800000192;800000044;SURVADU;0;1365;759;;;4003;;;;;;;;;16.89;;;;;;12.79;;;;;;1.06
REA;2014;800000192;800000044;SURVENF;0;728;323;;;1136;;;;;;;;;4.06;;;1.49;;;3.19;;;;;;1.71
REA;2014;800000226;800000069;SURVADU;6;2190;251;;;1722;;;;;6;1.34;1;;6.74;5;2;0.4;6;;6;;;;;1;0.22
REA;2014;800000432;800000093;SURVADU;4;1460;197;;;967;;;;1;2;0.27;1;;6.16;6;1;0.5;3;;3;;;;;1;0.5
REA;2014;800002503;800001141;SURVADU;6;2190;381;;;1614;;;;10;;10;;;4;4;;;2;;2;;;;;;
REA;2014;800006124;800000044;AUTSI;23;6751;408;;;5652;;;;8;4;3.48;0;0;10.6;11;4;0;4;2;6.31;0;0;0;0;2;1.8
REA;2014;800006124;800000044;REAADU;52;13468;1708;1825;64;12102;21;;215;34;7;27.07;5;0;93.71;123;38;3.37;88;9;57.2;0;0;0;5;7;11.96
REA;2014;800006124;800000044;REAENF;8;728;57;60;3;285;58;;;4;0;2.1;1;1;1.74;6;1;0.38;1;0;0.26;0;0;0;0;0;0
REA;2014;800006124;800000044;SITOT;46;12680;2099;;;11075;;;;;;;;;;;;;;;;;;;;;
REA;2014;800006124;800000044;SIUNV;9;819;151;;;554;;;;4;3;1.2;0;0;1.25;6;0;0;6;2;1.51;0;0;0;0;0;0
REA;2014;800006124;800000044;SURVADU;14;2188;777;;;2070;;;;5;4;2.18;0;0;3.53;9;1;0;7;2;2.76;0;0;0;0;0;0
