BOR;AN;FI;FI_EJ;STATUT;HEB_MED;HEB_CHIR;HEB_PERINAT;HEB_PSY;HEB_SSR;HEB_SLD;MED;CHIRAMBU;PSY;RTH;CHIMIO;IRC;IVGAMP;CPP;HAD;REEDU;URG;SMURSAMU;BLOC;IMAG;BIO;EXPLO;ANEST;MEDIC;STERIL;DIM;TELEMED;EMSP;DOULEUR;PALIA;MSOCIAL;CARDIO_INT;REA;CHIRCANCER;NEUROCHIR;NEURO_INT;GREFFE;BRULE;CHIRCAR;HEP_PERINAT
FILTRE;2014;010000024;010780054;DECLA;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;
FILTRE;2014;010000024;010780054;INIT;1;1;1;0;0;0;1;1;0;1;1;1;1;0;1;;1;1;1;;;;;;;;;;;;;1;1;1;0;0;0;0;0;
FILTRE;2014;010000032;010780062;DECLA;1;1;1;0;1;0;1;1;0;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;
FILTRE;2014;010000032;010780062;INIT;1;1;1;0;1;0;1;1;0;0;1;0;1;0;0;;1;1;1;;;;;;;;;;;;;0;0;1;0;0;0;0;0;
FILTRE;2014;010000065;010780096;DECLA;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;
FILTRE;2014;010000065;010780096;INIT;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;
FILTRE;2014;010000081;010780112;DECLA;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;
FILTRE;2014;010000081;010780112;INIT;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;
FILTRE;2014;010000099;010780120;DECLA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
FILTRE;2014;010000099;010780120;INIT;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;
FILTRE;2014;010000107;010780138;DECLA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;
FILTRE;2014;010000107;010780138;INIT;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;
FILTRE;2014;010000115;010009132;DECLA;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;
FILTRE;2014;010000115;010009132;INIT;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;
FILTRE;2014;010000131;010009132;DECLA;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;
FILTRE;2014;010000131;010009132;INIT;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;
FILTRE;2014;010000180;010007987;DECLA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
FILTRE;2014;010000180;010007987;INIT;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;
FILTRE;2014;010000198;010007987;DECLA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
FILTRE;2014;010000198;010007987;INIT;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;
FILTRE;2014;010000214;010007987;DECLA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;
FILTRE;2014;010000214;010007987;INIT;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;
FILTRE;2014;010000495;010783009;DECLA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;
FILTRE;2014;010000495;010783009;INIT;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;
FILTRE;2014;010002129;750056335;DECLA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
FILTRE;2014;010002129;750056335;INIT;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;
FILTRE;2014;010005239;010008407;DECLA;1;1;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;
FILTRE;2014;010005239;010008407;INIT;1;1;1;0;1;0;1;1;0;0;1;0;1;0;0;;1;1;1;;;;;;;;;;;;;0;0;0;0;0;0;0;0;
