BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2014;020000543;020000295;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020000543;020000295;9999;4;1;102.5;;107.5;50.5;488.2;;94.5;167.55;45.4;;14;860.15;47.4;17.3;64.7;7.9;142.8;1183.05
Q24;2014;020000915;020003620;1000;2;;28.72;;30.72;;;;;;;;;;;;;;36.72;67.44
Q24;2014;020000915;020003620;2000;;;;;;7;43.92;;75.16;16.86;1.86;;31.66;176.46;5.86;1;6.86;2.86;;186.18
Q24;2014;020000915;020003620;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;020000915;020003620;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020000915;020003620;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;020000915;020003620;2400;;;;;;7;43.92;;75.16;16.86;1.86;;31.66;176.46;5.86;1;6.86;2.86;;186.18
Q24;2014;020000915;020003620;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020000915;020003620;9999;2;;28.72;;30.72;7;43.92;;75.16;16.86;1.86;;31.66;176.46;5.86;1;6.86;2.86;36.72;253.62
Q24;2014;020001061;020004404;1000;3;1;55.96;;59.96;4.15;15.45;12.28;36.13;58.4;;7.16;4.24;137.81;;3.71;3.71;39.46;77.81;318.75
Q24;2014;020001061;020004404;2000;;;26.08;;26.08;7.8;130.84;6.35;105.21;4;2.75;10.88;;267.83;0.85;;0.85;0.5;;295.26
Q24;2014;020001061;020004404;2100;;;26.08;;26.08;7.8;130.84;6.35;105.21;4;2.75;10.88;;267.83;0.85;;0.85;0.5;;295.26
Q24;2014;020001061;020004404;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020001061;020004404;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;020001061;020004404;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;020001061;020004404;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020001061;020004404;9999;3;1;82.04;;86.04;11.95;146.29;18.63;141.34;62.4;2.75;18.04;4.24;405.64;0.85;3.71;4.56;39.96;77.81;614.01
Q24;2014;020001087;020004495;1000;2;;26.35;;28.35;;;;;3;0.8;;2;5.8;;1;1;1;20;56.15
Q24;2014;020001087;020004495;2000;;;12;;12;2;48.7;;49.6;18.7;;2;3.5;124.5;;;;12.6;6;155.1
Q24;2014;020001087;020004495;2100;;;11;;11;2;38.7;;35.1;14.7;;2;2.5;95;;;;12.6;6;124.6
Q24;2014;020001087;020004495;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020001087;020004495;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;020001087;020004495;2400;;;1;;1;;10;;14.5;4;;;1;29.5;;;;;;30.5
Q24;2014;020001087;020004495;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020001087;020004495;9999;2;;38.35;;40.35;2;48.7;;49.6;21.7;0.8;2;5.5;130.3;;1;1;13.6;26;211.25
Q24;2014;020003877;020000253;1000;;;0.03;;0.03;0;0.1;;0;0;0;;0;0.1;;;;;;0.13
Q24;2014;020003877;020000253;2000;;;1.92;;1.92;1.73;15.7;;20.73;7.36;0.18;;0.06;45.76;;;;;;47.68
Q24;2014;020003877;020000253;2100;;;0.47;;0.47;0;0.75;;0;0;0;;0;0.75;;;;;;1.22
Q24;2014;020003877;020000253;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020003877;020000253;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;020003877;020000253;2400;;;1.45;;1.45;1.73;14.95;;20.73;7.36;0.18;;0.06;45.01;;;;;;46.46
Q24;2014;020003877;020000253;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020003877;020000253;9999;;;1.95;;1.95;1.73;15.8;;20.73;7.36;0.18;;0.06;45.86;;;;;;47.81
