BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2014;290000736;290000991;2000;1;;2.25;;3.25;1;13.25;;7.7;;0.2;;;22.15;;0.1;0.1;;8.62;34.12
Q24;2014;290000736;290000991;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000736;290000991;2200;1;;2.25;;3.25;1;13.25;;7.7;;0.2;;;22.15;;0.1;0.1;;8.62;34.12
Q24;2014;290000736;290000991;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000736;290000991;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000736;290000991;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000736;290000991;9999;1;;2.25;;3.25;1;13.25;;7.7;;0.2;;;22.15;;0.1;0.1;;8.62;34.12
Q24;2014;290000744;290001007;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000744;290001007;2000;;1;8.4;;9.4;3;28.85;;16;8;3.02;;0.8;59.67;0.55;;0.55;;8.5;78.12
Q24;2014;290000744;290001007;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000744;290001007;2200;;1;8.4;;9.4;3;28.85;;16;8;3.02;;0.8;59.67;0.55;;0.55;;8.5;78.12
Q24;2014;290000744;290001007;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000744;290001007;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000744;290001007;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000744;290001007;9999;;1;8.4;;9.4;3;28.85;;16;8;3.02;;0.8;59.67;0.55;;0.55;;8.5;78.12
Q24;2014;290000785;220020739;1000;3;1;57.15;;61.15;;;;;;;;;;;;;;;61.15
Q24;2014;290000785;220020739;2000;;;;;;8.8;110.55;12.85;119.73;66.62;1.53;1.34;5.46;326.88;2;1.49;3.49;20.86;27.38;378.61
Q24;2014;290000785;220020739;2100;;;;;;5;74.51;12.85;71.33;65.41;0.51;1.34;4.72;235.67;2;1.49;3.49;20.86;27.38;287.4
Q24;2014;290000785;220020739;2200;;;;;;2;10.59;;6.85;0.85;1.02;;0.44;21.75;;;;;;21.75
Q24;2014;290000785;220020739;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000785;220020739;2400;;;;;;1;16.04;;17.51;;;;0.3;34.85;;;;;;34.85
Q24;2014;290000785;220020739;2500;;;;;;0.8;9.41;;24.04;0.36;;;;34.61;;;;;;34.61
Q24;2014;290000785;220020739;9999;3;1;57.15;;61.15;8.8;110.55;12.85;119.73;66.62;1.53;1.34;5.46;326.88;2;1.49;3.49;20.86;27.38;439.76
Q24;2014;290000793;290000546;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000793;290000546;2000;;;3.97;;3.97;1;7.73;;10.94;4.39;0.79;;4.8;29.65;0.46;0.22;0.68;;2.74;37.04
Q24;2014;290000793;290000546;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000793;290000546;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000793;290000546;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000793;290000546;2400;;;3.97;;3.97;1;7.73;;10.94;4.39;0.79;;4.8;29.65;0.46;0.22;0.68;;2.74;37.04
Q24;2014;290000793;290000546;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000793;290000546;9999;;;3.97;;3.97;1;7.73;;10.94;4.39;0.79;;4.8;29.65;0.46;0.22;0.68;;2.74;37.04
Q24;2014;290000819;290001023;1000;1;;14.25;;15.25;;;;;;;;;;;;;;;15.25
Q24;2014;290000819;290001023;2000;;;;;;2;24.2;;21.36;;0.5;;20.36;68.42;;0.5;0.5;1;4.35;74.27
Q24;2014;290000819;290001023;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000819;290001023;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000819;290001023;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000819;290001023;2400;;;;;;2;24.2;;21.36;;0.5;;20.36;68.42;;0.5;0.5;1;4.35;74.27
Q24;2014;290000819;290001023;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000819;290001023;9999;1;;14.25;;15.25;2;24.2;;21.36;;0.5;;20.36;68.42;;0.5;0.5;1;4.35;89.52
Q24;2014;290000827;290000546;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000827;290000546;2000;1.04;;4.52;;5.56;3.12;31.91;;42.81;20.59;1.72;;3.38;103.53;3.88;0.5;4.38;;6.55;120.02
Q24;2014;290000827;290000546;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000827;290000546;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000827;290000546;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000827;290000546;2400;1.04;;4.52;;5.56;3.12;31.91;;42.81;20.59;1.72;;3.38;103.53;3.88;0.5;4.38;;6.55;120.02
Q24;2014;290000827;290000546;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000827;290000546;9999;1.04;;4.52;;5.56;3.12;31.91;;42.81;20.59;1.72;;3.38;103.53;3.88;0.5;4.38;;6.55;120.02
Q24;2014;290000850;330031089;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000850;330031089;2000;0.5;;1.53;;2.03;0.8;9.29;;0.16;;;;0.12;10.37;;;;;0.6;13
Q24;2014;290000850;330031089;2100;0.5;;1.53;;2.03;0.8;9.29;;0.16;;;;0.12;10.37;;;;;0.6;13
Q24;2014;290000850;330031089;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000850;330031089;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000850;330031089;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000850;330031089;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000850;330031089;9999;0.5;;1.53;;2.03;0.8;9.29;;0.16;;;;0.12;10.37;;;;;0.6;13
Q24;2014;290000918;290000298;1000;5.94;1;57.96;;64.9;3.46;23.42;;6.48;26.28;1.89;;2.82;64.35;3.86;2.79;6.65;0.9;81.71;218.51
Q24;2014;290000918;290000298;2000;;;29.64;;29.64;36.03;366.45;;30.06;53.08;30.12;;14.79;530.53;30.06;10.18;40.24;4.23;2.16;606.8
Q24;2014;290000918;290000298;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000918;290000298;2200;;;29.64;;29.64;36.03;366.45;;30.06;53.08;30.12;;14.79;530.53;30.06;10.18;40.24;4.23;2.16;606.8
Q24;2014;290000918;290000298;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000918;290000298;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000918;290000298;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000918;290000298;9999;5.94;1;87.6;;94.54;39.49;389.87;;36.54;79.36;32.01;;17.61;594.88;33.92;12.97;46.89;5.13;83.87;825.31
Q24;2014;290000934;290000306;1000;3.08;1;46.16;;50.24;3.77;7.06;;12.14;7.94;0.06;;2.86;33.83;;0.83;0.83;;81.98;166.88
Q24;2014;290000934;290000306;2000;;;25.5;;25.5;4.34;92.23;;85.67;18.41;1.53;1;6.5;209.68;;2.05;2.05;30.11;2.82;270.16
Q24;2014;290000934;290000306;2100;;;24.89;;24.89;2.54;80.19;;73.21;14.9;1.53;1;;173.37;;1.84;1.84;30.11;2.82;233.03
Q24;2014;290000934;290000306;2200;;;0.1;;0.1;;1.81;;;;;;;1.81;;;;;;1.91
Q24;2014;290000934;290000306;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000934;290000306;2400;;;0.51;;0.51;1.8;10.23;;12.46;3.51;;;6.5;34.5;;0.21;0.21;;;35.22
Q24;2014;290000934;290000306;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000934;290000306;9999;3.08;1;71.66;;75.74;8.11;99.29;;97.81;26.35;1.59;1;9.36;243.51;;2.88;2.88;30.11;84.8;437.04
Q24;2014;290000975;290000546;1000;5;1;60.15;;66.15;;;;;;;;;;;;;;62.65;128.8
Q24;2014;290000975;290000546;2000;;;;;;9.82;74.18;;78.31;37.91;4.48;;59.5;264.2;16.9;3.25;20.15;5.56;;289.91
Q24;2014;290000975;290000546;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000975;290000546;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000975;290000546;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000975;290000546;2400;;;;;;9.82;74.18;;78.31;37.91;4.48;;59.5;264.2;16.9;3.25;20.15;5.56;;289.91
Q24;2014;290000975;290000546;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000975;290000546;9999;5;1;60.15;;66.15;9.82;74.18;;78.31;37.91;4.48;;59.5;264.2;16.9;3.25;20.15;5.56;62.65;418.71
Q24;2014;290000983;290000546;1000;;;2.24;;2.24;;;;;;;;;;;;;;;2.24
Q24;2014;290000983;290000546;2000;;;;;;2;10.78;;11.22;6.32;0.4;;1.56;32.28;2;0.2;2.2;;2.92;37.4
Q24;2014;290000983;290000546;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000983;290000546;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000983;290000546;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000983;290000546;2400;;;;;;2;10.78;;11.22;6.32;0.4;;1.56;32.28;2;0.2;2.2;;2.92;37.4
Q24;2014;290000983;290000546;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290000983;290000546;9999;;;2.24;;2.24;2;10.78;;11.22;6.32;0.4;;1.56;32.28;2;0.2;2.2;;2.92;39.64
Q24;2014;290001015;290000751;1000;;;6.3;;6.3;0.23;;;;;;;;0.23;;;;;9.1;15.63
Q24;2014;290001015;290000751;2000;;;;;;1;17.06;;22.01;7.92;0.86;;0.07;48.92;0.8;0.36;1.16;;;50.08
Q24;2014;290001015;290000751;2100;;;;;;0.4;11.51;;10.25;4.74;0.54;;0.04;27.48;0.8;0.18;0.98;;;28.46
Q24;2014;290001015;290000751;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290001015;290000751;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290001015;290000751;2400;;;;;;0.6;5.55;;11.76;3.18;0.32;;0.03;21.44;;0.18;0.18;;;21.62
Q24;2014;290001015;290000751;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290001015;290000751;9999;;;6.3;;6.3;1.23;17.06;;22.01;7.92;0.86;;0.07;49.15;0.8;0.36;1.16;;9.1;65.71
Q24;2014;290002344;440042844;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290002344;440042844;2000;2;;7.92;;9.92;2;19.97;;27.71;13.34;0.31;;3;66.33;;0.59;0.59;1.05;9.54;87.43
Q24;2014;290002344;440042844;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290002344;440042844;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290002344;440042844;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290002344;440042844;2400;2;;7.92;;9.92;2;19.97;;27.71;13.34;0.31;;3;66.33;;0.59;0.59;1.05;9.54;87.43
Q24;2014;290002344;440042844;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290002344;440042844;9999;2;;7.92;;9.92;2;19.97;;27.71;13.34;0.31;;3;66.33;;0.59;0.59;1.05;9.54;87.43
Q24;2014;290003953;750043994;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290003953;750043994;2000;1.95;0.8;21.82;1;25.57;4;19.44;;18.51;18.5;0.45;;34.34;95.24;0.5;0.31;0.81;1;22;144.62
Q24;2014;290003953;750043994;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290003953;750043994;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290003953;750043994;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290003953;750043994;2400;1.95;0.8;21.82;1;25.57;4;19.44;;18.51;18.5;0.45;;34.34;95.24;0.5;0.31;0.81;1;22;144.62
Q24;2014;290003953;750043994;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290003953;750043994;9999;1.95;0.8;21.82;1;25.57;4;19.44;;18.51;18.5;0.45;;34.34;95.24;0.5;0.31;0.81;1;22;144.62
Q24;2014;290003995;290000306;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290003995;290000306;2000;;;5.44;;5.44;4.47;75.26;;14.26;14.31;2.6;;2.48;113.38;;1.55;1.55;;0.86;121.23
Q24;2014;290003995;290000306;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290003995;290000306;2200;;;5.44;;5.44;4.47;75.26;;14.26;14.31;2.6;;2.48;113.38;;1.55;1.55;;0.86;121.23
Q24;2014;290003995;290000306;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290003995;290000306;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290003995;290000306;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290003995;290000306;9999;;;5.44;;5.44;4.47;75.26;;14.26;14.31;2.6;;2.48;113.38;;1.55;1.55;;0.86;121.23
Q24;2014;290004142;290022508;1000;;;13.45;;13.45;;;;;;;;;;;;;1;9.12;23.57
Q24;2014;290004142;290022508;2000;;;;;;3;46.82;3;27.34;20.55;;;;100.71;;;;1;;101.71
Q24;2014;290004142;290022508;2100;;;;;;3;46.82;3;27.34;20.55;;;;100.71;;;;1;;101.71
Q24;2014;290004142;290022508;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004142;290022508;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004142;290022508;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004142;290022508;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004142;290022508;9999;;;13.45;;13.45;3;46.82;3;27.34;20.55;;;;100.71;;;;2;9.12;125.28
Q24;2014;290004324;290000017;1000;;;48.29;;48.29;9.5;20.36;9.3;20.5;14;;;8.26;81.92;;7.4;7.4;17.43;205.1;360.14
Q24;2014;290004324;290000017;2000;;;171.22;;171.22;35.08;557.66;109.98;481.01;66.64;8.01;;11.37;1269.75;1;4.33;5.33;166.44;82.99;1695.73
Q24;2014;290004324;290000017;2100;;;169.02;;169.02;34.38;556.16;109.98;481.01;66.64;7.01;;3.47;1258.65;;3.81;3.81;166.44;82.99;1680.91
Q24;2014;290004324;290000017;2200;;;2.2;;2.2;0.2;1.5;;;;1;;;2.7;;0.52;0.52;;;5.42
Q24;2014;290004324;290000017;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004324;290000017;2400;;;;;;0.5;;;;;;;7.9;8.4;1;;1;;;9.4
Q24;2014;290004324;290000017;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004324;290000017;9999;;;219.51;;219.51;44.58;578.02;119.28;501.51;80.64;8.01;;19.63;1351.67;1;11.73;12.73;183.87;288.09;2055.87
Q24;2014;290004340;290000017;1000;;;8.97;;8.97;5.75;5;;1;1;;;;12.75;;8.89;8.89;;100;130.61
Q24;2014;290004340;290000017;2000;;;22.07;;22.07;17.4;303.22;2;16;61.5;14.9;;10.05;425.07;13.21;0.75;13.96;2.8;1;464.9
Q24;2014;290004340;290000017;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004340;290000017;2200;;;22.07;;22.07;17.4;303.22;2;16;61.5;14.9;;10.05;425.07;13.21;0.75;13.96;2.8;1;464.9
Q24;2014;290004340;290000017;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004340;290000017;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004340;290000017;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004340;290000017;9999;;;31.04;;31.04;23.15;308.22;2;17;62.5;14.9;;10.05;437.82;13.21;9.64;22.85;2.8;101;595.51
Q24;2014;290004365;290000017;1000;;;;;;;;;;;;;;;;;;;3.86;3.86
Q24;2014;290004365;290000017;2000;;;2.82;;2.82;5.4;37.79;;46.8;11.57;1.3;;4.96;107.82;1;1.81;2.81;0.5;;113.95
Q24;2014;290004365;290000017;2100;;;;;;0.5;1;;;;0.8;;;2.3;;0.51;0.51;0.5;;3.31
Q24;2014;290004365;290000017;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004365;290000017;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004365;290000017;2400;;;2.82;;2.82;4.9;36.79;;46.8;11.57;0.5;;4.96;105.52;1;1.3;2.3;;;110.64
Q24;2014;290004365;290000017;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290004365;290000017;9999;;;2.82;;2.82;5.4;37.79;;46.8;11.57;1.3;;4.96;107.82;1;1.81;2.81;0.5;3.86;117.81
Q24;2014;290005131;350000626;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005131;350000626;2000;;;;;;;15.5;;;;;;;15.5;;;;;;15.5
Q24;2014;290005131;350000626;2100;;;;;;;15.5;;;;;;;15.5;;;;;;15.5
Q24;2014;290005131;350000626;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005131;350000626;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005131;350000626;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005131;350000626;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005131;350000626;9999;;;;;;;15.5;;;;;;;15.5;;;;;;15.5
Q24;2014;290005172;350000626;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005172;350000626;2000;;;;;;;2.5;;;;;;;2.5;;;;;;2.5
Q24;2014;290005172;350000626;2100;;;;;;;2.5;;;;;;;2.5;;;;;;2.5
Q24;2014;290005172;350000626;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005172;350000626;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005172;350000626;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005172;350000626;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005172;350000626;9999;;;;;;;2.5;;;;;;;2.5;;;;;;2.5
Q24;2014;290005230;350000626;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005230;350000626;2000;;;;;;;2.65;;;;;;;2.65;;;;;;2.65
Q24;2014;290005230;350000626;2100;;;;;;;2.65;;;;;;;2.65;;;;;;2.65
Q24;2014;290005230;350000626;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005230;350000626;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005230;350000626;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005230;350000626;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005230;350000626;9999;;;;;;;2.65;;;;;;;2.65;;;;;;2.65
Q24;2014;290005826;290020700;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005826;290020700;2000;;;2.87;;2.87;2.28;19.59;;33.58;2.5;0.6;;22.36;80.91;;;;;;83.78
Q24;2014;290005826;290020700;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005826;290020700;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005826;290020700;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005826;290020700;2400;;;2.87;;2.87;2.28;19.59;;33.58;2.5;0.6;;22.36;80.91;;;;;;83.78
Q24;2014;290005826;290020700;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290005826;290020700;9999;;;2.87;;2.87;2.28;19.59;;33.58;2.5;0.6;;22.36;80.91;;;;;;83.78
Q24;2014;290008291;290021542;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290008291;290021542;2000;;;0.05;;0.05;0.15;1.34;;6.04;1.15;0.15;;0.15;8.98;;;;;;9.03
Q24;2014;290008291;290021542;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290008291;290021542;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290008291;290021542;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290008291;290021542;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290008291;290021542;2500;;;0.05;;0.05;0.15;1.34;;6.04;1.15;0.15;;0.15;8.98;;;;;;9.03
Q24;2014;290008291;290021542;9999;;;0.05;;0.05;0.15;1.34;;6.04;1.15;0.15;;0.15;8.98;;;;;;9.03
Q24;2014;290008853;290000074;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290008853;290000074;2000;;;1.17;;1.17;0.24;6.84;;12.62;7.81;0.1;;0.48;28.09;;;;0.51;0.17;29.94
Q24;2014;290008853;290000074;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290008853;290000074;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290008853;290000074;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290008853;290000074;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290008853;290000074;2500;;;1.17;;1.17;0.24;6.84;;12.62;7.81;0.1;;0.48;28.09;;;;0.51;0.17;29.94
Q24;2014;290008853;290000074;9999;;;1.17;;1.17;0.24;6.84;;12.62;7.81;0.1;;0.48;28.09;;;;0.51;0.17;29.94
Q24;2014;290014687;290000306;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290014687;290000306;2000;;;;;;1;8.49;;14.46;2.8;;;0.25;27;;;;;;27
Q24;2014;290014687;290000306;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290014687;290000306;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290014687;290000306;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290014687;290000306;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290014687;290000306;2500;;;;;;1;8.49;;14.46;2.8;;;0.25;27;;;;;;27
Q24;2014;290014687;290000306;9999;;;;;;1;8.49;;14.46;2.8;;;0.25;27;;;;;;27
Q24;2014;290016286;350000626;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290016286;350000626;2000;;;;;;;4;;;;;;;4;;;;;;4
Q24;2014;290016286;350000626;2100;;;;;;;4;;;;;;;4;;;;;;4
Q24;2014;290016286;350000626;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290016286;350000626;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290016286;350000626;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290016286;350000626;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290016286;350000626;9999;;;;;;;4;;;;;;;4;;;;;;4
Q24;2014;290016294;350000626;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290016294;350000626;2000;;;;;;;3.8;;;;;;;3.8;;;;;;3.8
Q24;2014;290016294;350000626;2100;;;;;;;3.8;;;;;;;3.8;;;;;;3.8
Q24;2014;290016294;350000626;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290016294;350000626;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290016294;350000626;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290016294;350000626;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290016294;350000626;9999;;;;;;;3.8;;;;;;;3.8;;;;;;3.8
Q24;2014;290017946;290000017;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290017946;290000017;2000;;;1.2;;1.2;3.1;36.24;;56.07;20.21;;;2.1;117.72;;0.3;0.3;0.5;1.6;121.32
Q24;2014;290017946;290000017;2100;;;;;;;;;;;;;;;;;;0.5;;0.5
Q24;2014;290017946;290000017;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290017946;290000017;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290017946;290000017;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290017946;290000017;2500;;;1.2;;1.2;3.1;36.24;;56.07;20.21;;;2.1;117.72;;0.3;0.3;;1.6;120.82
Q24;2014;290017946;290000017;9999;;;1.2;;1.2;3.1;36.24;;56.07;20.21;;;2.1;117.72;;0.3;0.3;0.5;1.6;121.32
Q24;2014;290018548;350000626;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018548;350000626;2000;;;;;;;3.6;;;;;;;3.6;;;;;;3.6
Q24;2014;290018548;350000626;2100;;;;;;;3.6;;;;;;;3.6;;;;;;3.6
Q24;2014;290018548;350000626;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018548;350000626;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018548;350000626;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018548;350000626;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018548;350000626;9999;;;;;;;3.6;;;;;;;3.6;;;;;;3.6
Q24;2014;290018555;350000626;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018555;350000626;2000;;;;;;;1.1;;;;;;;1.1;;;;;;1.1
Q24;2014;290018555;350000626;2100;;;;;;;1.1;;;;;;;1.1;;;;;;1.1
Q24;2014;290018555;350000626;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018555;350000626;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018555;350000626;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018555;350000626;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018555;350000626;9999;;;;;;;1.1;;;;;;;1.1;;;;;;1.1
Q24;2014;290018563;350000626;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018563;350000626;2000;;;;;;;2.75;;;;;;;2.75;;;;;;2.75
Q24;2014;290018563;350000626;2100;;;;;;;2.75;;;;;;;2.75;;;;;;2.75
Q24;2014;290018563;350000626;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018563;350000626;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018563;350000626;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018563;350000626;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290018563;350000626;9999;;;;;;;2.75;;;;;;;2.75;;;;;;2.75
Q24;2014;290019777;290022508;1000;2;;39.28;;41.28;;;;;9;;;;9;;;;6.12;29.1;85.5
Q24;2014;290019777;290022508;2000;;;;;;10;90.97;40.1;104.65;38.75;0.5;21.5;4;310.47;;0.6;0.6;;;311.07
Q24;2014;290019777;290022508;2100;;;;;;10;90.97;40.1;104.65;38.75;0.5;21.5;4;310.47;;0.6;0.6;;;311.07
Q24;2014;290019777;290022508;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290019777;290022508;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290019777;290022508;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290019777;290022508;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;290019777;290022508;9999;2;;39.28;;41.28;10;90.97;40.1;104.65;47.75;0.5;21.5;4;319.47;;0.6;0.6;6.12;29.1;396.57
Q24;2014;290020841;290000298;1000;;;;;;;0.06;;0.16;0.03;;;0.03;0.28;;;;;;0.28
Q24;2014;290020841;290000298;2000;0.05;;0.41;;0.46;0.75;7.3;;15.4;8.47;0.17;;0.68;32.77;0.58;;0.58;;;33.81
Q24;2014;290020841;290000298;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;290020841;290000298;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;290020841;290000298;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;290020841;290000298;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;290020841;290000298;2500;0.05;;0.41;;0.46;0.75;7.3;;15.4;8.47;0.17;;0.68;32.77;0.58;;0.58;;;33.81
Q24;2014;290020841;290000298;9999;0.05;;0.41;;0.46;0.75;7.36;;15.56;8.5;0.17;;0.71;33.05;0.58;;0.58;;;34.09
