BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2014;620000034;620100057;1;1;24;6;681;2620;5773;4;4;2;2;5.18;5.18;1;1;0;0;15;4;12;;1;19;8;3;4;;0;9.56;6;7.97;13.73;;1;16.29
MCOPED;2014;620000224;620100651;1;0;25;2;590;2252;4799;6;6;3;3;6.38;6.38;0;0;1;1;3;8;12;;1;1;4;3;4;;1;4.64;6;10.98;13.75;;1;3
MCOPED;2014;620000257;620100685;1;1;45;10;1431;4873;13083;10;10;3;3;11.4;11.4;1;1;0;0;24;7;19;;;20;4;3;7;1;2;19.41;4;9.16;23.79;0.74;0.82;16.75
MCOPED;2014;620000323;620101337;1;1;18;4;571;1597;4199;7;7;1;1;7.6;7.6;1;;0;;12;5;12;0;0;2;4;1;6;0;0;15.44;1;6.88;17.57;0;0.92;2.98
MCOPED;2014;620000349;620101360;1;;10;2;21;1171;2938;3;3;1;1;3.5;3.5;;;;;;6;;;;6;1;3;2;;;0.45;2;6.41;3.87;0.15;;4.28
MCOPED;2014;620000653;620103440;1;0;27;2;396;2806;6244;8;;4;;8.47;;0;;1;;1;1;;;;;;1;;;;1;;1.8;;;;
MCOPED;2014;620003202;620103432;1;1;18;2;166;1751;2992;3;3;6;6;4.69;4.69;0;0;1;1;4;4;0;0;0;7;4;2;0;0;1;7.36;5;5.3;0;0;0.25;9.11
MCOPED;2014;630781268;630780989;1;1;10;4;1956;4487;17081;7;7;4;2;5.1;4.25;1;;;;7;4;10;0;;5;5;3;6;0;1;11.33;3;6.2;17.3;0;0.6;7.4
MCOPED;2014;640000162;640780417;1;1;32;2;474;3652;6352;4;4;6;6;4.46;4.46;1;1;0;0;7;11;7;0;0;11;4;2;5;0;1;5.47;4;11.81;10.78;0;0.5;13.6
MCOPED;2014;640000402;640780813;1;0;0;;0;105;206;0;0;0;0;1.01;1.01;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3.33;3;0.8;1.6;0;0;4.85
