BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2014;910000298;910110055;1;1;4;0;627;1916;3264;2;1;1;1;2.82;1.9;1;1;0;0;11;1;10;;;1;5;1;2;;;14.95;3;1.75;10.6;;;4.62
MCOPED;2014;910000306;910110063;1;1;15;2;454;1491;3389;2;;8;;5.82;;;;;;13;4;6;;;6;5;1;2;;;16.29;2;4.25;7.77;;;9.33
MCOPED;2014;910001973;910019447;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;910020254;910002773;1;1;30;12;1019;3433;9416;;;16;;7.62;;;;;;14;4;12;;1;8;11;6;14;;4;19;8;8.4;19.5;;3.1;11.6
MCOPED;2014;910300219;910003888;1;0;26;;0;555;1888;7;2;;;7;2;1;0;1;0;;;;1;;1;;;;1;1;;;;;1.1;0.2;1
MCOPED;2014;920000585;920026374;1;1;18;0;0;1508;4028;7;7;5;5;7.19;7.19;1;1;0;0;11;3;7;;;7;;;2;;;9.44;4;3.66;7.73;;;8.03
MCOPED;2014;920000643;920150034;1;1;19;;0;1043;3280;4;4;6;6;6.46;6.46;1;1;0;0;7;3;5;;;2;1;;;;;6.82;;2.79;4.79;;;2.14
MCOPED;2014;920000684;920150091;1;0;28;;0;908;8553;13;3;3;;13.63;2.83;0;0;;;43;7;18;1;;31;4;1;1;;1;46.44;3;7.87;17.43;1;0.5;33.98
MCOPED;2014;920100013;750712184;1;1;37;4;879;2376;5989;0;0;5;5;1.5;1.5;;1;;;3;;2;;;;0;;0;;;3.9;;;2;;;
MCOPED;2014;920100021;750712184;1;1;33;2;693;3111;6976;2;2;7;1;5.6;2.5;1;1;0;0;14;1;8;;;4;3;;1;;;16.4;;1;8.8;;;4
MCOPED;2014;920100047;750712184;1;;9;5;798;3450;7414;7;7;2;2;8;1;1;1;0;0;;;;;;;;;;;;;;;;;;
MCOPED;2014;920100054;750712184;1;;43;5;1499;766;6928;0;0;35;;11.1;;1;1;;;47;15;;3;3;55;6;4;;2;2;48.75;6;17.7;;3.68;3.92;57.93
MCOPED;2014;920300043;920001526;1;0;8;5;;;;;;;;;;;;;;5;;;;;6;;;;;;4.88;;;;;;5.72
MCOPED;2014;920300597;920000940;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;920300787;920000981;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;930000286;930021480;1;;23;2;3926;2023;5463;10;9;5;2;12.43;8.7;;;;;20;9;10;;1;14;;;1;;1;12.43;;7.19;9.44;;0.72;11.02
MCOPED;2014;930000302;930110036;1;1;17;3;201;1426;4049;3;3;4;4;4.55;4.55;1;1;;;8;;7;;;6;5;;3;;;11.76;3;;9.15;0.37;;8.16
MCOPED;2014;930000328;930110051;1;1;30;2;2220;3784;9577;4;4;1;;4.6;4;;;;;16;10;16;;;17;3;1;4;;1;17.17;5;10.66;21.42;;0.5;19.91
MCOPED;2014;930000336;930110069;1;;30;3;2224;2855;9493;20;;;;15.83;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;930100045;750712184;1;1;29;7;1486;2644;8850;6;4;5;6;10.3;8.3;1;1;;;31;3;5;;;21;7;0;1;;1;39.3;5;3;5.8;;0.4;23.4
MCOPED;2014;930300629;930000666;1;0;7;0;0;34;1;1;;;;0.3;;0;0;0;0;;;;;;;;;;;;;;;;;;
MCOPED;2014;940000573;940110018;1;1;49;5;1869;5614;14507;7;;15;;12.82;;1;1;0;0;18;3;4;;;22;2;;;;3;19.15;3;3.08;3.9;;1.15;19.05
MCOPED;2014;940000599;940110042;1;;;;697;3491;9657;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;940000649;940150014;1;1;38;3;1011;3511;7613;7;6;7;4;10.8;7.9;1;1;1;1;6;;10;;;;1;1;1;1;2;5.12;;0.85;9.4;0.4;0.71;
MCOPED;2014;940000664;940160013;1;0;32;8;;;;13;13;7;7;11.09;11.09;1;1;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2014;940100043;750712184;1;1;6;4;4771;7417;32678;6;5;7;6;8.4;7.1;1;1;0;0;13;1;7;;;6;3;;1;;;15.4;3;1;7.8;;;8.3
MCOPED;2014;950000307;950110015;1;0;21;2;418;2023;4633;5;3;2;2;4.86;3.64;1;1;0;0;12;2;9;0;2;7;7;0;4;0;0;15.65;0;2;11.53;0;1.06;7.45
MCOPED;2014;950000315;950001370;1;0;18;1;151;1554;4388;7;6;3;3;5.83;4.86;;;;;9;3;7;;;4;6;2;4;;1;12.87;1;5.16;10.37;;0.5;4.74
MCOPED;2014;950000323;950013870;1;1;25;5;115;264;749;1;4;1;5;0.81;0.68;1;1;1;1;4;3;9;;1;8;5;2;3;;1;1.02;10;0.49;1.36;;0.74;1.73
MCOPED;2014;950000331;950110049;1;1;57;3;777;4376;10703;10;9;3;2;6.68;6.57;1;1;;0;41;9;30;;1;16;9;5;4;;1;45.55;2;8.31;32.72;;1.41;18.27
MCOPED;2014;950000356;950013870;1;;;;320;1652;4143;;;;;6.45;6.37;1;1;1;1;;;;;;;;;;;;5.96;;4.17;9.98;;1.32;9.98
MCOPED;2014;950000364;950110080;1;1;34;5;269;4612;10084;3;;3;;5.25;;;;;;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
MCOPED;2014;950630012;750721334;1;;5;;;342;1776;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;970100392;970100178;1;0;15;4;246;1005;2983;7;7;0;0;5.22;5.22;1;1;;;14;14;1;0;1;9;0;0;0;0;0;15.2;0;14.15;1;0;0.25;8.92
MCOPED;2014;970100400;970100186;1;0;8;0;0;543;1406;2;2;;;2;2;;;0;0;6;10;;;;;;;;;;6;;10;;;;
MCOPED;2014;970100442;970100228;1;1;53;10;1089;3398;10428;5;2;3;3;6.14;4.7;1;1;1;1;21;9;21;0;1;30;0;2;0;0;0;20.18;0;10.01;21;0;1;29.75
MCOPED;2014;970211223;970211207;1;1;17;2;80;1008;2581;8;2;;;8;1.25;;;;;14;3;;;;22;;;;;;14;;3;;;;21.99
MCOPED;2014;970211231;970211207;1;0;18;8;2;160;578;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;970211256;970211207;1;1;40;4;1299;4054;14116;11;3;;;7.06;2.7;;;;;22;4;;;;26;;;;;;21.71;;4;;;;26
MCOPED;2014;970300026;970302022;1;0;38;4;448;2663;11685;6;3;2;1;7;3.8;1;1;1;1;29;;25;1;1;6;4;;2;;;30.6;1;;24.04;1;1;6.5
MCOPED;2014;970300083;970302121;1;0;21;;0;568;2977;9;9;1;1;7.75;7.75;1;1;1;1;23;0;13;0;0;5;1;0;0;0;0;22.05;0;0;12.13;0;0;5.39
MCOPED;2014;970300265;750721334;1;0;11;;0;671;2628;;;3;;2.2;;1;1;0;0;7;5;5;;;2;1;;;;;7.93;;4.42;4.48;;;2.04
MCOPED;2014;970400024;970408589;1;1;56;6;2116;4172;15750;17;11;2;;18.16;11;0;0;1;1;41;6;38;;1;11;2;;2;;;42.6;;6;39.6;;1;11
MCOPED;2014;970400057;970408589;1;1;52;4;1124;4823;14290;12;12;;;9.93;9.93;1;1;1;1;27;10;28;0;2;12;;;;;;26.43;;10;27.15;0;1.75;10.43
MCOPED;2014;970400065;970421038;1;1;25;0;0;2349;7224;10;10;2;2;6.94;6.94;1;1;0;0;14;10;0;0;1;27;0;4;0;0;0;14.88;2;13.27;0;0;0.42;25.09
MCOPED;2014;970400073;970403606;1;1;8;;0;582;1976;3;3;1;1;3;3;;;;;11;5;13;1;;5;;1;2;;;5.74;;3.31;7.78;0.15;;5.48
MCOPED;2014;980500011;980500003;1;0;49;2;256;1645;11879;;;;;;;1;;1;;29;;;;;;1;;;;;25.5;;;;;;
