BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2014;020010047;020001632;N2510;16;2;17;0;0
BLOCS_P;2014;020010047;020001632;N4160;1;;1;0;0
BLOCS_P;2014;020010047;020001632;NAUT;6;;6;0;0
BLOCS_P;2014;030000061;030780092;M100H;;;;0;1
BLOCS_P;2014;030000061;030780092;M1030;5;2;4.89;1;0
BLOCS_P;2014;030000061;030780092;M200H;;;;0;1
BLOCS_P;2014;030000061;030780092;N2200;7;3;9.85;1;1
BLOCS_P;2014;030000061;030780092;N2310;12;3;12.87;1;0
BLOCS_P;2014;030000061;030780092;N2320;12;0;11.5;1;1
BLOCS_P;2014;030000061;030780092;N2510;8;1;9.5;0;1
BLOCS_P;2014;030000061;030780092;N4130;0;0;0;0;1
BLOCS_P;2014;030000061;030780092;NAUT;6;0;6.29;0;0
BLOCS_P;2014;030000079;030780100;M1030;3;;1.26;1;
BLOCS_P;2014;030000079;030780100;N2200;5;;5;;1
BLOCS_P;2014;030000079;030780100;N2310;10;;10;;1
BLOCS_P;2014;030000079;030780100;N2320;10;;10;;1
BLOCS_P;2014;030000079;030780100;N2510;7;;7;;0
BLOCS_P;2014;030000087;030780118;M100H;7;1;7.1;0;1
BLOCS_P;2014;030000087;030780118;M1030;5;1;5.8;0;1
BLOCS_P;2014;030000087;030780118;M200H;15;10;14.77;0;1
BLOCS_P;2014;030000087;030780118;N2200;11;2;8.86;;
BLOCS_P;2014;030000087;030780118;N2310;17;0;16.89;;
BLOCS_P;2014;030000087;030780118;N2320;8;4;13.3;;
BLOCS_P;2014;030000087;030780118;N2510;2;0;1.82;;
BLOCS_P;2014;030000087;030780118;NAUT;7;0;7.97;;
BLOCS_P;2014;030780548;030000194;M100H;2;2;2.3;0;1
BLOCS_P;2014;030780548;030000194;M1030;3;;3;0;1
BLOCS_P;2014;030780548;030000194;M200H;15;4;15.83;0;1
BLOCS_P;2014;030780548;030000194;N2200;11;3;12.34;0;1
BLOCS_P;2014;030780548;030000194;N2320;1;;1;0;1
BLOCS_P;2014;030780548;030000194;N2510;4;3;5.76;0;1
BLOCS_P;2014;030780548;030000194;N4160;1;;1;0;1
BLOCS_P;2014;030780548;030000194;NAUT;8;;8;;
BLOCS_P;2014;030781116;030000426;M100H;18;;18;0;0
BLOCS_P;2014;030781116;030000426;M1030;6;;6;0;1
BLOCS_P;2014;030781116;030000426;M200H;20;;20;0;0
BLOCS_P;2014;030781116;030000426;N2200;20;1;20.8;0;1
BLOCS_P;2014;030781116;030000426;N2320;1;;1;0;1
BLOCS_P;2014;030781116;030000426;N2510;8;;8;0;0
BLOCS_P;2014;030781116;030000426;N4160;2;;2;0;1
BLOCS_P;2014;030785430;030785422;M100H;5;0;5;0;0
BLOCS_P;2014;030785430;030785422;M1030;4;;4;0;0
BLOCS_P;2014;030785430;030785422;M200H;16;4;18;0;0
BLOCS_P;2014;030785430;030785422;N2200;5;;4.97;0;1
BLOCS_P;2014;030785430;030785422;N2320;6;;5.93;0;1
BLOCS_P;2014;030785430;030785422;N2510;5;;4.92;0;0
BLOCS_P;2014;030785430;030785422;N4160;1;;1;0;0
BLOCS_P;2014;040000093;040780215;M100H;;1;1;0;1
BLOCS_P;2014;040000093;040780215;M1030;7;1;7.99;1;
BLOCS_P;2014;040000093;040780215;M200H;4;6;12.44;0;1
BLOCS_P;2014;040000093;040780215;N2200;12;3;11.82;0;1
BLOCS_P;2014;040000093;040780215;N2310;10;2;11.78;0;1
BLOCS_P;2014;040000093;040780215;N2320;4;3;5.35;0;1
BLOCS_P;2014;040000093;040780215;N2510;1;;1;0;
BLOCS_P;2014;040000093;040780215;N4160;1;;1;;
BLOCS_P;2014;040000093;040780215;NAUT;7;1;7.67;0;1
BLOCS_P;2014;040000135;050002948;M1030;1;0;0.5;;
BLOCS_P;2014;040000135;050002948;N2200;0;1;0.74;;
BLOCS_P;2014;040000135;050002948;N2310;1;0;0.28;;
BLOCS_P;2014;040000135;050002948;N2320;0;1;0.74;;
BLOCS_P;2014;040000135;050002948;NAUT;4;0;1.54;;
BLOCS_P;2014;040000911;040788879;M100H;;2;0.64;0;1
BLOCS_P;2014;040000911;040788879;M1030;3;;2.34;0;1
BLOCS_P;2014;040000911;040788879;M200H;5;1;5.15;0;1
BLOCS_P;2014;040000911;040788879;N2200;12;2;13;0;1
BLOCS_P;2014;040000911;040788879;N2310;7;2;8.72;0;1
BLOCS_P;2014;040000911;040788879;N2320;3;1;3.86;0;1
BLOCS_P;2014;040000911;040788879;N2510;7;;7;0;1
BLOCS_P;2014;040000911;040788879;N4160;1;;1;0;0
BLOCS_P;2014;040000911;040788879;NAUT;9;4;7.03;0;0
BLOCS_P;2014;040780470;040000192;M100H;0;2;1;0;0
BLOCS_P;2014;040780470;040000192;M1030;0;3;2;0;0
BLOCS_P;2014;040780470;040000192;M200H;3;14;6.3;0;0
BLOCS_P;2014;040780470;040000192;N2200;6;1;6.8;0;0
BLOCS_P;2014;040780470;040000192;N2310;2;0;2;0;0
BLOCS_P;2014;040780470;040000192;N2320;1;0;1;0;0
BLOCS_P;2014;040780470;040000192;N2510;0;1;0.5;0;0
BLOCS_P;2014;040780470;040000192;N4160;1;0;1;0;0
BLOCS_P;2014;040780470;040000192;NAUT;2;2;3;;
BLOCS_P;2014;050000041;130037815;M100H;;2;0.2;;
BLOCS_P;2014;050000041;130037815;N2200;2;;1.75;;
BLOCS_P;2014;050000041;130037815;N2510;;1;0.75;;
BLOCS_P;2014;050000090;050006931;M100H;14;;14;0;0
BLOCS_P;2014;050000090;050006931;M1030;6;;6;0;0
BLOCS_P;2014;050000090;050006931;M200H;23;;23;0;0
BLOCS_P;2014;050000090;050006931;N2310;;1;0.86;0;0
BLOCS_P;2014;050000090;050006931;N2320;1;;1;0;0
BLOCS_P;2014;050000090;050006931;N4160;1;;1;0;1
BLOCS_P;2014;050000231;050000116;M100H;1;1;0.36;;
BLOCS_P;2014;050000231;050000116;M1030;2;2;2.91;;
BLOCS_P;2014;050000231;050000116;M200H;6;4;1.94;;
BLOCS_P;2014;050000231;050000116;N2200;6;2;8.95;;
BLOCS_P;2014;050000231;050000116;N2310;6;2;7.69;;
BLOCS_P;2014;050000231;050000116;N2320;6;3;7.85;;
BLOCS_P;2014;050000231;050000116;N2510;2;2;3.4;;
BLOCS_P;2014;050000231;050000116;NAUT;4;1;4.7;;
BLOCS_P;2014;050000348;050002948;M1030;6;5;7.16;;
BLOCS_P;2014;050000348;050002948;N2200;7;2;8.38;;
BLOCS_P;2014;050000348;050002948;N2310;14;8;19;;
BLOCS_P;2014;050000348;050002948;N2320;13;6;16.47;;
BLOCS_P;2014;050000348;050002948;N2510;13;2;13.11;;
BLOCS_P;2014;050000348;050002948;NAUT;5;1;5.57;;
BLOCS_P;2014;060000478;060780897;M100H;;;0.61;1;
BLOCS_P;2014;060000478;060780897;M1030;13;2;11.01;1;
BLOCS_P;2014;060000478;060780897;M200H;9;10;3.6;1;
BLOCS_P;2014;060000478;060780897;N2200;8;2;9.7;;0
BLOCS_P;2014;060000478;060780897;N2310;10;5;14.1;;1
BLOCS_P;2014;060000478;060780897;N2320;11;2;12.8;;1
BLOCS_P;2014;060000478;060780897;N2510;2;1;2.9;;0
BLOCS_P;2014;060000478;060780897;N4130;;;;;1
BLOCS_P;2014;060000478;060780897;NAUT;13;4;16.45;;
BLOCS_P;2014;060000510;060780954;M100H;3;;2.5;;1
BLOCS_P;2014;060000510;060780954;M1030;6;4;9.63;1;
BLOCS_P;2014;060000510;060780954;M200H;12;17;10.86;0;1
BLOCS_P;2014;060000510;060780954;N2200;12;1;4.84;0;0
BLOCS_P;2014;060000510;060780954;N2310;10;5;13.24;1;0
BLOCS_P;2014;060000510;060780954;N2320;10;0;8.97;1;0
BLOCS_P;2014;060000510;060780954;N2510;4;1;4.84;0;0
BLOCS_P;2014;060000510;060780954;NAUT;14;0;13.52;0;0
BLOCS_P;2014;060000528;060780962;M100H;3;7;5.81;0;1
BLOCS_P;2014;060000528;060780962;M1030;6;1;5.7;0;1
BLOCS_P;2014;060000528;060780962;M200H;12;2;9.58;0;1
BLOCS_P;2014;060000528;060780962;N2200;13;;11.66;0;0
BLOCS_P;2014;060000528;060780962;N2310;11;1;10.24;0;1
BLOCS_P;2014;060000528;060780962;N2320;6;;6.41;0;1
BLOCS_P;2014;060000528;060780962;N2510;6;;4.61;0;1
BLOCS_P;2014;060000528;060780962;N4160;1;1;1.51;0;0
BLOCS_P;2014;060000528;060780962;NAUT;8;;8.82;0;0
BLOCS_P;2014;060000544;060780988;M100H;16;5;16.7;1;1
BLOCS_P;2014;060000544;060780988;M1030;10;5;11.98;;
BLOCS_P;2014;060000544;060780988;M200H;20;14;22.69;;1
BLOCS_P;2014;060000544;060780988;N2200;16;5;15.68;;0
BLOCS_P;2014;060000544;060780988;N2310;14;7;17.37;;0
BLOCS_P;2014;060000544;060780988;N2320;9;2;9.07;;0
BLOCS_P;2014;060000544;060780988;N2510;8;3;10.72;;
BLOCS_P;2014;060000544;060780988;NAUT;13;2;10.17;;
BLOCS_P;2014;060001450;060785011;M100H;0;1;0.5;1;1
BLOCS_P;2014;060001450;060785011;M1030;1;14;11.46;1;1
BLOCS_P;2014;060001450;060785011;M200H;3;29;7.59;1;1
BLOCS_P;2014;060001450;060785011;N2200;34;4;32.15;1;1
BLOCS_P;2014;060001450;060785011;N2310;25;1;25.82;1;1
BLOCS_P;2014;060001450;060785011;N2320;8;2;9.95;1;1
BLOCS_P;2014;060001450;060785011;N2510;26;5;27.78;1;1
BLOCS_P;2014;060001450;060785011;N4130;0;0;0;1;1
BLOCS_P;2014;060001450;060785011;N4160;0;0;0;1;1
BLOCS_P;2014;060001450;060785011;NAUT;24;0;17.52;1;1
BLOCS_P;2014;060002102;060791761;M100H;5;5;6.4;;
BLOCS_P;2014;060002102;060791761;M1030;4;1;4.5;;
BLOCS_P;2014;060002102;060791761;M200H;6;2;6.4;;
BLOCS_P;2014;060002102;060791761;N2200;6;2;7.6;;
BLOCS_P;2014;060002102;060791761;N2310;5;2;6.6;;
BLOCS_P;2014;060002102;060791761;N2320;2;;2;;
BLOCS_P;2014;060002102;060791761;N2510;5;;5;;
BLOCS_P;2014;060002102;060791761;NAUT;1;;1;;
BLOCS_P;2014;060021417;060000221;N2200;19;5;21.11;;
BLOCS_P;2014;060021417;060000221;N2320;;2;0.74;;
BLOCS_P;2014;060021417;060000221;N2510;6;;6.13;;
BLOCS_P;2014;060021417;060000221;N4160;3;;3;;
BLOCS_P;2014;060021417;060000221;NAUT;9;2;10.5;;
BLOCS_P;2014;060780442;060000213;M100H;;13;2;0;1
BLOCS_P;2014;060780442;060000213;M1030;4;;4;0;1
BLOCS_P;2014;060780442;060000213;M200H;3;42;10;0;1
BLOCS_P;2014;060780442;060000213;N2200;8;1;9;;
BLOCS_P;2014;060780442;060000213;N2310;1;;1;;
BLOCS_P;2014;060780442;060000213;N2320;1;;1;;
BLOCS_P;2014;060780442;060000213;N2510;2;;2;;
BLOCS_P;2014;060780442;060000213;N4130;1;;1;;
BLOCS_P;2014;060780442;060000213;NAUT;4;;4;;
BLOCS_P;2014;060780491;060790797;M100H;;11;5.5;0;1
BLOCS_P;2014;060780491;060790797;M1030;;10;5;1;1
BLOCS_P;2014;060780491;060790797;M200H;;27;13.5;0;1
BLOCS_P;2014;060780491;060790797;N2200;16;19;29.12;0;1
BLOCS_P;2014;060780491;060790797;N2510;8;2;9.1;0;1
BLOCS_P;2014;060780491;060790797;N4160;2;1;2.73;0;1
BLOCS_P;2014;060780491;060790797;NAUT;4;8;9.27;;
BLOCS_P;2014;060780517;060000239;M100H;0;3;1.5;;
BLOCS_P;2014;060780517;060000239;M1030;12;0;12;;1
BLOCS_P;2014;060780517;060000239;M200H;26;15;33;;1
BLOCS_P;2014;060780517;060000239;N2200;31;;31;;1
BLOCS_P;2014;060780517;060000239;N2310;7;;7;;1
BLOCS_P;2014;060780517;060000239;N2510;7;;7;;1
BLOCS_P;2014;060780517;060000239;N4130;4;;4;;1
BLOCS_P;2014;060780517;060000239;N4160;1;;1;;0
BLOCS_P;2014;060780517;060000239;NAUT;13;;13;;1
BLOCS_P;2014;060780590;060000270;M100H;4;2;4.4;0;1
BLOCS_P;2014;060780590;060000270;M1030;2;2;3;0;1
BLOCS_P;2014;060780590;060000270;M200H;11;5;12;0;1
BLOCS_P;2014;060780590;060000270;N2200;8;2;9.3;0;1
BLOCS_P;2014;060780590;060000270;N2310;1;3;2.2;0;0
BLOCS_P;2014;060780590;060000270;N2320;1;1;1.96;0;1
BLOCS_P;2014;060780590;060000270;N2510;1;1;1.74;0;0
BLOCS_P;2014;060780590;060000270;N4160;1;0;1;0;0
BLOCS_P;2014;060780590;060000270;NAUT;3;;3.76;0;0
BLOCS_P;2014;060780665;060000312;M1030;2;;2;0;1
BLOCS_P;2014;060780665;060000312;M200H;;30;15;0;1
BLOCS_P;2014;060780665;060000312;N2200;4;2;5.6;0;1
BLOCS_P;2014;060780665;060000312;N2510;1;;1;0;
BLOCS_P;2014;060780665;060000312;N4160;1;;1;0;
BLOCS_P;2014;060780665;060000312;NAUT;4;;4;0;
BLOCS_P;2014;060780699;060000346;M1030;;2;1;0;0
BLOCS_P;2014;060780699;060000346;N2200;3;;2.5;0;0
BLOCS_P;2014;060780699;060000346;N2310;;2;1;0;0
BLOCS_P;2014;060780699;060000346;N2320;1;;1;0;0
BLOCS_P;2014;060780699;060000346;N2510;1;;1;0;0
BLOCS_P;2014;060780699;060000346;NAUT;1;;1;0;0
BLOCS_P;2014;060780715;060000361;M100H;12;53;22.6;;1
BLOCS_P;2014;060780715;060000361;M1030;26;1;26.2;1;1
BLOCS_P;2014;060780715;060000361;M200H;27;33;33.6;;1
BLOCS_P;2014;060780715;060000361;N2200;20;2;20.8;1;0
BLOCS_P;2014;060780715;060000361;N2510;7;;7;0;0
BLOCS_P;2014;060780715;060000361;N4130;11;;11;0;1
BLOCS_P;2014;060780715;060000361;N4160;2;;2;0;0
BLOCS_P;2014;060780715;060000361;NAUT;33;;33;;0
BLOCS_P;2014;060780723;060004959;M100H;;22;1.5;;
BLOCS_P;2014;060780723;060004959;M1030;8;2;9;;
BLOCS_P;2014;060780723;060004959;M200H;;60;25.5;;
BLOCS_P;2014;060780723;060004959;N2320;4;3;6.22;;
BLOCS_P;2014;060780723;060004959;N2510;2;;2;;
BLOCS_P;2014;060780723;060004959;N4160;1;;1;;
BLOCS_P;2014;060780723;060004959;NAUT;5;1;5.5;;
BLOCS_P;2014;060780756;060000403;M1030;4;2;0;;
BLOCS_P;2014;060780756;060000403;M200H;5;;0;;
BLOCS_P;2014;060780756;060000403;N4160;1;;1;;
BLOCS_P;2014;060780947;060800174;M100H;1;1;0.4;0;0
BLOCS_P;2014;060780947;060800174;M1030;5;;3.48;1;0
BLOCS_P;2014;060780947;060800174;M200H;9;3;2.73;;1
BLOCS_P;2014;060780947;060800174;N2200;15;;11.3;0;1
BLOCS_P;2014;060780947;060800174;N2310;11;3;11.32;0;1
BLOCS_P;2014;060780947;060800174;N2320;5;1;4.7;0;1
BLOCS_P;2014;060780947;060800174;N2510;6;;5.5;0;1
BLOCS_P;2014;060780947;060800174;N4160;1;;1;1;0
BLOCS_P;2014;060780947;060800174;NAUT;8;;7.4;0;1
BLOCS_P;2014;060781200;060000635;M100H;;48;6;0;1
BLOCS_P;2014;060781200;060000635;M1030;5;2;6.2;0;1
BLOCS_P;2014;060781200;060000635;M200H;;39;8.5;0;1
BLOCS_P;2014;060781200;060000635;N2200;10;1;10.5;0;1
BLOCS_P;2014;060781200;060000635;N2510;6;;6;0;0
BLOCS_P;2014;060781200;060000635;N4130;2;;2;0;1
BLOCS_P;2014;060781200;060000635;N4160;1;;1;0;0
BLOCS_P;2014;060781200;060000635;NAUT;5;;5;0;0
