BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2014;040000093;040780215;N2700;;1;0.1;;;;
PERINAT_P;2014;040000093;040780215;N2800;10;13;16.16;;;;
PERINAT_P;2014;040000093;040780215;N280H;10;13;16.16;;;;
PERINAT_P;2014;040000135;050002948;M2050;1;0;0.1;;;;
PERINAT_P;2014;040000135;050002948;N2800;1;1;0.36;;;;
PERINAT_P;2014;040000911;040788879;M1140;;1;0.82;0;1;;
PERINAT_P;2014;040000911;040788879;M2050;3;2;3.45;0;1;;
PERINAT_P;2014;040000911;040788879;N2340;1;;1;;;;
PERINAT_P;2014;040000911;040788879;N2700;;1;0.3;;;;
PERINAT_P;2014;040000911;040788879;N2800;8;4;11.35;;;;
PERINAT_P;2014;050000231;050000116;M2050;1;0;1.37;;;;
PERINAT_P;2014;050000231;050000116;N2700;1;0;1;;;;
PERINAT_P;2014;050000231;050000116;N2800;10;1;9.37;;;;
PERINAT_P;2014;050000231;050000116;N280H;10;1;9.37;;;;
PERINAT_P;2014;050000348;050002948;M1140;4;0;0.9;;;;
PERINAT_P;2014;050000348;050002948;M2050;4;3;5.81;;;;
PERINAT_P;2014;050000348;050002948;MIVG;0;1;0.3;;;;
PERINAT_P;2014;050000348;050002948;N2340;1;2;1.25;;;;
PERINAT_P;2014;050000348;050002948;N2800;12;15;20.73;;;;
PERINAT_P;2014;050000348;050002948;N280H;6;3;4.31;;;;
PERINAT_P;2014;060000478;060780897;M1030;13;2;11.01;1;;1;
PERINAT_P;2014;060000478;060780897;M1140;4;0;0.75;1;;;
PERINAT_P;2014;060000478;060780897;M2050;6;6;4.67;1;;;
PERINAT_P;2014;060000478;060780897;N2340;8;20;19.5;;;;
PERINAT_P;2014;060000478;060780897;N2700;;1;0.9;;;;
PERINAT_P;2014;060000478;060780897;N2800;21;10;24.8;;;;
PERINAT_P;2014;060000478;060780897;N280H;10;4;11.7;;;;
PERINAT_P;2014;060000478;060780897;N3120;;1;0.75;;;;
PERINAT_P;2014;060000510;060780954;M1140;5;5;5.19;;1;;
PERINAT_P;2014;060000510;060780954;M2050;4;1;4.38;;1;;
PERINAT_P;2014;060000510;060780954;MIVG;;1;0.3;;;;
PERINAT_P;2014;060000510;060780954;N2700;0;0;0.2;;;;
PERINAT_P;2014;060000510;060780954;N2800;15;4;16.01;;;;
PERINAT_P;2014;060000544;060780988;M1030;1;1;1.2;1;0;;
PERINAT_P;2014;060000544;060780988;M1140;1;;0.92;1;0;;
PERINAT_P;2014;060000544;060780988;M2050;6;5;6.86;1;0;;
PERINAT_P;2014;060000544;060780988;MIVG;;1;0.3;;;;
PERINAT_P;2014;060000544;060780988;N2340;2;2;3.3;;;;
PERINAT_P;2014;060000544;060780988;N2700;;1;0.3;;;;
PERINAT_P;2014;060000544;060780988;N2800;22;6;25.82;;;;
PERINAT_P;2014;060000544;060780988;N280H;12;3;13.7;;;;
