BOR;AN;FI;FI_EJ;GDE;AUT;LIT;PLA;APEC;SEJHC;JOUHC;SEJ3M;SEJHP;JOUHP
SSR;2014;010780328;010000222;SSR_TOT;;56;;0;468;19229;;;
SSR;2014;010780476;750005068;SSR_E;;115;3;;1175;24667;7;601;601
SSR;2014;010780476;750005068;SSR_E50;1;58;1;0;876;17635;6;455;455
SSR;2014;010780476;750005068;SSR_E55;1;46;1;0;268;6353;1;134;134
SSR;2014;010780476;750005068;SSR_E58;1;11;1;0;31;679;0;12;12
SSR;2014;010780476;750005068;SSR_TOT;;115;3;0;1175;24667;7;601;601
SSR;2014;010780492;360000707;SSR_E;;64;20;;2861;15981;;4166;7601
SSR;2014;010780492;360000707;SSR_E50;1;;;0;86;773;;62;122
SSR;2014;010780492;360000707;SSR_E51;1;6;2;0;412;3203;;336;680
SSR;2014;010780492;360000707;SSR_E52;1;29;6;0;540;5173;;534;1482
SSR;2014;010780492;360000707;SSR_E57;1;29;12;0;1823;6832;;3234;5317
SSR;2014;010780492;360000707;SSR_TOT;;64;20;0;2861;15981;;4166;7601
SSR;2014;010780708;310021381;SSR_A;;65;;;796;22936;;;
SSR;2014;010780708;310021381;SSR_A50;1;65;;0;796;22936;;;
SSR;2014;010780708;310021381;SSR_TOT;;65;;0;796;22936;;;
SSR;2014;010780799;750721334;SSR_A;;64;;;763;23279;7;;
SSR;2014;010780799;750721334;SSR_A50;1;;;0;;;;;
SSR;2014;010780799;750721334;SSR_A51;1;64;;;763;23279;7;;
SSR;2014;010780799;750721334;SSR_TOT;;64;;0;763;23279;7;;
SSR;2014;020000089;020000022;SSR_A;;42;;;421;13741;8;;
SSR;2014;020000089;020000022;SSR_A50;1;22;;0;221;7198;8;;
SSR;2014;020000089;020000022;SSR_A59;1;20;;0;200;6543;;;
SSR;2014;020000089;020000022;SSR_TOT;;42;;0;421;13741;8;;
SSR;2014;020000097;020000048;SSR_A;;29;;;229;8408;5;;
SSR;2014;020000097;020000048;SSR_A50;1;29;;0;229;8408;5;;
SSR;2014;020000097;020000048;SSR_TOT;;29;;0;229;8408;5;;
SSR;2014;020000105;020000055;SSR_A;;15;;;279;5039;3;;
SSR;2014;020000105;020000055;SSR_A50;1;15;;0;279;5039;3;;
SSR;2014;020000105;020000055;SSR_TOT;;15;;0;279;5039;3;;
SSR;2014;020000162;020000063;SSR_A;;70;;;887;24452;37;;
SSR;2014;020000162;020000063;SSR_A50;1;9;;0;67;1610;5;;
SSR;2014;020000162;020000063;SSR_A51;1;20;;;293;6072;4;;
SSR;2014;020000162;020000063;SSR_A52;1;6;;0;64;1592;2;;
SSR;2014;020000162;020000063;SSR_A54;0;;;1;;;;;
SSR;2014;020000162;020000063;SSR_A59;1;35;;0;463;15178;26;;
SSR;2014;020000162;020000063;SSR_TOT;;70;;0;887;24452;37;;
SSR;2014;020000246;020000071;SSR_A;;33;;;301;8717;6;;
SSR;2014;020000246;020000071;SSR_A50;1;33;;0;301;8717;6;;
SSR;2014;020000246;020000071;SSR_TOT;;33;;0;301;8717;6;;
SSR;2014;020000303;750814030;SSR_A;;350;12;;4874;116940;1590;6391;6391
SSR;2014;020000303;750814030;SSR_A50;1;8;;0;455;6418;66;;
SSR;2014;020000303;750814030;SSR_A51;1;143;6;;2255;47756;568;2965;2965
SSR;2014;020000303;750814030;SSR_A52;1;23;5;0;179;6934;104;3297;3297
SSR;2014;020000303;750814030;SSR_A53;1;12;;0;42;2252;32;;
SSR;2014;020000303;750814030;SSR_A54;1;27;;0;725;9556;146;;
SSR;2014;020000303;750814030;SSR_A55;1;31;;0;216;7979;117;;
SSR;2014;020000303;750814030;SSR_A59;1;106;1;0;1002;36045;557;129;129
SSR;2014;020000303;750814030;SSR_TOT;;350;12;0;4874;116940;1590;6391;6391
SSR;2014;020000519;020000261;SSR_A;;60;;;716;19134;;;
SSR;2014;020000519;020000261;SSR_A50;1;60;;0;716;19134;;;
SSR;2014;020000519;020000261;SSR_TOT;;60;;0;716;19134;;;
SSR;2014;020000535;020000287;SSR_A;;38;0;;383;11982;8;;
SSR;2014;020000535;020000287;SSR_A50;1;38;0;1;383;11982;8;;
SSR;2014;020000535;020000287;SSR_TOT;;38;0;0;383;11982;8;;
SSR;2014;020000915;020003620;SSR_A;;184;16;;1841;59567;199;416;7919
SSR;2014;020000915;020003620;SSR_A50;1;184;16;0;1841;59567;199;416;7919
SSR;2014;020000915;020003620;SSR_TOT;;184;16;0;1841;59567;199;416;7919
SSR;2014;020001087;020004495;SSR_A;;30;;;327;9959;14;;
SSR;2014;020001087;020004495;SSR_A50;1;30;;0;327;9959;14;;
SSR;2014;020001087;020004495;SSR_TOT;;30;;0;327;9959;14;;
SSR;2014;020003877;020000253;SSR_A;;70;8;;606;21303;;76;1253
SSR;2014;020003877;020000253;SSR_A50;1;;;0;;;;;
SSR;2014;020003877;020000253;SSR_A53;1;;8;0;;;;76;1253
SSR;2014;020003877;020000253;SSR_A59;1;70;;0;606;21303;;;
SSR;2014;020003877;020000253;SSR_TOT;;70;8;0;606;21303;;76;1253
SSR;2014;020010310;750719361;SSR_A;;14;0;;52;3695;8;0;0
SSR;2014;020010310;750719361;SSR_A58;1;14;0;0;52;3695;8;0;0
SSR;2014;020010310;750719361;SSR_TOT;;14;0;0;52;3695;8;0;0
SSR;2014;030000012;030180020;SSR_A;;59;10;;611;14769;31;169;2592
SSR;2014;030000012;030180020;SSR_A51;1;59;10;;611;14769;31;169;2592
SSR;2014;030000012;030180020;SSR_TOT;;59;10;0;611;14769;31;169;2592
SSR;2014;030000061;030780092;SSR_A;;40;7;;374;13228;24;91;1474
SSR;2014;030000061;030780092;SSR_A50;1;18;;0;64;2268;4;;
SSR;2014;030000061;030780092;SSR_A51;1;;;;143;5062;9;;
SSR;2014;030000061;030780092;SSR_A59;1;22;7;0;167;5898;11;91;1474
SSR;2014;030000061;030780092;SSR_TOT;;40;7;0;374;13228;24;91;1474
SSR;2014;030000079;030780100;SSR_A;;30;0;;400;10962;20;0;0
SSR;2014;030000079;030780100;SSR_A59;1;30;0;0;400;10962;20;0;0
SSR;2014;030000079;030780100;SSR_TOT;;30;0;0;400;10962;20;0;0
SSR;2014;030000087;030780118;SSR_A;;73;0;;847;30249;3;103;834
SSR;2014;030000087;030780118;SSR_A50;1;21;0;0;274;8266;;103;834
SSR;2014;030000087;030780118;SSR_A59;1;52;;0;573;21983;3;;
SSR;2014;030000087;030780118;SSR_TOT;;73;0;0;847;30249;3;103;834
SSR;2014;030000095;030780126;SSR_A;;35;2;;351;11864;10;18;468
SSR;2014;030000095;030780126;SSR_A50;1;35;2;0;351;11864;10;18;468
SSR;2014;030000095;030780126;SSR_TOT;;35;2;0;351;11864;10;18;468
SSR;2014;030002208;030002158;SSR_A;;159;;;902;35839;75;0;0
SSR;2014;030002208;030002158;SSR_A50;1;117;;0;665;28480;70;;
SSR;2014;030002208;030002158;SSR_A58;1;42;;0;237;7359;5;0;0
SSR;2014;030002208;030002158;SSR_TOT;;159;;0;902;35839;75;0;0
SSR;2014;030780548;030000194;SSR_A;;50;;;442;14689;;;
SSR;2014;030780548;030000194;SSR_A50;1;50;;0;442;14689;;;
SSR;2014;030780548;030000194;SSR_TOT;;50;;0;442;14689;;;
SSR;2014;030781116;030000426;SSR_A;;65;;;763;20673;;;
SSR;2014;030781116;030000426;SSR_A50;1;65;;0;763;20673;;;
SSR;2014;030781116;030000426;SSR_TOT;;65;;0;763;20673;;;
SSR;2014;040000028;040780124;SSR_A;;20;;;175;5631;;;
SSR;2014;040000028;040780124;SSR_A50;1;20;;0;175;5631;;;
SSR;2014;040000028;040780124;SSR_TOT;;20;;0;175;5631;;;
SSR;2014;040000036;040780132;SSR_A;;10;;;109;3107;;;
SSR;2014;040000036;040780132;SSR_A50;1;10;;0;109;3107;;;
SSR;2014;040000036;040780132;SSR_TOT;;10;;0;109;3107;;;
SSR;2014;040000044;040780140;SSR_A;;5;;;60;2195;;;
SSR;2014;040000044;040780140;SSR_A50;1;5;;0;60;2195;;;
SSR;2014;040000044;040780140;SSR_TOT;;5;;0;60;2195;;;
SSR;2014;040000051;040780173;SSR_A;;15;;;135;3909;0;;
SSR;2014;040000051;040780173;SSR_A50;1;15;;0;135;3909;0;;
SSR;2014;040000051;040780173;SSR_TOT;;15;;0;135;3909;0;;
SSR;2014;040000069;040780181;SSR_A;;43;;;428;14290;;;
SSR;2014;040000069;040780181;SSR_A50;1;11;;0;107;3572;;;
SSR;2014;040000069;040780181;SSR_A51;1;32;;;321;10718;;;
SSR;2014;040000069;040780181;SSR_TOT;;43;;0;428;14290;;;
SSR;2014;040000077;040780199;SSR_A;;2;0;;45;751;0;0;
SSR;2014;040000077;040780199;SSR_A50;1;2;0;0;45;751;0;0;
SSR;2014;040000077;040780199;SSR_TOT;;2;0;0;45;751;0;0;
SSR;2014;040000085;040780207;SSR_A;;10;;;95;2883;;;
SSR;2014;040000085;040780207;SSR_A50;1;10;;0;95;2883;;;
SSR;2014;040000085;040780207;SSR_TOT;;10;;0;95;2883;;;
SSR;2014;040000119;040780231;SSR_A;;15;;;296;5225;;;
SSR;2014;040000119;040780231;SSR_A50;1;15;;0;296;5225;;;
SSR;2014;040000119;040780231;SSR_TOT;;15;;0;296;5225;;;
SSR;2014;040000135;050002948;SSR_A;;27;10;;336;8337;2;1050;1050
SSR;2014;040000135;050002948;SSR_A50;1;27;;0;336;8337;2;;
SSR;2014;040000135;050002948;SSR_A53;1;;10;0;;;;1050;1050
SSR;2014;040000135;050002948;SSR_TOT;;27;10;0;336;8337;2;1050;1050
